App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
AIVA (Artificial Intelligence Virtual Artist),1,0,0,1,2,0,0,0,0,0
Endel,0,0,0,8,7,1,1,0,1,0
AIVA,0,1,1,0,0,2,2,2,2,3
Amper Music,2,2,2,2,1,3,3,3,3,2
Endlesss,8,9,8,0,0,0,0,1,0,1
Boomy,3,3,3,3,3,0,0,0,0,0
Soundful,4,4,4,4,4,0,0,0,0,0
Humtap,10,0,10,10,10,4,4,4,4,4
Ecrett Music,0,10,0,0,0,6,5,5,5,5
Mubert,5,5,5,5,6,5,8,0,8,10
LANDR,6,6,6,6,8,0,0,0,0,0
Soundraw,0,8,0,9,5,7,6,6,6,6
Skoove,0,0,0,7,0,0,0,0,0,0
Suno AI,7,7,7,0,9,0,0,0,0,0
Loudly,0,0,0,0,0,10,7,7,7,7
Jukedeck,0,0,0,0,0,8,9,8,9,8
Amadeus Code,9,0,9,0,0,0,0,10,0,0
Melodrive,0,0,0,0,0,9,10,9,10,9
