criterion,cohort_pair,guided_external_mean,blind_external_mean,delta
Accessibility Features,cross,0.4366210090635391,0.4633730039981755,-0.02675199493463637
Accessibility Features,open,0.39436226784497297,0.44397342548836966,-0.049611157643396686
Accessibility Features,proprietary,0.5421960356297849,0.5766450468437382,-0.03444901121395327
Cost and Pricing,cross,0.35255199652848435,0.4633730039981755,-0.11082100746969115
Cost and Pricing,open,0.34297810778225385,0.44397342548836966,-0.1009953177061158
Cost and Pricing,proprietary,0.46258251321837346,0.5766450468437382,-0.11406253362536473
Cross-Platform Synchronization,cross,0.4528833930850622,0.4633730039981755,-0.01048961091311329
Cross-Platform Synchronization,open,0.4072851323243025,0.44397342548836966,-0.03668829316406713
Cross-Platform Synchronization,proprietary,0.5549257315110805,0.5766450468437382,-0.021719315332657696
Customer Support,cross,0.4221132656701575,0.4633730039981755,-0.04125973832801799
Customer Support,open,0.40334443678544735,0.44397342548836966,-0.04062898870292231
Customer Support,proprietary,0.4786053629242655,0.5766450468437382,-0.09803968391947271
Customization Options,cross,0.3060044713469167,0.4633730039981755,-0.15736853265125877
Customization Options,open,0.35337150706297465,0.44397342548836966,-0.090601918425395
Customization Options,proprietary,0.3806811437722103,0.5766450468437382,-0.1959639030715279
Feature Breadth and Richness,cross,0.4265051522483452,0.4633730039981755,-0.036867851749830316
Feature Breadth and Richness,open,0.4103374387506265,0.44397342548836966,-0.03363598673774315
Feature Breadth and Richness,proprietary,0.5227016174376673,0.5766450468437382,-0.053943429406070886
Integration with Other Services,cross,0.42888659330778645,0.4633730039981755,-0.03448641069038905
Integration with Other Services,open,0.42186196359090694,0.44397342548836966,-0.022111461897462714
Integration with Other Services,proprietary,0.5223093998927993,0.5766450468437382,-0.05433564695093884
Performance and Stability,cross,0.4349413607827939,0.4633730039981755,-0.028431643215381608
Performance and Stability,open,0.39796936115133796,0.44397342548836966,-0.04600406433703169
Performance and Stability,proprietary,0.5378664926411524,0.5766450468437382,-0.0387785542025858
Platform and Device Compatibility,cross,0.4591666228823619,0.4633730039981755,-0.004206381115813618
Platform and Device Compatibility,open,0.4188207566002413,0.44397342548836966,-0.025152668888128338
Platform and Device Compatibility,proprietary,0.5325145055735613,0.5766450468437382,-0.044130541270176904
Popularity and Market Reach,cross,0.46521920041720105,0.4633730039981755,0.0018461964190255586
Popularity and Market Reach,open,0.44522269265332637,0.44397342548836966,0.0012492671649567133
Popularity and Market Reach,proprietary,0.6023973861133323,0.5766450468437382,0.025752339269594082
Regional and Geographical Availability,cross,0.4306327999908486,0.4633730039981755,-0.03274020400732691
Regional and Geographical Availability,open,0.41977864861739805,0.44397342548836966,-0.0241947768709716
Regional and Geographical Availability,proprietary,0.5469805902054198,0.5766450468437382,-0.029664456638318404
Regular Updates and Maintenance,cross,0.42603546371019724,0.4633730039981755,-0.037337540287978255
Regular Updates and Maintenance,open,0.39514411718491776,0.44397342548836966,-0.04882930830345189
Regular Updates and Maintenance,proprietary,0.5149623765542611,0.5766450468437382,-0.06168267028947705
Security and Privacy,cross,0.32969466696300953,0.4633730039981755,-0.13367833703516596
Security and Privacy,open,0.32794823394506123,0.44397342548836966,-0.11602519154330843
Security and Privacy,proprietary,0.41066975688728835,0.5766450468437382,-0.16597528995644983
User Engagement,cross,0.4684502044498645,0.4633730039981755,0.0050772004516890235
User Engagement,open,0.4486692263251742,0.44397342548836966,0.004695800836804542
User Engagement,proprietary,0.5577351392259331,0.5766450468437382,-0.01890990761780509
User Interface and Experience,cross,0.42630298696702784,0.4633730039981755,-0.03707001703114765
User Interface and Experience,open,0.3987686338039171,0.44397342548836966,-0.04520479168445257
User Interface and Experience,proprietary,0.5078386335051079,0.5766450468437382,-0.06880641333863025
User Ratings,cross,0.33996230233232627,0.4633730039981755,-0.12341070166584922
User Ratings,open,0.384742310332877,0.44397342548836966,-0.059231115155492675
User Ratings,proprietary,0.32726238567699195,0.5766450468437382,-0.24938266116674623
