model,feature,name,description,type,sources
mistral,List items for sale,User Base,"The number of active users on the platform, indicating the market reach and potential buyer base.",Integer[1],"App Annie, Sensor Tower, SimilarWeb, Priori Data"
mistral,List items for sale,Ease of Use,The simplicity and intuitiveness of the app's interface and listing process.,Text[1],"App Store reviews, Google Play reviews, Expert reviews from tech blogs"
mistral,List items for sale,Fees and Pricing,"The cost associated with listing items, including insertion fees, final value fees, and other related costs.",Float[1],"Official app websites, Blog comparisons, User reviews"
mistral,List items for sale,Seller Protection,The policies and measures in place to protect sellers from fraud and ensure secure transactions.,Text[1],"Official app websites, Trustpilot reviews, BBB ratings"
mistral,List items for sale,Listing Features,"The variety and quality of features available for creating and managing listings, such as photo editing, pricing tools, and promotional options.",Text[1],"App Store descriptions, Google Play descriptions, Expert reviews"
mistral,List items for sale,Local Availability,The ability to reach local buyers and facilitate local pickup or delivery.,Boolean[1],"Official app websites, User reviews, Blog articles"
mistral,List items for sale,Integration with Social Media,The ease with which listings can be shared on social media platforms to increase visibility.,Boolean[1],"Official app websites, App Store descriptions, Google Play descriptions"
mistral,List items for sale,Customer Support,The availability and responsiveness of customer support for resolving seller issues.,Text[1],"Trustpilot reviews, BBB ratings, User reviews"
mistral,List items for sale,User Base,The total number of active users on the platform.,Integer [1],"App Store, Google Play Store, Official App Websites"
mistral,List items for sale,Listing Fees,The cost associated with listing an item for sale.,Float [1],"Official App Websites, User Reviews"
mistral,List items for sale,Ease of Use,The user-friendliness of the app interface and listing process.,Text [1],"App Store Reviews, Google Play Store Reviews, Tech Blogs"
mistral,List items for sale,Seller Protection,The policies and features in place to protect sellers from fraud and disputes.,Text [1],"Official App Websites, User Reviews, Tech Blogs"
mistral,List items for sale,Transaction Fees,The fees charged on the sale of an item.,Float [1],"Official App Websites, User Reviews"
mistral,List items for sale,User Base,The total number of active users on the platform.,Integer[1],"App Annie, Sensor Tower, SimilarWeb"
mistral,List items for sale,Ease of Use,The simplicity and intuitiveness of the app's interface and listing process.,Text[1],"App Store reviews, Google Play reviews, Expert reviews"
mistral,List items for sale,Fees and Commission,The cost associated with listing and selling items on the platform.,Float[1],"Official app websites, User reports"
mistral,List items for sale,Listing Features,"The availability of features such as image uploads, descriptions, pricing options, and promotional tools.",Text[*],"Official app websites, User reviews"
mistral,List items for sale,Safety and Security,The measures in place to protect users from fraud and ensure secure transactions.,Text[1],"Official app websites, User reviews, Security reports"
mistral,List items for sale,Geographical Availability,The regions and countries where the app is available and widely used.,Text[*],"Official app websites, App Store, Google Play"
mistral,List items for sale,Customer Support,The quality and responsiveness of the app's customer support services.,Text[1],"User reviews, Official app websites"
mistral,List items for sale,User Base,"The number of active users on the platform, indicating the market reach and potential exposure for listed items.",Integer [1],"App Annie, Sensor Tower, SimilarWeb, Official company reports"
mistral,List items for sale,Ease of Use,"The simplicity and intuitiveness of the app's interface and listing process, affecting user experience and efficiency.",Text [1],"App Store reviews, Google Play reviews, Expert reviews from tech blogs"
mistral,List items for sale,Fees and Commission,"The cost associated with listing and selling items, including insertion fees, final value fees, and payment processing fees.",Float [3],"Official fee structures from the app's website, User reports, Expert comparisons"
mistral,List items for sale,Local Availability,"The app's support for local listings and face-to-face transactions, enhancing convenience and reducing shipping costs.",Boolean [1],"App features listed on the app's website, User reviews, Expert articles"
mistral,List items for sale,Niche Focus,"The app's specialization in specific product categories, serving particular market segments more effectively.",Text [*],"App descriptions, User reviews, Expert analyses"
mistral,List items for sale,Seller Protection,"The measures in place to safeguard sellers against fraud, scams, and disputes, promoting a secure selling environment.",Text [1],"App's safety features and policies, User reports, Expert evaluations"
mistral,List items for sale,Promotion Features,"The availability of tools and options to enhance the visibility of listings, such as promoted ads, featured placements, or discounts.",Text [*],"App's promotional services, User experiences, Expert insights"
mistral,List items for sale,User Base,"The number of active users on the platform, which indicates the popularity and reach of the app.",Integer [1],"App Annie, Sensor Tower, SimilarWeb"
mistral,List items for sale,Ease of Use,The simplicity and intuitiveness of the app's interface and listing process.,Text [1],"App Store reviews, Google Play reviews, Expert reviews"
mistral,List items for sale,Fees and Commission,The charges and commissions imposed by the platform on each sale.,Float [1],"Official app websites, User reviews"
mistral,List items for sale,Listing Features,The variety and quality of features available for creating and managing listings.,Text [1],"Official app websites, Expert reviews"
mistral,List items for sale,Seller Protection,The measures and policies in place to protect sellers from fraud and disputes.,Text [1],"Official app websites, User reviews"
mistral,List items for sale,Payment Security,The security and reliability of the payment process within the app.,Text [1],"Official app websites, User reviews"
mistral,List items for sale,Customer Support,The quality and responsiveness of the app's customer support services.,Text [1],"App Store reviews, Google Play reviews, User reviews"
mistral,List items for sale,User Base,The total number of active users on the platform.,Integer [1],"App Annie, Sensor Tower, SimilarWeb, Priori Data"
mistral,List items for sale,Ease of Use,The simplicity and intuitiveness of the app's interface and navigation.,Text [1],"App Store reviews, Google Play reviews, expert reviews from tech blogs"
mistral,List items for sale,Listing Features,The variety and quality of features available for creating and managing listings.,Text [1],"Official app descriptions, user reviews, tech blog evaluations"
mistral,List items for sale,Seller Fees,The fees and commissions charged by the platform for selling items.,Float [1],"Official platform fee structures, user reports, financial reviews"
mistral,List items for sale,Buyer Traffic,The volume of potential buyers visiting the platform.,Integer [1],"SimilarWeb, Alexa rankings, Google Analytics reports"
mistral,List items for sale,Security and Trust,The measures taken to ensure safe transactions and protect user data.,Text [1],"Official security policies, user reviews, trust ratings from third-party services"
mistral,List items for sale,Customer Support,The quality and responsiveness of the platform's customer support.,Text [1],"User reviews, official support channels, customer service ratings"
mistral,List items for sale,User Base,The total number of active users on the platform.,Integer [1],"App Annie, Sensor Tower, SimilarWeb"
mistral,List items for sale,Ease of Use,The simplicity and intuitiveness of the app's interface and listing process.,Text [1],"App Store reviews, Google Play reviews, Expert reviews"
mistral,List items for sale,Fees and Commissions,The cost associated with listing and selling items on the platform.,Float [1],"Official app websites, Blog reviews"
mistral,List items for sale,Listing Features,The variety and quality of features available for creating and managing listings.,Text [1],"App Store descriptions, Google Play descriptions, Expert analyses"
mistral,List items for sale,Safety and Security,The measures taken to ensure safe and secure transactions for both buyers and sellers.,Text [1],"Official app websites, User reviews, Security audit reports"
mistral,List items for sale,User Base,"The number of active users on the platform, indicating the market reach and potential buyer base.",Integer [1],"App Store, Google Play, Official Press Releases"
mistral,List items for sale,Ease of Use,The simplicity and intuitiveness of the app's user interface and listing process.,Text [1],"User Reviews, Expert Reviews, App Store, Google Play"
mistral,List items for sale,Fees and Commission,"The cost associated with listing and selling items, including any transaction fees or commission structures.",Float [1],"Official Website, Terms of Service, User Reviews"
mistral,List items for sale,Seller Protection,The measures and policies in place to protect sellers from fraudulent activities and ensure secure transactions.,Text [1],"Official Website, Terms of Service, User Reviews"
mistral,List items for sale,Listing Features,"The variety and effectiveness of features available for creating and managing listings, such as photo uploads, descriptions, and pricing tools.",Text [1],"Official Website, User Reviews, App Store, Google Play"
mistral,List items for sale,App Rating,"The average rating of the app on major app stores, reflecting overall user satisfaction.",Float [1],"App Store, Google Play"
mistral,List items for sale,Niche Specialization,"The app's focus on specific types of items or markets, which can attract targeted buyer audiences.",Text [1],"Official Website, User Reviews, Expert Analysis"
mistral,List items for sale,User Base,"The number of active users on the platform, which indicates the popularity and reach of the app.",Integer[1],"App Annie, Sensor Tower, SimilarWeb, Priori Data"
mistral,List items for sale,Ease of Use,The simplicity and intuitiveness of the app's interface and user experience.,Text[1],"App Store reviews, Google Play reviews, Expert reviews from tech blogs"
mistral,List items for sale,Listing Features,The variety and quality of features available for creating and managing listings.,Text[1],"Official app descriptions, User reviews, Tech blogs"
mistral,List items for sale,Seller Fees,The fees charged by the platform for listing and selling items.,Float[1],"Official platform websites, User reviews, Financial blogs"
mistral,List items for sale,Payment Security,The security measures in place to protect payments and transactions.,Text[1],"Official app descriptions, Security reviews, User reviews"
mistral,List items for sale,Customer Support,The quality and responsiveness of the app's customer support.,Text[1],"User reviews, Official support channels, Tech blogs"
mistral,List items for sale,Local Availability,The availability and popularity of the app in specific regions or countries.,Text[1],"App Annie, Sensor Tower, SimilarWeb, Local tech blogs"
mistral,List items for sale,User Base,The number of active users on the platform.,Integer [1],"App Annie, Sensor Tower, SimilarWeb"
mistral,List items for sale,Ease of Use,The simplicity and intuitiveness of the app's interface and listing process.,Text [1],"App Store reviews, Google Play reviews, Expert reviews"
mistral,List items for sale,Fees and Commission,The cost associated with listing and selling items on the platform.,Float [1],"Official app websites, Blog comparisons"
mistral,List items for sale,Listing Features,The variety and quality of features available for creating and managing listings.,Text [1],"App Store descriptions, Google Play descriptions, User reviews"
mistral,List items for sale,Safety and Security,The measures in place to protect users and their transactions.,Text [1],"Official app websites, Security audit reports, User reviews"
