App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Mint,2,6,2,1,1,1,1,2,12,1
Personal Capital,1,0,0,0,0,3,9,1,0,0
Cleo,0,7,1,9,2,2,2,16,13,3
Betterment,8,2,3,2,3,0,3,9,0,2
QuickBooks,0,0,0,16,12,5,0,0,1,0
ZestFinance (Zest AI),0,0,0,3,0,0,0,0,0,0
AccountsGPT by Gaper,0,0,0,0,0,0,0,0,3,0
RockFlow,0,1,11,0,8,0,13,0,0,16
YNAB (You Need A Budget),3,0,5,0,0,0,4,4,0,4
Kabbage,0,0,0,4,0,0,0,0,0,0
Acorns,4,3,0,0,4,0,5,5,0,5
Ayasdi,0,0,0,5,0,0,0,0,0,0
Plum,0,5,4,0,5,4,6,0,0,8
Xero,0,0,0,18,13,7,0,0,2,0
Stash,5,0,0,0,0,0,0,6,0,0
Emma,0,0,6,0,0,0,0,0,0,0
Tally ERP 9,0,0,0,0,14,0,0,0,4,0
Robinhood,6,0,0,0,0,0,0,7,0,0
Wealthfront,7,0,0,0,0,0,0,8,0,6
Upstart,0,0,0,7,0,0,0,0,0,0
PocketGuard,18,10,7,0,11,0,12,3,15,7
Plaid,0,0,0,8,0,0,0,0,0,0
Fathom,0,0,0,0,0,8,0,0,0,0
eToro,0,4,12,0,0,0,14,0,0,17
Zoho Books,0,0,0,17,0,6,0,0,0,0
Expensify,0,0,0,0,0,9,0,0,0,0
Tally,0,0,0,0,0,0,0,0,0,9
AlphaSense,0,19,0,0,0,0,0,0,6,0
Kensho,0,0,0,6,0,19,0,0,0,0
Arya.ai,0,18,0,0,15,0,0,0,5,0
Ellevest,9,0,0,0,0,0,0,10,0,0
Origin,0,0,8,0,0,13,7,0,0,13
Trim,0,8,18,0,6,0,10,0,0,14
Rolly,0,0,10,0,10,0,0,0,0,0
Darktrace,0,0,0,10,0,0,0,0,0,0
Docyt,0,0,0,0,0,10,0,0,0,0
Alpha by Public,0,0,9,19,7,12,0,0,0,0
Quantivate,0,0,0,0,17,0,0,0,8,0
SoFi,10,0,0,0,0,0,0,12,0,0
Datarails,0,0,0,11,0,0,0,0,0,0
SigFig,0,0,0,0,0,0,0,11,0,0
Albert,11,9,0,0,0,11,0,15,0,0
Credit Karma,0,0,0,0,0,0,0,14,0,10
Spindle AI,0,20,0,0,16,0,0,0,7,0
Magnifi,0,11,13,20,9,15,8,0,0,18
Vena Copilot,0,15,0,0,0,0,18,0,9,0
Digit,12,0,0,0,0,0,0,17,0,11
Vena Insights,0,0,0,13,0,0,0,0,0,0
NerdWallet,0,0,0,0,0,0,0,13,0,0
Planful Predict,0,17,0,12,0,0,19,0,10,0
Qapital,13,0,0,0,0,0,0,18,0,12
Clarity Money,14,0,0,0,0,0,0,0,0,0
Fyle,0,0,14,0,0,0,0,0,0,0
Monarch Money,0,0,0,0,0,20,11,0,0,15
Stampli AI Copilot,0,16,0,0,0,0,20,0,11,0
Kavout,0,13,19,0,0,14,0,0,0,0
Bill.com,0,0,0,14,0,16,0,0,0,0
Empower,15,0,0,0,0,0,0,0,0,0
Copilot,0,0,0,15,0,0,0,0,0,0
TrendSpider,0,0,0,0,0,0,15,0,0,0
Incite AI,0,14,0,0,0,0,17,0,0,0
Wally,19,0,15,0,0,0,0,0,14,0
AInvest,0,12,0,0,19,0,0,0,0,19
Honeyfi,16,0,0,0,0,0,0,0,0,0
Tink,0,0,16,0,0,0,0,0,0,0
FINQ AI,0,0,0,0,0,0,16,0,0,0
Booke,0,0,0,0,0,0,0,0,16,0
Zeta,17,0,0,0,0,0,0,0,0,0
MoneyLion,0,0,17,0,0,0,0,0,0,0
Domo AI,0,0,0,0,0,17,0,0,0,0
Nanonets Flow,0,0,0,0,0,0,0,0,17,0
Booke AI,0,0,0,0,0,18,0,0,0,0
Trullion,0,0,0,0,0,0,0,0,18,0
Chime,0,0,0,0,0,0,0,19,0,0
Domo.AI,0,0,0,0,0,0,0,0,19,0
Streetbeat,0,0,20,0,18,0,0,0,0,20
Spendee,20,0,0,0,0,0,0,0,0,0
FINQ,0,0,0,0,20,0,0,0,0,0
Simple,0,0,0,0,0,0,0,20,0,0
Microsoft Copilot,0,0,0,0,0,0,0,0,20,0
