App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Notion,1,1,1,1,1,1,1,1,1,1
Todoist,2,2,2,0,3,3,2,3,3,2
Evernote,3,3,3,4,2,2,3,2,2,3
Trello,4,6,0,2,0,6,4,0,0,0
Microsoft To Do,6,4,4,5,4,4,6,4,4,6
 Trello,0,0,5,0,5,0,0,5,5,4
Asana,5,7,6,3,6,7,5,6,6,5
 Todoist,0,0,0,6,0,0,0,0,0,0
Slack,0,0,0,0,0,0,0,0,7,0
Any.do,7,5,7,8,8,9,7,8,0,7
Google Workspace,0,0,0,0,0,0,0,0,8,0
Google Keep,11,18,8,7,7,8,9,7,0,8
ClickUp,12,9,9,9,9,0,8,9,10,9
Forest,8,11,0,0,14,5,0,14,14,11
Monday.com,13,8,0,10,10,0,10,10,9,10
monday.com,0,0,10,0,0,0,0,0,0,0
Wunderlist,14,10,11,11,0,13,11,0,0,15
Zapier,18,0,0,0,11,0,0,11,11,0
TickTick,9,17,16,14,0,10,16,0,0,12
Habitica,10,16,15,13,0,11,12,0,18,13
IFTTT,19,0,0,0,12,0,0,12,12,0
Remember The Milk,15,19,12,12,0,12,13,0,0,14
RescueTime,20,12,0,0,13,0,0,13,13,0
Focus@Will,0,13,0,0,15,0,0,15,15,0
OmniFocus,16,20,13,15,0,14,14,0,0,16
Brain.fm,0,14,0,0,16,0,0,16,16,0
Things 3,17,0,14,16,0,15,15,0,0,17
Google Tasks,0,0,0,0,0,16,0,0,0,0
Noisli,0,15,0,0,17,0,0,17,17,0
Nozbe,0,0,17,0,0,0,0,0,0,0
Microsoft OneNote,0,0,0,17,0,17,0,0,0,0
MeisterTask,0,0,0,0,0,0,17,0,0,19
Fantastical 2,0,0,18,0,0,0,0,0,0,0
Zoho Notebook,0,0,0,18,0,0,0,0,0,0
Headspace,0,0,0,0,18,0,0,18,0,0
Zoho Projects,0,0,0,0,0,0,18,0,0,0
Zenkit,0,0,0,0,0,0,0,0,0,18
Bear,0,0,0,19,0,18,0,0,0,0
2Do,0,0,19,0,0,0,0,0,0,0
Calm,0,0,0,0,19,0,0,19,0,0
Standard Notes,0,0,0,0,0,19,0,0,0,0
Basecamp,0,0,0,0,0,0,19,0,0,0
Be Focused,0,0,0,0,0,0,0,0,19,0
Accompany,0,0,20,0,0,0,0,0,0,0
Ulysses,0,0,0,20,0,0,0,0,0,0
Otter.ai,0,0,0,0,20,0,0,20,0,0
Simplenote,0,0,0,0,0,20,0,0,0,0
Airtable,0,0,0,0,0,0,20,0,0,0
TomatoTimer,0,0,0,0,0,0,0,0,20,0
WorkFlowy,0,0,0,0,0,0,0,0,0,20
