model,feature,name,description,type,sources
perplexity,Keeping up with friends,User Base Size,"The number of active users on the app, influencing potential for finding and keeping up with friends",Integer[1],"ScienceOfPeople, AgileTech"
perplexity,Keeping up with friends,Focus on Real-Life Connection,Whether the app encourages in-person meetings or is primarily online-based,Boolean[1],ScienceOfPeople
perplexity,Keeping up with friends,Specialized Community Target,"Niche or demographic the app caters to (e.g., women, athletes, language learners)",Text[1],"ScienceOfPeople, AgileTech"
perplexity,Keeping up with friends,Features Supporting Communication,"Features like chat, live streaming, photo sharing, or widgets that help maintain friendships",Text[*],"ScienceOfPeople, MedicinalMedia, FakirFashion"
perplexity,Keeping up with friends,User Interface Friendliness,Ease of use and accessibility of app interface for keeping in touch easily,Integer[1],ScienceOfPeople
perplexity,Keeping up with friends,User Base Size,"Number of active users on the app, indicating potential reach and network size for making friends",Integer [1],"Science of People, AgileTech"
perplexity,Keeping up with friends,Target Audience,"Specific demographic or interest group the app is designed for (e.g., women, introverts, athletes)",Text [1],"Science of People, AgileTech"
perplexity,Keeping up with friends,Primary Friendship Approach,"Method used by app to foster connections: online chat, in-person meetups, shared interests, gaming, etc.",Text [1],"Science of People, AgileTech"
perplexity,Keeping up with friends,Geographical Focus,Whether the app focuses on local community connections or worldwide friendships,Text [1],"Science of People, AgileTech"
perplexity,Keeping up with friends,Long-Distance Friendship Features,"Features that help maintain friendships across distances, like live photo sharing, voice messages, or community events",Boolean [1],"Medicinal Media, Symptoms of Living"
perplexity,Keeping up with friends,Privacy Controls,"Extent of privacy options such as limiting friend lists, controlling visibility, or no public newsfeeds",Boolean [1],"Medicinal Media, VICE"
perplexity,Keeping up with friends,User Base Size,"The total number of active users of the app, indicating its popularity and potential reach for social connections.",Integer [1],"scienceofpeople.com, agiletech.vn"
perplexity,Keeping up with friends,App Focus,"The primary target audience or special interest group the app caters to, such as women, athletes, gamers, or language learners.",Text [1],"scienceofpeople.com, agiletech.vn"
perplexity,Keeping up with friends,Interaction Type,"The modes of communication or interaction the app supports, like chat, group activities, voice, video, or live events.",Text [*],"scienceofpeople.com, medicinalmedia.com, symptomsofliving.com"
perplexity,Keeping up with friends,Real-Life Connection Facilitation,Whether the app facilitates face-to-face meetings or offline events to strengthen friendships beyond the digital space.,Boolean [1],"scienceofpeople.com, agiletech.vn"
perplexity,Keeping up with friends,Privacy Features,"Availability of privacy controls such as limited friend lists, disappearing messages, or private sharing to ensure secure friend connections.",Text [*],"medicinalmedia.com, symptomsofliving.com"
perplexity,Keeping up with friends,Platform Availability,"The operating systems and devices supported by the app (e.g., iOS, Android, Web).",Text [*],"scienceofpeople.com, agiletech.vn"
perplexity,Keeping up with friends,User Engagement Features,"Features that encourage frequent user interaction such as games, podcasts, photo sharing widgets, or daily prompts.",Text [*],"medicinalmedia.com, symptomsofliving.com"
perplexity,Keeping up with friends,Active User Base,The number of active users on the app which impacts the ability to find and keep up with friends,Integer [1],agiletech.vn
perplexity,Keeping up with friends,Friendship Features,"Types of features offered such as live video calls, group chats, interest tags, event organizing, and real-time photo sharing",Text [*],"agiletech.vn, medicinalmedia.com, sociable.co"
perplexity,Keeping up with friends,User Safety and Authenticity,Measures to ensure trustworthy connections and reduce harassment or fake profiles,Boolean [1],"vice.com, agiletech.vn"
perplexity,Keeping up with friends,Compatibility for Long-Distance Friendships,"Support for features making distant friendships easier, such as video messaging, shared experiences, and tight bonds",Boolean [1],"medicinalmedia.com, sociable.co"
perplexity,Keeping up with friends,User Engagement and Retention,"Mechanisms that keep users actively connected like games, events, or interactive content",Text [*],"sociable.co, agiletech.vn"
perplexity,Keeping up with friends,User Base Size,"The number of active users on the app, reflecting popularity and social reach.",Integer [1],"Science of People, AgileTech"
perplexity,Keeping up with friends,Target Audience,"The specific demographic group or interest group the app is tailored for (e.g., women, young people, language learners).",Text [1],"Science of People, AgileTech"
perplexity,Keeping up with friends,Core Functionality,"Primary method of connecting users such as events, chatting, shared interests, or gaming.",Text [1][2],"Science of People, AgileTech"
perplexity,Keeping up with friends,Real-Life Interaction Support,Whether the app encourages or facilitates real-life meetups and offline connections.,Boolean [1],Science of People
perplexity,Keeping up with friends,Unique Features,"Special features such as live photo sharing, horoscope-based conversations, or group creation.",Text [1][3][4],"Science of People, Medicinal Media, Howbout"
perplexity,Keeping up with friends,Privacy & Security,Measures and design that protect user privacy and control over shared content.,Text [3],Medicinal Media
perplexity,Keeping up with friends,User Engagement,Measures how frequently and actively users interact with the app.,Integer,"1, 2"
perplexity,Keeping up with friends,Community Building Features,Assesses the app's ability to facilitate meaningful connections and community formation.,Boolean,"1, 2"
perplexity,Keeping up with friends,User Interface and Experience,"Evaluates the app's design, usability, and overall user satisfaction.",Float,"1, 2"
perplexity,Keeping up with friends,Target Audience Fit,Determines how well the app aligns with its intended user demographic.,Text,"1, 2"
perplexity,Keeping up with friends,Reviews and Ratings,Considers the app's overall rating and user reviews.,Float,"1, 2"
perplexity,Keeping up with friends,User Base Size,"The total number of active users on the app, indicating its popularity and potential for making friends",Integer [1],"Science of People, AgileTech"
perplexity,Keeping up with friends,Target Audience Fit,"How well the app serves specific groups such as young people, women, athletes, or language learners",Text [*],"Science of People, AgileTech"
perplexity,Keeping up with friends,Functionality for Real-life Interaction,The app's effectiveness in facilitating offline meetups and real-world social gatherings,Boolean [1],Science of People
perplexity,Keeping up with friends,Special Features,"Unique features that enhance friend-making experience like live photo sharing, language exchange, or social calendar integration",Text [*],"Science of People, Medicinal Media, Howbout"
perplexity,Keeping up with friends,User Engagement,Level of user interaction and frequency of use driven by app design and community,Float [1],"Science of People, AgileTech"
perplexity,Keeping up with friends,User Base Size,"Number of active users on the app, indicating potential for meeting and keeping up with a wide circle of friends",Integer [1],"Science of People, AgileTech"
perplexity,Keeping up with friends,Focus on Friendship Type,"Specialization in types of social connections such as casual friends, local community, interest-based friends, or serious relationships",Text [1],"Science of People, AgileTech"
perplexity,Keeping up with friends,Real-Time Interaction Features,"Availability of features for live updates, direct messaging, photos, or group interactions to facilitate keeping up with friends",Boolean [1],"Science of People, MedicinalMedia, Howbout"
perplexity,Keeping up with friends,User Demographic Targeting,"Target age group or specific communities like women, young people, new moms, or athletes",Text [1],"Science of People, AgileTech"
perplexity,Keeping up with friends,Offline Event Integration,Capability to organize or join real-life events and meetups to strengthen friendships beyond digital interaction,Boolean [1],"Science of People, AgileTech"
perplexity,Keeping up with friends,Privacy and Intimacy Controls,"Options to limit friend circles, keep interactions private, or control who sees your content, supporting intimate connections",Boolean [1],"MedicinalMedia, Science of People"
perplexity,Keeping up with friends,User Base Size,"The number of active users on the app, reflecting potential for making new friends",Integer[1],"Science of People, AgileTech"
perplexity,Keeping up with friends,Target Audience Fit,"Specific demographic or interest group the app is best suited for (e.g., women, young people, athletes)",Text[1],"Science of People, AgileTech"
perplexity,Keeping up with friends,Connection Type,"Primary mode of connecting with friends such as in-person meetups, online chatting, or long-distance sharing",Text[1],"Science of People, Medicinal Media"
perplexity,Keeping up with friends,Unique Features,"Special characteristics like event organization, language exchange, or long-distance relationship tools",Text[1],"Science of People, Medicinal Media, AgileTech"
perplexity,Keeping up with friends,User Base Size,"Number of active users on the app, impacting the potential for making and keeping friends",Integer [1],"Science of People, Agile Tech"
