App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Notion AI,1,1,1,1,1,1,1,1,1,1
Grammarly,3,2,3,2,3,2,2,2,2,2
Otter.ai,2,3,2,0,2,3,3,3,3,3
Todoist,0,0,0,0,0,4,4,4,4,4
Evernote,0,0,0,0,0,5,5,5,5,5
Trello,4,4,4,10,4,6,6,6,6,6
Mem AI,6,6,6,4,6,0,0,0,0,0
Perplexity AI,7,7,7,3,7,0,0,0,0,0
Asana,5,5,5,0,5,0,0,7,7,7
Reclaim AI,0,0,0,5,10,0,0,0,0,0
Slack,0,0,0,0,0,7,7,8,8,8
Tabnine,0,0,0,8,0,0,0,0,0,0
Wordtune,9,8,0,7,9,0,0,0,0,0
Lately.ai,0,10,10,6,0,0,0,0,0,0
Fireflies.ai,8,9,8,0,8,0,0,0,0,0
Zoom,0,0,0,0,0,8,8,9,9,9
RescueTime,0,0,9,0,0,0,0,0,0,0
Braina,10,0,0,9,0,0,0,0,0,0
Microsoft Teams,0,0,0,0,0,9,9,10,10,10
Google Workspace,0,0,0,0,0,10,10,0,0,0
