App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8
YouTube Live,2,1,1,1,2,2,1,2
Twitch,1,2,2,2,1,1,4,1
Facebook Live,3,5,3,3,3,3,2,3
TikTok,0,3,0,0,0,0,0,0
Instagram Live,4,4,4,4,4,4,3,4
TikTok Live,5,0,5,5,5,5,5,5
Hulu + Live TV,0,6,0,0,0,0,0,0
Streamlabs,6,0,7,12,6,7,6,6
Sling TV,0,7,0,0,0,0,0,0
Fubo,0,8,0,0,0,0,0,0
Bigo Live,7,0,12,6,7,11,13,7
DirecTV Stream,0,9,0,0,0,0,0,0
Prism Live Studio,0,0,9,8,0,8,14,0
StreamYard,0,19,6,7,0,9,15,0
YouNow,8,0,10,0,8,12,11,9
WOO TV,10,0,0,0,0,0,0,0
Philo,0,10,0,0,0,0,0,0
LiveMe,9,0,11,0,9,13,12,8
VK Live,0,0,0,0,11,0,0,11
Switcher Studio,14,0,8,0,18,19,7,16
Kick,18,0,0,15,20,6,0,0
Periscope,0,0,0,20,10,0,0,10
365Scores,0,0,0,0,12,0,0,12
Livestream,0,13,0,0,0,0,0,0
WatchESPN,0,0,0,0,13,0,0,13
Wirecast Go,13,0,0,0,16,16,8,18
Vimeo Livestream,11,0,0,13,0,0,17,0
Larix Broadcaster,12,0,0,0,17,14,9,19
Restream,16,0,0,10,0,0,18,0
Camo Studio,0,0,0,18,0,10,16,0
Zoom,19,11,0,0,0,0,0,0
DaCast,0,14,0,0,0,0,0,0
Wowza,0,0,14,14,0,0,0,0
Zoom Cloud Meetings,0,0,0,0,14,0,0,14
BoxCast,15,0,0,0,19,0,10,17
Brightcove,0,12,18,0,0,0,0,0
OBS Studio,0,15,0,11,15,0,19,0
LinkedIn Live,17,0,20,9,0,0,20,0
Castr,0,0,15,0,0,0,0,0
nanoStream,0,0,0,0,0,15,0,0
Stream,0,0,0,0,0,0,0,15
Vimeo,0,0,13,0,0,20,0,0
Wirecast,0,16,0,0,0,0,0,0
Uscreen,0,0,16,0,0,0,0,0
Dacast,0,0,17,16,0,0,0,0
vMix,0,17,0,0,0,0,0,0
JWP (JW Player),0,0,0,17,0,0,0,0
AIRMIX,0,0,0,0,0,17,0,0
Lightstream,0,18,0,0,0,0,0,0
BroadcastMe,0,0,0,0,0,18,0,0
IBM Cloud Video,0,0,19,0,0,0,0,0
Go Live,0,0,0,19,0,0,0,0
TVU Anywhere,20,0,0,0,0,0,0,0
OnTheFly,0,20,0,0,0,0,0,0
PRISM Live Studio,0,0,0,0,0,0,0,20
