App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Lensa,1,0,1,0,0,0,0,0,0,0
Lensa: Photo Editor & AI Art,0,0,0,0,0,1,0,0,0,0
Prequel,0,3,0,3,1,0,1,1,4,0
YouCam Makeup,0,1,0,2,2,0,2,2,2,2
FaceApp,5,2,5,1,4,2,6,4,1,3
Synthesia,3,0,3,0,0,0,0,0,0,0
YouCam Perfect,0,0,0,0,0,0,0,0,3,0
CapCut,2,5,2,0,0,3,8,0,0,0
Pictory,4,0,4,0,0,0,0,0,0,0
SoundHound,0,0,0,0,0,4,0,0,0,0
Endel,0,6,0,4,3,5,4,3,7,4
Picsart,0,4,0,0,5,0,5,0,5,0
Wombo Dream,0,7,0,8,9,0,3,5,6,0
Videoleap,6,0,6,0,0,6,0,0,0,0
Captions,0,0,0,6,0,0,0,0,0,0
Krikey AI,0,10,0,7,6,0,7,6,0,7
Photoleap,7,0,7,0,0,7,0,0,0,0
Trebel AI,0,0,0,0,0,0,0,7,0,0
Synthesia AI,0,0,0,5,7,8,9,8,8,6
Character.AI,9,0,8,0,0,0,0,0,0,0
Lenza AI,0,8,0,0,0,0,0,0,9,0
MuzeX,0,9,0,0,8,0,0,9,0,8
DeepBrain AI,8,0,10,0,0,0,0,0,0,0
Runway,0,0,0,0,0,9,0,0,0,0
Wombo,10,0,9,0,0,0,0,0,0,0
Soundraw,0,0,0,9,10,0,0,0,0,10
Soundful,0,0,0,0,0,0,10,0,0,0
Luma AI,0,0,0,0,0,0,0,0,10,0
Boomy,0,0,0,10,0,0,0,0,0,0
CandyCall,0,0,0,0,0,0,0,10,0,0
Filmora,0,0,0,0,0,10,0,0,0,0
