feature,model1,model2,jaccard
Access to movies,openai,mistral,1.0
Access to movies,openai,gemini,0.9
Access to movies,mistral,gemini,0.9
Access to podcasts,openai,mistral,1.0
Access to podcasts,openai,gemini,0.4444444444444444
Access to podcasts,mistral,gemini,0.4444444444444444
Broadcast messages to multiple contacts,openai,mistral,0.0
Broadcast messages to multiple contacts,openai,gemini,0.0
Broadcast messages to multiple contacts,mistral,gemini,0.16666666666666666
Build photo collage,openai,mistral,0.0
Build photo collage,openai,gemini,0.0
Build photo collage,mistral,gemini,0.2
Collaborate with others,openai,mistral,0.0
Collaborate with others,openai,gemini,0.9
Collaborate with others,mistral,gemini,0.1
Go Live,openai,mistral,0.0
Go Live,openai,gemini,0.5
Go Live,mistral,gemini,0.45
Keeping up with friends,openai,mistral,0.8
Keeping up with friends,openai,gemini,0.32
Keeping up with friends,mistral,gemini,0.4
List items for sale,openai,mistral,0.6
List items for sale,openai,gemini,0.6
List items for sale,mistral,gemini,1.0
Photo effects,openai,mistral,0.1
Photo effects,openai,gemini,0.1
Photo effects,mistral,gemini,0.03
Play games,openai,mistral,0.0
Play games,openai,gemini,0.0
Play games,mistral,gemini,0.0
Play playlist on shuffle mode,openai,mistral,1.0
Play playlist on shuffle mode,openai,gemini,0.6666666666666666
Play playlist on shuffle mode,mistral,gemini,0.6666666666666666
Rate movies,openai,mistral,0.0
Rate movies,openai,gemini,0.2
Rate movies,mistral,gemini,0.8
Search for offer on item,openai,mistral,0.1
Search for offer on item,openai,gemini,0.18
Search for offer on item,mistral,gemini,0.0
Send files,openai,mistral,0.0
Send files,openai,gemini,0.72
Send files,mistral,gemini,0.02
Watch streams,openai,mistral,0.0
Watch streams,openai,gemini,0.0
Watch streams,mistral,gemini,0.0
Write notes,openai,mistral,0.5
Write notes,openai,gemini,0.28
Write notes,mistral,gemini,0.0
