category_name,avg_run_correlation,rss_position_correlation,rss_k1,rss_k2,rss_k3,rss_k4,rss_k5,rss_k6,rss_k7,rss_k8,rss_k9,rss_k10,total_apps,total_runs,rss_k11,rss_k12,rss_k13,rss_k14,rss_k15,rss_k16,rss_k17,rss_k18,rss_k19,rss_k20,apps_k1,apps_k2,apps_k3,apps_k4,apps_k5,apps_k6,apps_k7,apps_k8,apps_k9,apps_k10,apps_k11,apps_k12,apps_k13,apps_k14,apps_k15,apps_k16,apps_k17,apps_k18,apps_k19,apps_k20
"""AI-powered utilities""",0.6705545914626619,0.9898368210675622,0.0,0.0,0.1666666666666666,0.2321428571428571,1.0791666666666666,1.246527777777778,1.2351190476190474,1.2682291666666663,1.5043859649122806,1.777777777777778,79,10,2.012121212121212,2.1753623188405795,2.105047619047619,2.5683150183150185,3.164200680272109,3.171587301587301,3.222503840245776,3.384331797235023,3.686872586872586,3.796947496947497,1.0,6.0,8.0,13.0,15.0,20.0,24.0,28.0,31.0,33.0,37.0,39.0,43.0,49.0,54.0,58.0,63.0,69.0,72.0,79.0
"""AI-powered entertainment""",0.4428691187788395,0.9941828756186536,0.0,0.3,0.7333333333333334,0.6866666666666668,1.0333333333333334,1.5466666666666669,2.0894736842105264,2.2818181818181817,2.448,2.544444444444444,99,10,2.828735632183908,3.243010752688172,3.37979797979798,3.586574074074074,3.928508771929825,4.115833333333333,4.149621212121212,4.725378787878788,5.130681818181818,4.965986394557823,4.0,11.0,16.0,23.0,29.0,34.0,39.0,45.0,49.0,56.0,60.0,65.0,70.0,75.0,79.0,84.0,87.0,91.0,96.0,99.0
"""AI-powered productivity""",0.4914109884686357,0.9913297809041596,0.0,0.2777777777777777,0.2666666666666666,0.519047619047619,0.8541666666666667,1.2986111111111112,1.3511904761904765,1.7976190476190477,2.013756613756614,2.136278195488722,60,10,2.263630952380953,2.4828463203463205,2.7440476190476195,2.735753968253968,2.8475396825396824,3.0430059523809523,3.181512605042017,3.5629931972789115,3.66048906048906,3.910958485958486,2.0,4.0,7.0,10.0,15.0,18.0,23.0,25.0,26.0,31.0,33.0,37.0,39.0,41.0,44.0,47.0,50.0,52.0,55.0,60.0
"""AI-powered finance""",0.465878509501508,0.9879294426713544,0.0,0.1904761904761904,0.9321428571428572,0.7231292517006802,1.2598214285714286,1.3638888888888887,1.875,2.2432291666666666,2.54265873015873,2.3717261904761906,80,10,2.405612244897959,2.721492063492063,2.9565628815628817,3.07599890530925,3.4925444925444924,3.611221340388007,4.05993080993081,4.221774521774522,4.979743008314436,4.977113325950535,5.0,7.0,12.0,16.0,19.0,26.0,30.0,34.0,39.0,45.0,50.0,52.0,55.0,60.0,63.0,67.0,71.0,74.0,76.0,80.0
"""AI-powered photo & video""",0.5254785735226251,0.9779041143329404,0.0,0.4285714285714285,0.4345238095238095,0.3258928571428571,0.3571428571428571,0.7261904761904762,1.3917748917748918,1.7363945578231292,1.7023809523809526,1.869642857142857,77,10,2.048160173160173,1.9955357142857144,2.1037142857142856,2.255494505494505,2.555864197530864,2.923611111111112,3.457972582972583,3.775735294117647,3.977380952380953,4.454398148148148,4.0,6.0,8.0,12.0,17.0,23.0,28.0,33.0,37.0,39.0,43.0,47.0,52.0,57.0,62.0,65.0,66.0,67.0,73.0,77.0
"""AI-powered shopping""",0.3506009543297819,0.9245573167173587,0.0,0.4285714285714285,0.4047619047619047,0.3904761904761904,0.6870748299319727,0.6455026455026455,0.9826839826839826,1.0674603174603174,1.1391941391941391,1.269345238095238,95,10,1.273109243697479,1.4153439153439151,1.3304761904761906,1.7072510822510822,2.2623809523809526,2.6859605911330053,3.5935714285714284,3.978993855606759,4.648737373737374,4.700565175565176,4.0,7.0,11.0,15.0,19.0,25.0,31.0,39.0,47.0,52.0,56.0,59.0,65.0,69.0,75.0,79.0,83.0,87.0,89.0,95.0
"""AI-powered social networking""",0.601740312782303,0.9546540421509454,0.0,0.2666666666666666,0.2833333333333333,0.6047619047619047,0.8333333333333334,0.8761904761904762,1.0620370370370371,1.1163095238095238,1.85,2.5371031746031747,83,10,3.132142857142857,2.68655462184874,2.8335714285714286,2.7383219954648528,2.8697722567287784,2.686857142857144,2.859157509157509,3.166830870279146,3.809672619047619,3.764935064935065,6.0,9.0,13.0,16.0,19.0,22.0,23.0,27.0,30.0,35.0,40.0,44.0,49.0,54.0,60.0,65.0,70.0,74.0,78.0,83.0
"""AI-powered lifestyle""",0.0669744620377576,0.982691709745114,0.0,0.3333333333333333,0.7666666666666667,0.9357142857142856,1.1166666666666667,1.46,1.5708333333333335,1.521875,1.957017543859649,2.481884057971014,68,10,3.0335097001763667,3.003146258503401,3.1836309523809523,3.5717857142857143,4.0284523809523805,4.701153273809524,5.3620851370851375,5.5945728291316525,6.214781746031746,6.8366795366795365,7.0,14.0,18.0,22.0,27.0,33.0,38.0,43.0,47.0,50.0,50.0,52.0,54.0,57.0,58.0,60.0,62.0,65.0,67.0,68.0
"""AI-powered music""",0.4885955398440533,0.9934141820687294,0.0,0.25,0.4583333333333333,0.5277777777777778,0.9479166666666666,1.3938492063492065,1.6456043956043955,1.6709183673469388,1.8349206349206348,1.9055803571428571,84,10,2.2591736694677875,2.8161027568922306,2.963906926406926,3.174904761904762,3.3809047619047625,3.4230599647266318,3.712557603686636,3.9329241071428576,3.9908369408369406,4.074933862433863,3.0,8.0,14.0,19.0,23.0,26.0,30.0,33.0,37.0,42.0,45.0,50.0,53.0,58.0,64.0,71.0,73.0,76.0,81.0,84.0
"""AI-powered education""",0.29676992576518585,0.993120600089666,0.0,0.16666666666666666,0.611111111111111,0.8125,1.2208333333333332,1.803030303030303,1.9656462585034014,1.8638655462184872,1.9766106442577032,2.209391534391534,86,10,2.4953703703703707,2.7121212121212124,3.090909090909091,3.233333333333334,3.5352564102564097,3.9856321839080464,4.33984126984127,4.432212885154062,4.775925925925926,4.759722222222222,4.0,9.0,15.0,18.0,21.0,24.0,28.0,31.0,37.0,41.0,44.0,47.0,52.0,56.0,62.0,68.0,72.0,76.0,80.0,86.0
