App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Netflix,1,1,1,0,1,0,1,0,2,0
ChatGPT,0,3,0,1,0,1,0,0,1,0
DeepEditor,0,0,2,0,7,0,0,0,0,1
WOMBO Dream,0,0,0,0,0,0,0,2,0,0
Spotify,0,0,0,0,0,0,2,0,3,0
Replika,3,0,0,0,0,9,5,1,0,0
Nova,5,2,0,0,0,2,6,0,0,0
Lensa AI,0,0,0,0,0,0,0,3,0,0
AI Dungeon,2,0,0,0,0,0,0,12,0,0
NovelFlow.ai,0,0,0,0,4,0,0,0,0,0
Reface,0,0,0,0,0,0,0,4,0,0
Remini,0,6,0,2,0,0,15,0,0,0
My Muse,6,0,18,0,2,0,0,0,0,0
Character AI,0,5,0,11,0,3,3,0,20,0
Google Gemini,0,4,0,4,0,4,0,0,19,0
è±†ç“£ (Douban),0,0,0,5,0,0,0,0,0,0
Audiostory.ai,0,0,0,0,5,0,0,0,0,0
Famefy,0,0,0,0,0,5,0,0,0,0
TikTok,0,0,0,0,0,0,0,5,0,0
ElevenLabs,0,0,3,17,8,14,0,0,11,2
Runway ML,0,0,0,0,0,0,7,0,4,0
PhotoRoom,0,7,0,3,0,0,16,0,0,0
Sora,9,0,4,0,9,13,0,0,0,3
ReelShort,7,0,19,0,3,0,0,0,0,0
StoryWave,0,0,0,0,6,0,0,0,0,0
Jasper Art,0,0,0,0,0,0,0,6,0,0
Lensa,0,0,0,0,0,0,4,0,15,0
Talkie AI,4,0,0,0,0,6,0,0,0,18
Move,0,0,6,0,11,0,0,0,0,5
Mubert,0,0,0,0,0,7,0,0,0,0
Aiva,0,0,0,0,0,0,0,7,0,0
DALL-E,0,0,0,0,0,0,9,0,6,0
FireCut,0,0,5,16,10,15,0,0,12,4
DALL-E 2,0,0,0,0,0,8,0,0,0,0
Boomy,0,0,0,0,0,0,0,8,0,0
Microsoft Copilot,0,9,0,8,0,0,0,0,0,0
Descript,11,0,0,0,0,0,8,18,5,0
UpFoto,0,8,0,6,0,0,17,0,0,0
Vanity AI,0,0,8,0,13,0,0,0,0,7
Jasper,0,0,0,0,0,0,10,0,8,0
Wonder Studio,0,0,7,18,12,0,0,0,0,6
Jukebox (OpenAI),0,0,0,0,0,0,0,9,0,0
Adobe Sensei,0,0,0,0,0,0,0,0,9,0
Respeecher Marketplace,0,0,9,0,14,0,0,0,0,8
Runway,10,0,0,0,0,0,0,0,0,0
DeepL,0,10,0,0,0,0,0,0,0,0
Luminar Neo,0,0,0,0,0,10,0,0,0,0
RunwayML,0,0,0,0,0,0,0,10,0,0
Rephrase.ai,0,0,0,0,0,0,0,0,10,0
Hypic,0,11,0,7,0,0,18,0,0,0
Synthesia,13,0,0,0,0,0,0,17,7,0
YouCam Makeup,0,0,0,0,0,11,0,0,0,0
Talk to Books (Google),0,0,0,0,0,0,0,11,0,0
Janitor AI,0,0,0,0,0,0,0,0,0,11
Beatoven,0,0,10,0,15,12,0,0,13,9
AI Chatbot Nova,0,14,0,10,0,0,0,0,0,0
Spotlight,0,0,11,0,16,0,0,0,0,10
Lumen5,8,0,0,0,0,0,14,0,18,0
Wondershare Filmora,12,0,0,0,0,0,0,0,0,0
AI Dating Coach by Mimetic Labs,0,0,12,0,0,0,0,0,0,0
Lovescape,0,0,0,0,0,0,0,0,0,12
Artimind,0,12,0,9,0,0,19,0,0,0
Italian Brainrot Generator,0,0,13,0,0,0,0,0,0,0
Charisma.ai,0,0,0,0,0,0,0,13,0,0
PolyBuzz,0,0,0,0,0,0,0,0,0,13
Facetune,15,0,0,0,0,0,11,0,14,0
ChatOn,0,15,0,12,0,0,0,0,0,0
Prisma,0,0,0,0,0,0,12,0,16,0
Vyond,14,0,0,0,0,0,0,0,0,0
AI Allure,0,0,14,0,0,0,0,0,0,0
Rose AI,0,0,0,0,0,0,0,14,0,0
Fotor Hairstyle Changer,0,0,0,0,0,0,0,0,0,14
EPIK,0,13,0,13,0,0,20,0,0,0
Soulmaite.io,0,0,15,0,0,0,0,0,0,0
Vidyo.ai,0,0,0,0,0,0,0,15,0,0
Beat.ly,0,17,0,14,0,0,0,0,0,0
Gauthi,0,16,0,15,0,0,0,0,0,0
CrushOn.AI,17,0,0,0,0,0,0,0,0,15
Luma AI,0,0,0,0,0,16,0,0,0,0
Hour One,0,0,0,0,0,0,0,16,0,0
Moescape AI,0,0,0,0,0,0,0,0,0,16
Candy AI,16,0,0,0,0,0,0,0,0,17
AIVA,0,19,0,19,0,0,13,0,17,0
Uforia AI,0,0,17,0,0,0,0,0,0,0
MaxAI.Me,0,0,0,0,17,0,0,0,0,0
Groovifi,0,0,0,0,0,17,0,0,0,0
Cotinga AI,20,0,16,0,0,0,0,0,0,0
Vmake,0,0,0,0,0,18,0,0,0,0
Joi AI,18,0,0,0,0,0,0,0,0,20
Amper Music,0,18,0,20,0,0,0,0,0,0
Joyland.AI,0,0,0,0,18,20,0,0,0,0
Talkie-AI.COM,0,0,0,0,19,0,0,0,0,0
StarryAI,0,0,0,0,0,19,0,0,0,0
Murf AI,0,0,0,0,0,0,0,19,0,0
Chub,0,0,0,0,0,0,0,0,0,19
Nextpart AI,19,20,0,0,0,0,0,0,0,0
DramaBox,0,0,20,0,0,0,0,0,0,0
GetImg.AI,0,0,0,0,20,0,0,0,0,0
Wellsaid Labs,0,0,0,0,0,0,0,20,0,0
