model,cohort,criterion,feature,rbo
llama31_8b,open,Accessibility Features,Broadcast messages to multiple contacts,0.44067324417729997
llama31_8b,open,Accessibility Features,Send files,0.3981476403300351
llama31_8b,open,Accessibility Features,Watch streams,0.6103924506712611
llama31_8b,open,Accessibility Features,Go Live,0.3706110346031366
llama31_8b,open,Accessibility Features,Play playlist on shuffle mode,0.6620600775727202
llama31_8b,open,Accessibility Features,Access to podcasts,0.48663059190656727
llama31_8b,open,Accessibility Features,Build photo collage,0.12363357936590515
llama31_8b,open,Accessibility Features,Photo effects,0.43689144434790306
llama31_8b,open,Accessibility Features,Access to movies,0.7980583964947574
llama31_8b,open,Accessibility Features,Rate movies,0.43903176207060035
llama31_8b,open,Accessibility Features,Keeping up with friends,0.6748191507902896
llama31_8b,open,Accessibility Features,Play games,0.29957386258073543
llama31_8b,open,Accessibility Features,Collaborate with others,0.48670094563612126
llama31_8b,open,Accessibility Features,Write notes,0.7882420809570156
llama31_8b,open,Accessibility Features,Search for offer on item,0.1401789139819713
llama31_8b,open,Accessibility Features,List items for sale,0.48429271259053325
llama31_8b,open,Cost and Pricing,Broadcast messages to multiple contacts,0.4644685669597483
llama31_8b,open,Cost and Pricing,Send files,0.255555001382066
llama31_8b,open,Cost and Pricing,Watch streams,0.5417258432404164
llama31_8b,open,Cost and Pricing,Go Live,0.3683326423456324
llama31_8b,open,Cost and Pricing,Play playlist on shuffle mode,0.6226090802805853
llama31_8b,open,Cost and Pricing,Access to podcasts,0.6461476974919933
llama31_8b,open,Cost and Pricing,Build photo collage,0.07597540529864477
llama31_8b,open,Cost and Pricing,Photo effects,0.31851888417269003
llama31_8b,open,Cost and Pricing,Access to movies,0.719023113173249
llama31_8b,open,Cost and Pricing,Rate movies,0.4452238549895508
llama31_8b,open,Cost and Pricing,Keeping up with friends,0.6982971388002348
llama31_8b,open,Cost and Pricing,Play games,0.5130578101556164
llama31_8b,open,Cost and Pricing,Collaborate with others,0.5804081802262155
llama31_8b,open,Cost and Pricing,Write notes,0.7620274003938594
llama31_8b,open,Cost and Pricing,Search for offer on item,0.1953692326864586
llama31_8b,open,Cost and Pricing,List items for sale,0.5066735587738156
llama31_8b,open,Cross-Platform Synchronization,Broadcast messages to multiple contacts,0.40008655923582026
llama31_8b,open,Cross-Platform Synchronization,Send files,0.3900528770417251
llama31_8b,open,Cross-Platform Synchronization,Watch streams,0.5882758576982466
