model,feature,jaccard,rbo
anthropic,Access to movies,0.12380952380952381,0.08046013226314057
anthropic,Access to podcasts,0.10527670527670527,0.43159004774804155
anthropic,Broadcast messages to multiple contacts,0.06685633001422475,0.011126958941196577
anthropic,Build photo collage,0.13215758478916373,0.22471439744880609
anthropic,Collaborate with others,0.0810810810810811,0.2214727644286397
anthropic,Go Live,0.15294117647058822,0.3049164963185248
anthropic,Keeping up with friends,0.10244530244530245,0.20041117370512448
anthropic,List items for sale,0.0810810810810811,0.21571388352314963
anthropic,Photo effects,0.05263157894736842,0.045173212202306925
anthropic,Play games,0.02564102564102564,0.0007689069995307129
anthropic,Play playlist on shuffle mode,0.17687802393684748,0.4640356984912203
anthropic,Rate movies,0.002564102564102564,7.68906999530713e-05
anthropic,Search for offer on item,0.010526315789473684,0.0012884439375519517
anthropic,Send files,0.16463712757830404,0.16279008960791747
anthropic,Watch streams,0.08424213687371582,0.030509339450969473
anthropic,Write notes,0.09326469326469326,0.1779367993575355
gemini,Access to movies,0.15966386554621848,0.19570407861766634
gemini,Access to podcasts,0.16677701383583737,0.374746489812559
gemini,Broadcast messages to multiple contacts,0.0,0.0
gemini,Build photo collage,0.11145431145431144,0.10763168045277038
gemini,Collaborate with others,0.09609609609609611,0.23456828569804747
gemini,Go Live,0.04723346828609986,0.1927814635928326
gemini,Keeping up with friends,0.1021021021021021,0.18445521731206216
gemini,List items for sale,0.06970128022759603,0.15193271769994124
gemini,Photo effects,0.039136302294197026,0.040341838742639
gemini,Play games,0.002564102564102564,7.68906999530713e-05
gemini,Play playlist on shuffle mode,0.07216377742693532,0.2611655449086437
gemini,Rate movies,0.0,0.0
gemini,Search for offer on item,0.005263157894736842,0.002011084925465861
gemini,Send files,0.18334130646393454,0.1457518942707706
gemini,Watch streams,0.08185918712234501,0.030540186030575584
gemini,Write notes,0.14365079365079364,0.2522290738496512
mistral,Access to movies,0.11428571428571428,0.08538070240526183
mistral,Access to podcasts,0.2205691367456073,0.48809367154029665
mistral,Broadcast messages to multiple contacts,0.05832147937411094,0.008568416004494941
mistral,Build photo collage,0.17730455818691113,0.2748871434184556
mistral,Collaborate with others,0.069701280227596,0.33314159113375336
mistral,Go Live,0.11296393557422968,0.2684725525561366
mistral,Keeping up with friends,0.07254623044096728,0.17002800693869297
mistral,List items for sale,0.0810810810810811,0.15097815136947138
mistral,Photo effects,0.05263157894736842,0.04526314284552689
mistral,Play games,0.02564102564102564,0.0007689069995307129
mistral,Play playlist on shuffle mode,0.17647058823529413,0.48312900833054695
mistral,Rate movies,0.0,0.0
mistral,Search for offer on item,0.0,0.0
mistral,Send files,0.12739495798319328,0.22372565711218623
mistral,Watch streams,0.10227370227370228,0.03244170415445526
mistral,Write notes,0.14327731092436974,0.2844170884272414
openai,Access to movies,0.14285714285714285,0.12380612643828388
openai,Access to podcasts,0.173109243697479,0.47935385226706406
openai,Broadcast messages to multiple contacts,0.002564102564102564,7.68906999530713e-05
openai,Build photo collage,0.13968253968253969,0.17758070551644
openai,Collaborate with others,0.11111111111111112,0.22638579711469692
openai,Go Live,0.02834008097165992,0.10695394972756393
openai,Keeping up with friends,0.07634088686720265,0.05852601410885182
openai,List items for sale,0.0810810810810811,0.15406076306562358
openai,Photo effects,0.0810810810810811,0.12135868682133943
openai,Play games,0.007827260458839405,0.0028055390462310968
openai,Play playlist on shuffle mode,0.17647058823529413,0.476435317810755
openai,Rate movies,0.017948717948717947,0.08997747274140244
openai,Search for offer on item,0.0,0.0
openai,Send files,0.13087089381207032,0.1647830779992021
openai,Watch streams,0.11111111111111112,0.11461626711627246
openai,Write notes,0.12698412698412698,0.26057803568290977
perplexity,Access to movies,0.129004329004329,0.08670516818439818
perplexity,Access to podcasts,0.12448532566179624,0.45573387745586275
perplexity,Broadcast messages to multiple contacts,0.05263157894736842,0.008151703759667419
perplexity,Build photo collage,0.07527252816726501,0.08466718014161832
perplexity,Collaborate with others,0.09609609609609611,0.23150015404715552
perplexity,Go Live,0.04723346828609986,0.12677226972550795
perplexity,Keeping up with friends,0.02564102564102564,0.05479852509625518
perplexity,List items for sale,0.06699857752489333,0.28948435250446997
perplexity,Photo effects,0.048412924202397886,0.0350044399728235
perplexity,Play games,0.0,0.0
perplexity,Play playlist on shuffle mode,0.05489816016131806,0.11245132033220692
perplexity,Rate movies,0.0,0.0
perplexity,Search for offer on item,0.03151147098515519,0.022019364313059314
perplexity,Send files,0.10208683473389354,0.15767366576473454
perplexity,Watch streams,0.042127147390305285,0.02034531766558134
perplexity,Write notes,0.11379310344827587,0.2092490547579283
