open_model,proprietary_model,feature,rbo
llama31_8b,openai,Access breaking news,0.5285593178165567
llama31_8b,openai,Access courses,0.719995044228446
llama31_8b,openai,Access subtitles,0.49796629445404667
llama31_8b,openai,Activate cards for overseas usage,0.22720969012328923
llama31_8b,openai,Add items to wishlist,0.24657895981547495
llama31_8b,openai,Adjust image settings,0.3549113466769793
llama31_8b,openai,Apply filters and effects,0.14528058356107323
llama31_8b,openai,Audio playback controls,0.4065748184177735
llama31_8b,openai,Automatic wallpaper rotation,0.00879922695938496
llama31_8b,openai,Backup and restore data,0.3784590320600069
llama31_8b,openai,Barcode scanning for items,0.2886445629432664
llama31_8b,openai,Book taxis,0.5553853543535555
llama31_8b,openai,Bookmark articles,0.4661934249100223
llama31_8b,openai,Browse by categories,0.13379800795701505
llama31_8b,openai,Browse by category,0.10024726508164428
llama31_8b,openai,Calculate fares,0.37834642491418463
llama31_8b,openai,Calorie tracking,0.5607363906136862
llama31_8b,openai,Change fonts,0.012646385162053006
llama31_8b,openai,Check public transport routes,0.46477861266392767
llama31_8b,openai,Comment on posts,0.6412971758444654
llama31_8b,openai,Compare prices,0.26169058294246444
llama31_8b,openai,Create collages,0.1611237983927611
llama31_8b,openai,Create playlists,0.6590161643844962
llama31_8b,openai,Currency converter,0.04355635411543259
llama31_8b,openai,Customize interface settings,0.11896754979865101
llama31_8b,openai,Customize themes,0.03578413808283223
llama31_8b,openai,Diet planning,0.46512260276017825
llama31_8b,openai,Discover new people,0.6229901210360562
llama31_8b,openai,Download books,0.2402495870393799
llama31_8b,openai,Download content for offline use,0.10969725678617012
llama31_8b,openai,Edit audio files,0.3939429381108561
llama31_8b,openai,File management,0.0625214019431228
llama31_8b,openai,Financial calculators,0.00014329898446481003
llama31_8b,openai,Find nearby places,0.5025813329582182
llama31_8b,openai,Follow training plans,0.3417676711970776
llama31_8b,openai,Follow users,0.6296481452781671
llama31_8b,openai,Get audio coaching,0.2298219649751333
llama31_8b,openai,Highlight text,0.04113721894577797
llama31_8b,openai,Listen to interviews,0.06174383154648901
llama31_8b,openai,Manage shopping cart,0.3591446365094516
llama31_8b,openai,Monitor heart rate,0.10198708504882496
llama31_8b,openai,Offline learning,0.5256713069163487
llama31_8b,openai,Pay bills,0.18183658516432985
llama31_8b,openai,Pay credit card bills,0.020783304895657294
llama31_8b,openai,Personalized news feed,0.49206459400340313
llama31_8b,openai,Photo editing tools,0.5069486994571641
llama31_8b,openai,Post content updates,0.5543677465033352
llama31_8b,openai,Private chat with users,0.6480262754695384
llama31_8b,openai,Read articles offline,0.5720216486357493
llama31_8b,openai,Read ebooks,0.22084821672520205
llama31_8b,openai,Real-time messaging,0.6912930199727421
llama31_8b,openai,Real-time traffic updates,0.4521263844945998
llama31_8b,openai,Receive daily promotions,0.32104756650105715
