model,feature,name,description,type,sources
anthropic,Search for offer on item,Deal Coverage Breadth,Number of supported retailers and merchant partnerships for finding deals,Integer [1],"App store descriptions, company websites, user reviews"
anthropic,Search for offer on item,Real-time Price Tracking,Ability to monitor and alert users about price changes and price drops in real-time,Boolean [1],"App features, user reviews, testing reports"
anthropic,Search for offer on item,Automatic Coupon Application,Capability to automatically find and apply coupon codes during checkout,Boolean [1],"App functionality, user testimonials, feature documentation"
anthropic,Search for offer on item,User Rating Score,Average user rating across app stores reflecting user satisfaction,Float [1],"Google Play Store, Apple App Store, third-party review platforms"
anthropic,Search for offer on item,Cashback Percentage,Average percentage of cashback offered across participating merchants,Float [1],"App interfaces, promotional materials, comparison websites"
anthropic,Search for offer on item,Deal Coverage Breadth,Number of supported retailers and brands offering deals and cashback opportunities,Integer [1],"App store descriptions, official websites, user reviews"
anthropic,Search for offer on item,Cashback Percentage Rate,Average percentage of cashback or savings offered across participating merchants,Float [1],"App interfaces, promotional materials, comparison websites"
anthropic,Search for offer on item,User Experience Quality,"Ease of finding deals, app navigation, search functionality, and overall user interface design",Float [1],"App store ratings, user reviews, usability testing reports"
anthropic,Search for offer on item,Deal Discovery Features,"Advanced features like price tracking, deal alerts, barcode scanning, location-based offers",Integer [1],"App feature lists, promotional content, user manuals"
anthropic,Search for offer on item,Payout Reliability,"Consistency and speed of cashback payments, minimum payout thresholds, payment methods available",Float [1],"User reviews, terms of service, payment processing information"
anthropic,Search for offer on item,Deal Coverage,Number of supported retailers and merchants where the app can find deals and offers,Integer [1],"App store descriptions, official websites, user reviews"
anthropic,Search for offer on item,Real-time Price Comparison,Ability to automatically compare prices across multiple retailers in real-time,Boolean [1],"App features, user testing, technical specifications"
anthropic,Search for offer on item,Automatic Coupon Application,Capability to automatically find and apply coupon codes during checkout,Boolean [1],"App functionality, user reviews, feature documentation"
anthropic,Search for offer on item,Cashback Percentage,Average percentage of cashback offered across participating retailers,Float [1],"Official rates, user earnings reports, promotional materials"
anthropic,Search for offer on item,User Rating,Average user rating across app stores reflecting user satisfaction and app quality,Float [1],"Google Play Store, Apple App Store, user review aggregators"
anthropic,Search for offer on item,Number of Supported Retailers,Total count of online and offline retailers where the app can find deals and offers,Integer [1],"App store descriptions, official websites, user reviews"
anthropic,Search for offer on item,Automatic Coupon Application,Boolean indicator of whether the app automatically applies available coupons at checkout without manual intervention,Boolean [1],"App features, user reviews, official documentation"
anthropic,Search for offer on item,Price Comparison Accuracy,Percentage accuracy of real-time price comparisons across multiple retailers for the same product,Float [1],"Third-party reviews, user feedback, testing reports"
anthropic,Search for offer on item,Deal Discovery Speed,Average time in seconds required to find and display available offers for a searched item,Float [1],"Performance testing, user experience reviews, app analytics"
anthropic,Search for offer on item,User Rating Score,Average user rating score from app stores on a scale of 1-5 stars,Float [1],"Google Play Store, Apple App Store, third-party review platforms"
anthropic,Search for offer on item,Coupon Coverage,Number of supported retailers and brands offering coupons and deals,Integer [1],"App store descriptions, user reviews, company websites"
anthropic,Search for offer on item,Automatic Deal Detection,Ability to automatically find and apply coupon codes during checkout,Boolean [1],"App features, user reviews, app store descriptions"
anthropic,Search for offer on item,Cashback Percentage,Average percentage of cashback offered across supported merchants,Float [1],"App terms, merchant partnerships, user reviews"
anthropic,Search for offer on item,User Rating,Average user rating score in app stores,Float [1],"Google Play Store, Apple App Store"
anthropic,Search for offer on item,Real-time Price Comparison,Capability to compare prices across multiple retailers in real-time,Boolean [1],"App features, user reviews, app store descriptions"
anthropic,Search for offer on item,Number of Active Deals,"Total count of current active deals, coupons, and offers available through the app",Integer [1],"App store data, company websites, third-party analytics"
anthropic,Search for offer on item,Retailer Coverage,Number of partner retailers and brands offering deals through the platform,Integer [1],"Official partner lists, app descriptions, company reports"
anthropic,Search for offer on item,Average Discount Percentage,Mean percentage discount or cashback offered across all deals,Float [1],"Deal aggregation data, user reviews, promotional materials"
