App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Notion,1,1,1,1,1,1,1,1,1,1
Todoist,2,2,2,0,3,3,2,3,3,2
Evernote,3,3,3,4,2,2,3,2,2,3
Trello,4,6,0,2,0,6,4,0,0,0
Microsoft To Do,6,4,4,5,4,4,6,4,4,6
 Trello,0,0,5,0,5,0,0,5,5,4
Asana,5,7,6,3,6,7,5,6,6,5
 Todoist,0,0,0,6,0,0,0,0,0,0
Forest,8,0,0,0,0,5,0,0,0,0
Slack,0,0,0,0,0,0,0,0,7,0
Any.do,7,5,7,8,8,9,7,8,0,7
Google Keep,0,0,8,7,7,8,9,7,0,8
Google Workspace,0,0,0,0,0,0,0,0,8,0
ClickUp,0,9,9,9,9,0,8,9,10,9
TickTick,9,0,0,0,0,10,0,0,0,0
Monday.com,0,8,0,10,10,0,10,10,9,10
Habitica,10,0,0,0,0,0,0,0,0,0
Wunderlist,0,10,0,0,0,0,0,0,0,0
monday.com,0,0,10,0,0,0,0,0,0,0
