name,description,type,sources
Ad Frequency,"The number and length of advertisements during movie playback for free, ad-supported services.",Integer[*],"User reviews, personal observation"
Ad Frequency,Number of ads displayed per hour of viewing (for free services).,Integer[1],"User Reviews, Personal Testing"
Ad Frequency,Number of ads displayed per hour of viewing for ad-supported plans.,Integer[1],"User Reviews, Personal Testing"
Ad Frequency,How often ads appear during movie playback.,Integer[1],"User Reviews, Personal Testing"
Ad Frequency,How often ads interrupt the viewing experience.,Text[1],"User reviews, third-party reviews"
Ad Frequency,Number of ads displayed per hour of viewing.,Integer[1],"User reviews, personal testing"
Ad Frequency,"The number of ads displayed per hour of viewing (for free, ad-supported platforms).",Integer[1],"User reviews, independent reviews"
Ad Frequency,How often ads are displayed during movie playback (for free services).,Integer[1],"Source 1, 16"
Ad Frequency,The frequency and intrusiveness of advertisements during movie playback (for free services).,"Integer, [1]","User reviews, Personal testing"
Ad Frequency (if applicable),"The number and intrusiveness of ads for free, ad-supported services.",Integer[1],"User Reviews, Expert Reviews"
Content Library Size,"The breadth and depth of available movies, including new releases, classics, and exclusive content.",Integer[*],"App Store, Google Play Store, third-party reviews"
Content Library Size,Total number of movies and TV shows available on the platform.,Integer[*],"App Store, Google Play Store, Streaming Service Website"
Content Library Size,Total number of movies available on the app.,Integer[*],"App Store, Google Play Store, Company Website"
Content Library Size,The number of movies and TV shows available on the app.,Integer[*],"App Store, Google Play Store, third-party reviews"
Content Library Size,Total number of movies available on the platform.,Integer[*],"App Store, Google Play Store, Third-party app analysis websites"
Content Library Size,The number of movies and TV shows available on the platform.,Integer[*],"App Store, Google Play Store, independent reviews"
Content Library Size,Number of movies and TV shows available on the platform.,"Integer, [1]","App Stores, Third-party app analysis sites"
Content Library Size & Variety,"The breadth and depth of the movie catalog available, including genres, new releases, and classic films.",Integer[*],"App Store, Google Play Store, Expert Reviews"
Content Variety,"Breadth and depth of movie titles available, including genres and release years.",Integer[*],"App Store, Google Play Store, User Reviews"
Content Variety,"Breadth and depth of movie selection, including genres, new releases, and classics.",Text[*],Multiple sources
Cost,"Subscription fees, free options, or ad-supported models.",Float[1],Multiple sources
Cost,"Subscription fees, in-app purchases, or availability of a free, ad-supported tier.","Float, [1]","App Stores, Official website"
Device Compatibility,"The range of devices (smartphones, tablets, smart TVs, streaming devices) on which the app is available.",Text[*],"App Store, Google Play Store"
Device Compatibility,"Range of devices supported (e.g., smartphones, tablets, smart TVs, web browsers).",Text[*],"App Description, Streaming Service Website"
Device Compatibility,"The range of devices (smartphones, tablets, smart TVs, streaming devices) the app supports.",Text[*],"App Store, Google Play Store"
Device Compatibility,"Range of devices supported (e.g., iOS, Android, Roku, Smart TVs).",Text[*],"App description, official website"
Device Compatibility,"The range of devices supported by the platform (e.g., smartphones, tablets, smart TVs, streaming devices).",Text[*],"App Store, Google Play Store, official website"
Device Compatibility,"Compatibility with various devices and platforms (e.g., Android, iOS, Roku, Smart TVs).",Text[*],Multiple sources
Device Compatibility,"Range of devices (smartphones, tablets, smart TVs, streaming devices) that the app supports.","Text, [*]","App Stores, Developer documentation"
Multi-Language Subtitles,The availability of subtitles in multiple languages.,Boolean[1],App description
Offline Downloads,The ability to download movies for offline viewing without an internet connection.,Boolean[1],"App description, user reviews"
Offline Downloads,Ability to download movies for offline viewing.,Boolean[1],"App Features, Subscription Details"
Offline Downloads,Availability of downloading movies for offline viewing.,Boolean[1],"App Description, User Reviews"
Offline Downloads,Whether the app allows users to download movies for offline viewing.,Boolean[1],"App features list, user reviews"
Offline Downloads,Ability to download movies for offline viewing.,Boolean[1],"App description, FAQ"
