family,model,provider,mode,k,feature,run,name,description,type,sources,cluster_id,cluster_size,selection_method,centroid_distance,connectivity_score,silhouette_score
proprietary,anthropic,anthropic,structured,20,Rate movies,0,Cross-Platform Availability,"Number of platforms supported including iOS, Android, web, and desktop applications",Text [*],"official app website, app store, app store listing, google play store, official website, developer website, official app store, app description, app store description, platform documentation, feature documentation, app specification, user review, official app description, app store availability, compatibility documentation, user manual, company website, multiple source, apple app store, google play, user testing, official compatibility list, technical specification, user guide, zapier, tech review, tech blog, consumer report, anyviewer.com, engadget, compatibility list, developer documentation, official app specification, industry report, turn0search2, line, groupme, whatsapp, nextstepliving, mobiletrans.wondershare.com, switcher studio, clickup, platform compatibility list, platform availability, official platform support list, app website, vendor website, turn0search0, turn0search1, vocal media, qewd, shutterfly, cnet.com, jotform, mobiletran, platform specification, platform feature, user testimonial, compatibility matrice, api documentation, official game website, platform store, official documentation, app feature, compatibility chart, user feedback, official platform support page, developer information, review, expert review, pcmag, product specification, official platform website, official app documentation, platform official documentation, plex, descript.com, whatpod, descript, slack, microsoft team, google chat, appypie, switcherstudio, cnet, dinamicostudio.com, teachthought.com, letterboxd, nextstepliving.com, anyviewer, scribecount, clickup.com",0,352,aggregated_voting,0.35316357016563416,0.7761560082435608,0.38537484407424927
proprietary,perplexity,perplexity,structured,20,Rate movies,0,Community Engagement,"Level of interaction such as reviews, comments, and social sharing features within the app",Text [1],"user review, official app website, app description, sensor tower, app annie, google play store, official app description, app store description, app store, user forum, similarweb, letterboxd, app feature, expert review, tech review, customer support forum, official support channel, tech blog, rater, app features list, social media channel, app store review, social media, community forum, user feedback, social media platform, techcrunch, google play description, official app forum, social media page, customer support review, app store listing",1,106,aggregated_voting,0.5451803207397461,0.5897716879844666,0.12478045374155045
proprietary,gemini,gemini,structured,20,Play playlist on shuffle mode,0,User Interface,Ease of use and overall design of the app.,Text [1],"user review, expert review, app store rating, tech blog, app store description, multiple source, usability studie, ui/ux analysi, tech review, app store review, user feedback, app review, app store, google play store, groupme, tutorial availability, app description, official app website, tom's guide, tomsguide.com, editor review, user reviews on app store, usability testing report, expert reviews from tech blog, app screenshot, mobile text alert, emitrr, amzscout.net, anyviewer.com, ux analysi, app store feedback, design award, expert analyse, expert analysi, techradar, app tutorial, google play review, app store listing, user experience review, personal testing, greenlight, google play store review, cnet, official app description, platform tutorial, shutterfly, rocket.chat, greenlight.com, ux design analysi, ux design review, usability testing feedback, ux review, independent review, simicart, app store comment, amzscout, youtube, third-party review, user feedback on app store, pcmag, trustpilot, google play, industry analyse, app critique, turn0search0, turn0search1, app demonstration, app walkthrough, ([tomsguide.com](https://www.tomsguide.com/us/youtube-tv-faq%2creview-5059.html?utm_source=openai)), qewd, plex, simicart.com, wtop.com, dinamicostudio.com, teachthought.com, nextstepliving, jotform, anyviewer, clickup",2,319,aggregated_voting,0.3517843782901764,0.7520634531974792,0.34774330258369446
proprietary,perplexity,perplexity,structured,20,Access to movies,0,Content Library Size,"The number of movies and TV shows available for streaming on the app, indicating variety and breadth of content.",Integer [1],"app store, app store description, google play store, user review, official app website, vocal media, official website, third-party review, app description, official app description, tech blog, switcher studio, official platform statistic, third-party analytic, plex, cnet, third-party content tracking service, platform database, content catalog, multiple source, expert review, platform feature, content database, official platform website, content analysis report, industry report, turn0search0, turn0search1, turn0search2, ([time.com](https://time.com/7004929/best-streaming-service-for-movies-tv-sports/?utm_source=openai)), consumer report, google play, tcl",3,96,aggregated_voting,0.4628354609012604,0.6955514550209045,0.20847800374031067
proprietary,gemini,gemini,structured,20,Photo effects,0,Cost,"The app's pricing model, including whether it's free, subscription-based, or has in-app purchases.",Float [1],"app store, official app website, google play store, app store listing, official pricing page, user review, pricing page, app store description, apple app store, multiple source, official platform website, dinamicostudio.com, cnet.com, teachthought.com, app store information, app store subscription detail, official website, in-app purchase information, official app description, switcher studio, subscription plan, company website, app website, app store pricing, developer website, editor review, app description, cnet, techradar, spotify, apple music, amazon music, pandora, deezer, iheartradio, youtube music, tidal, soundcloud, napster, qobuz, audiomack, gaana, jiosaavn, wynk music, hungama music, boomplay, anghami, trebel, clickup, scribecount, subscription detail, vendor website, in-app information, pcmag, industry report, official app documentation, wikipedia, smart shuffle, shutterfly, tom's guide",4,168,aggregated_voting,0.3545074760913849,0.7822918891906738,0.3991006910800934
proprietary,gemini,gemini,structured,20,Search for offer on item,0,User Ratings,"Average rating given by users on app stores, reflecting user satisfaction.",Float [1],"google play store, app store, apple app store, user review, amazon appstore, user review aggregator, google play, app store rating, imdb, app description, review aggregator, letterboxd, rotten tomatoe, trustpilot, google play rating, capterra, g2, expert review, app store listing, independent review site, official app description, 300mind.studio, apple app store rating, third-party review platform, multiple, third-party review site, user review platform, app store review, https://300mind.studio/blog/most-popular-mobile-games/, https://www.singular.net/blog/top-mobile-games/, beginrescueend.com, rater, taste, nextstepliving, jotform",5,193,aggregated_voting,0.3272855877876282,0.7974259257316589,0.4449632167816162
proprietary,openai,openai,structured,20,Broadcast messages to multiple contacts,0,Security and Privacy,"The level of security and privacy features offered by the app, such as end-to-end encryption and data protection measures.",Text [*],"security audit, official app website, privacy policie, user review, official app documentation, app documentation, security review, tech blog, whatsapp, element, anyviewer.com, tomsguide.com, official documentation, app store description, security whitepaper, security documentation, multiple source, security audit report, expert review, tech review, app store, google play store, rocket.chat, technical specification, vendor website, tech news article, techcrunch, the verge, official app description, developer website, developer specification, turn0search15, turn0search17, groupme, mobiletrans.wondershare.com, anyviewer, tom's guide",6,112,aggregated_voting,0.41965529322624207,0.7550637125968933,0.36078211665153503
proprietary,openai,openai,structured,20,Write notes,0,Feature Set,"The variety and depth of functionalities offered by the app, such as multimedia support, collaboration tools, and integration capabilities.",Text [*],"official app website, user review, app store description, expert review, app description, tech blog, tech review, official app description, app store, google play store, developer website, user manual, user feedback, app store listing, medicinal media, multiple source, consumer report, tomsguide.com, dropbox.com, feature list, app review, techradar, official website, science of people, mobiletrans.wondershare.com, mashable, zapier, expert analyse, g2 crowd, pcmag, platform feature list, official app documentation, feature comparison article, plex, vocal media, howbout, anyviewer.com, tom's guide, dropbox, mobiletran",7,165,aggregated_voting,0.48170819878578186,0.6505640149116516,0.17350980639457703
proprietary,openai,openai,structured,20,Build photo collage,0,Number of Downloads,"Total number of times the app has been downloaded, reflecting its popularity.",Integer [1],"google play store, apple app store, app store, sensor tower, amazon appstore, official app blog, app annie, app store update history, developer changelog, gaming news site, official app website",8,46,aggregated_voting,0.473587304353714,0.7124316096305847,0.2936166524887085
proprietary,openai,openai,structured,20,Broadcast messages to multiple contacts,0,User Base Size,"The number of active users on the platform, indicating its popularity and potential reach.",Integer [1],"company report, app store analytic, google play store, sensor tower, market research, app store, app analytics platform, market research firm, app annie, similarweb, google play, third-party research, official app website, agiletech, science of people, switcher studio, industry analytic, app store statistic, developer report, analytics platform, industry report, amzscout.net, market research data, app store data, third-party analytics platform, agiletech vietnam, greenlight, multiple source, platform official statistic, company earnings report, third-party market research, soax, market analysis report, simicart.com, greenlight.com, amzscout, wtop, market research report, industry statistic, third-party analytic, official company report, appfigure, statista, hootsuite blog, simicart, various source, apple app store, twitch, bigo live, agiletech.vn",9,154,aggregated_voting,0.3692803680896759,0.7724305987358093,0.4170517325401306
