name,description,type,sources,cluster_id,cluster_size,centroid_distance
Subscription Cost,The monthly fee required to access the platform's content.,Float [1],"Amazon Music, Anghami, App Descriptions, App pricing information, Apple Music, Audiomack, Boomplay, Deezer, Gaana, Hungama Music, JioSaavn, Napster, Official Websites, Official app documentation, Official app websites, Official platform pricing pages, Pandora, Qobuz, Smart Shuffle, SoundCloud, Spotify, Tidal, Trebel, Wynk Music, YouTube Music, app store listings, iHeartRadio, industry reports, pricing pages, turn0news12, turn0news13, turn0news15, turn0news16, turn0search0, turn0search1, turn0search2",1,3,0.31628793478012085
Cost,"The pricing model of the app, including whether it is free, has in-app purchases, or requires a subscription.",Text [1],"App Store, App Store pricing, App Stores, App store, App store descriptions, App store pricing, Developer Website, Google Play Store, Multiple sources, Official website, Pricing pages, Vendor Pricing Pages, Vendor Website, editor reviews, in-app information, in-app purchase information, official website, pricing information, reviews, subscription details",2,9,0.30309557914733887
Platform Compatibility,The range of devices the app supports.,Text [*],"App Descriptions, Official Websites, Official app documentation, Official app websites, Platform official documentation, Platform official website, app store listings, tech reviews, turn0news12, turn0news13, turn0news14, turn0news21, turn0news22, turn0news23, turn0search0, turn0search1, turn0search15, turn0search16, turn0search17, turn0search18, turn0search19, turn0search2, turn0search20, user manuals, user reviews",3,7,0.2159891575574875
Platform Availability,"The platforms (iOS, Android, Web) on which the app is available.",Text [*],"App Store, App description, Croma Unboxed, Google Play Store, Multiple sources, PCMag, Reviews, Send Anywhere, Sterling College, Website",4,5,0.25129786133766174
Geographical Availability,Number of countries where the service is available,Text[*],"App Store, Google Play, Official app descriptions, Official app websites, tech blogs",5,2,0.4745137095451355
User Interface and Ease of Use,The intuitiveness and user-friendliness of the app's interface.,Text [1],"User reviews, app demonstrations, app ratings, app store ratings, app walkthroughs, turn0news12, turn0news13, turn0news14, turn0news16, turn0news20, turn0news21, turn0news22, turn0news23, turn0search0, turn0search1, turn0search15, turn0search16, turn0search17, turn0search18, turn0search19, turn0search20",6,12,0.27792447805404663
User Base,"The number of active users on the platform, indicating its popularity and reach.",Integer [1],"App Store, Company Reports, Company reports, Google Play Store, Platform official reports, Platform official statistics, industry analyses, industry reports, turn0search19, turn0search21, turn0search24",7,5,0.2860450744628906
User Reviews and Ratings,"Feedback from users regarding their experiences with the app, reflecting satisfaction and reliability.",Float [1],"App Store, Google Play Store, Independent Review Sites, Review Aggregator Sites, Review Aggregators, User Review Platforms",8,3,0.24089552462100983
User Ratings,The average rating given by users on app stores.,Float [1],"Amazon Appstore, App Annie, App Store, App Store Reviews, App Store ratings, App Stores, App store listings, App store ratings, App stores, AppAnnie, AppStore, Apple App Store, Capterra, G2, Google Play, Google Play Store, Google Play ratings, Microsoft Store, PlayStore, Sensor Tower, Trustpilot, other app marketplaces, review aggregation sites, review websites, tech reviews, third-party review aggregators, third-party review platforms, third-party review sites, third-party review websites, user feedback, user review aggregators, user review platforms, user review websites, user reviews",9,5,0.21250030398368835
Update Frequency,"How often the app is updated with new features, bug fixes, and improvements.",Text [1],"Amazon Appstore, App Annie, App Store, App Store update history, App store descriptions, App store listings, App store update histories, App store update history, Apple App Store, Google Play, Google Play Store, Official Blogs, Official app blogs, Official app websites, Release notes, Sensor Tower, developer blogs, official app blogs, official app websites",10,3,0.30172204971313477
Number of Downloads,Total number of times the app has been downloaded.,Integer [1],"3rd party app analytics providers, Amazon Appstore, App Annie, App Store, AppMagic, Appfigures, Apple App Store, Appmagic, Business of Apps, Google Play Store, Microsoft Store, Sensor Tower, Udonis Blog",11,3,0.15425151586532593
Ad Frequency,Number of ads displayed per hour of viewing (for free services).,Integer[*],"16, Personal Testing, Personal testing, Source 1, User Reviews, User reviews, free tier descriptions, independent reviews, personal observation, personal testing, third-party reviews",12,2,0.49563220143318176
Ad-Free Option,Availability of a subscription or version without advertisements.,Boolean[1],"App Store, App descriptions, App pricing, App store descriptions, Developer Website, Google Play Store, How-To Geek, Yahoo, review articles, user reviews",13,3,0.4489910900592804
Integration Capabilities,Ability to integrate with other tools and services.,Text [1],"Developer documentation, IFTTT, Integration marketplaces, Official app websites, Zapier, app store descriptions, developer documentation, integration marketplaces, tech reviews, user feedback, user reviews",14,2,0.3325344920158386
Customer Support,The availability and quality of customer support services.,Text [1],"Company Website, Official App Documentation, Official App Website, Official app websites, Support Pages, User Reviews, User Testimonials, User reviews, official app websites, official support channels, user reviews",15,3,0.39778146147727966
Community Engagement,The level of engagement and interaction within the app's community.,Text [1],"Social media, community forums, in-app activity, user forums, user reviews",16,3,0.22427049279212952
Privacy and Security,The level of privacy and security features offered by the app.,Text[1],"App Store descriptions, Electronic Frontier Foundation, Google Play Store descriptions, Google Play descriptions, Official App Websites, Official app descriptions, Official app websites, Privacy International, Privacy Policies, Security Audits, Security Reports, Security Reviews, Security audits, Tech Reviews, TechCrunch, The Verge, privacy policies, security reviews, user reviews",17,4,0.19712144136428833
Customization Options,The extent to which users can customize the app's appearance and functionality.,Text [1],"App documentation, Official app websites, turn0search1, turn0search11, turn0search2, turn0search4, user reviews",18,7,0.5487120747566223
Mobile Optimization,Performance and features specific to mobile devices.,Boolean,"App descriptions, Facebook, Greenlight, SaleHoo, Shopify Australia, SimiCart, TikTok Live, YouTube, user reviews",19,1,0.0
