App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Evernote,1,1,5,1,1,2,3,2,2,1
Microsoft OneNote,2,2,2,2,2,1,1,1,1,2
Obsidian,5,3,1,4,5,4,5,4,4,5
Google Keep,3,5,3,5,3,5,2,5,5,3
Notion,4,4,7,3,4,3,4,3,3,4
Simplenote,6,7,4,6,6,6,6,6,6,6
Bear,7,8,8,7,7,7,7,7,7,7
Apple Notes,8,6,6,8,8,8,8,8,8,8
Ulysses,9,9,10,9,9,9,20,9,9,9
Standard Notes,11,10,9,11,11,10,9,10,11,11
Joplin,10,11,11,10,10,11,11,11,10,10
Zettlr,12,0,0,12,15,0,10,15,12,0
Quip,15,12,14,15,12,12,14,12,13,12
Dropbox Paper,14,13,0,14,13,13,0,14,14,13
Miro,13,14,0,13,14,14,0,13,15,14
Zoho Notebook,19,0,12,0,0,18,12,0,0,0
Mem AI,16,15,0,16,16,15,0,16,16,15
Perplexity,0,16,0,0,17,0,0,17,0,16
Notability,17,0,16,17,0,16,0,0,17,0
Turtl,20,0,13,20,0,19,13,0,20,0
GoodNotes,18,0,15,18,0,17,16,0,18,0
Notejoy,0,0,0,0,0,0,17,0,0,0
Nimbus Note,0,0,0,0,0,20,15,0,0,0
Grammarly,0,17,0,0,18,0,0,18,0,17
Dynalist,0,0,18,0,0,0,0,0,0,0
Coda,0,0,0,0,0,0,18,0,0,0
Roam Research,0,0,17,19,0,0,19,0,19,0
Recall,0,18,0,0,19,0,0,19,0,18
Inkdrop,0,0,19,0,0,0,0,0,0,0
FocusWriter,0,0,0,0,0,0,0,0,0,19
CommitTo3,0,19,0,0,0,0,0,20,0,0
Water Tracker,0,20,0,0,0,0,0,0,0,0
Boostnote,0,0,20,0,0,0,0,0,0,0
Nabla,0,0,0,0,20,0,0,0,0,0
WriteMonkey,0,0,0,0,0,0,0,0,0,20
