model,Accessibility Features,Cost and Pricing,Cross-Platform Synchronization,Customer Support,Customization Options,Feature Breadth and Richness,Integration with Other Services,Performance and Stability,Platform and Device Compatibility,Popularity and Market Reach,Regional and Geographical Availability,Regular Updates and Maintenance,Security and Privacy,User Engagement,User Interface and Experience,User Ratings,MODEL_MEAN
llama31_8b,-0.14645911409115253,-0.11428317002238517,-0.14327305504160162,-0.09267313100048633,-0.12223067648495732,-0.07058153045518552,-0.06642927812045689,-0.132238115838421,-0.03588031525259401,-0.05028621409383958,-0.08060913687703765,-0.16283746693792683,-0.13491564658166824,-0.059658272035157126,-0.044208712412907386,-0.08666543856253624,-0.09645182961301958
gemma3_4b,0.005124072080839792,-0.1083568667588492,-0.035340012706299335,-0.07175455185482506,-0.05901730035087416,-0.08302585570830927,-0.023779054923345564,-0.06278524156919014,-0.017216326535627765,-0.006942004528828202,-0.07523323789301271,-0.06725452241542473,-0.10342572783547664,0.013346954658315341,-0.03683745705337906,-0.060191262983944095,-0.04954302477363943
qwen3_8b,-0.05253570785815127,0.007214280514516051,0.027793847355930892,0.01583366532562632,-0.11174554099924856,0.0006281043734140679,0.025966951233450726,0.019677181637153957,0.02176171372257267,0.06564815663326998,0.02878471333055757,-0.02439876618770293,-0.1406071874940593,0.052662207938942385,-0.02422021666776922,-0.014829638509680387,-0.006397889728198566
gptoss20b,0.012154995907904798,-0.08439640219549514,-0.014998003777033739,-0.06147884827924177,-0.13501556029980738,0.0048471644281652924,-0.013289984760585148,0.03218757222674633,-0.026792877819541754,0.04094429354595936,0.031303343884818965,-0.01297820810126863,-0.10267472519254271,0.06539009034466761,-0.006872179536395559,-0.11698532364375729,-0.024290915829212924
mistral_open,-0.08388773656637619,-0.05327043484512209,0.010197618205347349,-0.010183098356465753,-0.03969385013332626,0.01943394194571798,0.0367583437187561,-0.03246950810413081,0.011359067903463981,0.08143399196386979,-0.02921296278023523,0.018366760511602933,-0.09163298016936262,0.044186616136225355,0.002540694871630104,0.01671061769408254,-0.006210182375270176
deepseekr1_8b,-0.06238953520539187,-0.1388678733034639,0.012165248409772504,-0.09196705607653544,-0.10715550100490759,-0.011512607832700951,-0.07255707749916991,-0.04501427883060706,-0.04932661527981107,0.012120258203369368,0.004023629006410175,-0.049705217475937466,-0.13245105053354908,-0.00991345718840254,-0.07480388464477275,-0.01150481722499536,-0.05180373978004331
openai,-0.030414579971100003,-0.05003607306279839,0.020381633196905436,-0.07219391394128001,-0.09504430987152827,-0.03738109832383145,-0.027317973791116678,-0.03371155718462819,0.02133626941384856,0.03588952965501671,0.02415934305916095,-0.018402493925750617,-0.12395906214002068,0.005562790640594287,-0.04161102006050346,-0.1610574055821154,-0.03648749511807171
gemini,-0.06656281364814196,-0.07018474522107077,0.043412311796377535,-0.126511220365942,-0.18358896593410834,-0.016705143322048643,-0.02388411429670055,-0.010794274093156017,-0.005761049711699079,0.03312772330300454,-0.04600195250271192,-0.04862805318318121,-0.18226618921316995,0.0188730459281505,-0.03281804752715619,-0.31310577960595315,-0.0644624542248442
anthropic,0.0004166190758135291,0.0033035074191795424,0.04149174070847925,-0.0040090359785488056,-0.08017605510810727,-0.052511415771011885,-0.027565570173872844,-0.01946033940801567,0.003726979596373123,0.05593189839326526,-0.04779183055353064,-0.025496367257602202,-0.012789030669673372,-0.007663384403948217,-0.0018331754912915416,-0.05016961631390657,-0.014037192246024895
mistral,-0.03687097626950487,-0.014732072192409865,-0.009076773528487465,0.004024118768060074,-0.013991838729970597,-0.030076029394345727,-0.0023783428387346706,-0.00258910366618631,0.008465509694633458,-0.06412226554902872,-0.04672122765817605,-0.01937354089398559,-0.09491488408883135,-0.02204242147447477,-0.01568359567128904,-0.07717081493691567,-0.027328391151852947
CRITERION_MEAN,-0.046142477654526066,-0.0623609849667899,-0.0047245445380609185,-0.051091307175963885,-0.09476595989168356,-0.027688447006013604,-0.01944761014517754,-0.02871976648304349,-0.00683276442683819,0.020374536752605848,-0.023729931898375654,-0.04107078758671772,-0.11196364839183541,0.010074417054491282,-0.02763475941938341,-0.08749694796697217,-0.03770131148401777
