id;name;description;type;sources
RC_01;Cost;The app's pricing model, including whether it's free, subscription-based, or has in-app purchases.;Text [1];app store, official app website, google play store, app store listing, pricing page, dinamicostudio.com, cnet.com, teachthought.com, official pricing page, official website, app store pricing, in-app purchase information, user review, multiple source, techradar, spotify, apple music, amazon music, pandora, deezer, iheartradio, youtube music, tidal, soundcloud, napster, qobuz, audiomack, gaana, jiosaavn, wynk music, hungama music, boomplay, anghami, trebel, app website, vendor website, developer website, in-app information, pcmag, cnet, company website, official app documentation, wikipedia, smart shuffle, shutterfly, tom's guide
RC_02;Customer Support;The availability and quality of customer support services.;Text [1];user review, official app website, customer support forum, official support channel, tech blog, social media channel, user forum, official app forum, social media page, customer support review
RC_03;Customization Options;The ability to customize the app's interface, themes, and functionality.;Boolean[1];user review, app description, expert review, app feature, multiple source, app setting, app features list, app review, multiple, tutorial, app feature documentation, user interface analysi, app documentation, user feedback, official app website, nextstepliving, top10
RC_04;Ease of Use;How user-friendly and intuitive the app interface is.;Text [1];user review, expert review, ui/ux analysi, tutorial availability, app store description, multiple source, editor review, app store review, expert reviews from tech blog, tom's guide, usability studie, app store feedback, greenlight, app tutorial, google play review, app store, shutterfly, amzscout.net, greenlight.com, usability testing feedback, app store rating, app description, amzscout, usability testing report, tech blog, google play store, platform tutorial, simicart.com, tomsguide.com
RC_05;Feature Set;Range and quality of features offered by the app.;Text [1];official app website, app store description, user review, expert review, tech blog, tech review, official app description, app store, google play store, app description, user feedback, user manual, techradar, developer website, g2 crowd, pcmag, official website, platform feature list
RC_06;Geographical Availability;Regions or countries where the app is accessible.;Text [*];official app website, app store, google play, official app description
RC_07;In-App Purchases;The availability and variety of in-app purchases.;Boolean [1];google play store, apple app store, user review
RC_08;Integration Capabilities;Ability to integrate with other popular apps and services.;Text [*];official app website, user review, official app documentation, tech blog, app store description, tech review, app documentation, app description, multiple source, expert review, zapier, ifttt, user manual, integration guide, api documentation, developer documentation, user feedback, integration marketplace, app store listing, company website
RC_09;Monthly Active Users;Total number of active users per month, indicating platform reach and audience size;Integer [1];company report, app store analytic, app analytics platform, market research firm, market research, third-party research, developer report, analytics platform, industry analytic, third-party analytics platform, company earnings report, market research data, app store data
RC_10;Number of Downloads;Total number of times the app has been downloaded from major app stores.;Integer [1];google play store, apple app store, sensor tower, amazon appstore, app store, app annie
RC_11;Platform Availability;The operating systems and devices the app supports, affecting accessibility.;Text [*];app store, official website, google play store, official app website, app store listing, company website, official app store
RC_12;Security and Privacy;The level of encryption and privacy features offered to protect user data and communications.;Text [*];security audit, privacy policie, official app website, app documentation, user review, official app documentation, whatsapp, element, tech blog, security documentation, multiple source, official documentation, security review, app store description, rocket.chat, anyviewer.com, tomsguide.com, technical specification, tech review, security audit report, security whitepaper, app store, google play store, groupme, anyviewer, tom's guide
RC_13;Update Frequency;How often the app is updated with new features, bug fixes, and content.;Text [1];google play store, app store, official app blog, app store update history, apple app store, amazon appstore, developer changelog, gaming news site, official app website
RC_14;User Base;The number of active users on the platform, indicating its popularity and reach.;Integer [1];sensor tower, app store, company report, google play store, app annie, similarweb, multiple source, platform official statistic, industry report, appfigure, agiletech vietnam, soax, various source, market analysis report
RC_15;User Engagement;Measures how frequently and actively users interact with the app.;Float [1];sensor tower, app annie, user review, google play store, similarweb, app store, user forum, app description, social media, official app website
RC_16;User Ratings;Average rating given by users on app stores, reflecting user satisfaction.;Float [1];google play store, app store, apple app store, amazon appstore, user review aggregator, app store rating, user review, google play, review aggregator, trustpilot, google play rating, capterra, g2, apple app store rating, third-party review platform, third-party review site, app store listing, user review platform, app store review, https://300mind.studio/blog/most-popular-mobile-games/, https://www.singular.net/blog/top-mobile-games/, 300mind.studio, jotform
