App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Spotify,1,1,1,1,1,1,1,1,1,1
Apple Music,2,2,2,2,2,2,2,2,2,2
YouTube Music,3,3,3,3,3,3,3,3,3,3
Pandora,4,4,4,4,4,4,4,4,4,4
Deezer,5,5,5,5,5,5,5,5,5,5
Tidal,6,6,6,6,6,6,6,6,6,6
Amazon Music,7,7,7,7,7,7,7,7,7,7
SoundCloud,8,8,8,8,8,8,8,8,8,8
iHeartRadio,9,9,9,9,9,9,9,9,9,9
Napster,10,10,10,10,10,10,10,10,10,10
Google Play Music,11,0,11,11,11,11,11,11,11,0
Yandex.Music,0,11,0,0,0,0,0,0,0,11
Microsoft Groove,0,0,0,0,0,0,0,12,0,0
JioSaavn,13,13,13,13,13,13,13,14,13,13
Audiomack,12,20,12,12,12,12,12,13,12,20
Gaana,14,12,14,14,17,14,14,15,14,12
Wynk Music,0,14,0,0,0,0,0,0,0,14
Anghami,15,16,15,15,16,15,15,16,15,16
Yandex Music,16,0,16,16,15,16,16,17,16,0
Hungama Music,0,15,0,0,20,0,0,0,0,15
Qobuz,17,18,17,17,14,17,17,18,17,18
MusicBee,0,0,0,0,0,18,0,0,0,0
Musi,18,19,18,18,18,0,18,0,18,19
Boomplay,19,17,19,0,19,0,19,0,19,17
Plexamp,0,0,0,19,0,0,0,0,0,0
IDAGIO,0,0,0,0,0,0,0,19,0,0
Poweramp,0,0,0,20,0,19,20,0,0,0
Resso,20,0,0,0,0,0,0,0,0,0
JOOX,0,0,20,0,0,0,0,0,0,0
FOOBAR2000,0,0,0,0,0,20,0,0,0,0
Primephonic,0,0,0,0,0,0,0,20,0,0
Spinrilla,0,0,0,0,0,0,0,0,20,0
