feature,model1,model2,jaccard
Access to movies,anthropic,gemini,0.4526040626040627
Access to movies,anthropic,mistral,0.6666666666666669
Access to movies,anthropic,openai,0.7121212121212125
Access to movies,anthropic,perplexity,0.6666666666666669
Access to movies,gemini,mistral,0.372893772893773
Access to movies,gemini,openai,0.553113553113553
Access to movies,gemini,perplexity,0.372893772893773
Access to movies,mistral,openai,0.6666666666666669
Access to movies,mistral,perplexity,0.6666666666666669
Access to movies,openai,perplexity,0.6666666666666669
Access to podcasts,anthropic,gemini,0.5292299367299368
Access to podcasts,anthropic,mistral,0.5890442890442891
Access to podcasts,anthropic,openai,0.57995337995338
Access to podcasts,anthropic,perplexity,0.3189377289377289
Access to podcasts,gemini,mistral,0.37095238095238103
Access to podcasts,gemini,openai,0.36595238095238103
Access to podcasts,gemini,perplexity,0.32740127519539286
Access to podcasts,mistral,openai,0.8472727272727272
Access to podcasts,mistral,perplexity,0.29285714285714287
Access to podcasts,openai,perplexity,0.29285714285714287
Broadcast messages to multiple contacts,anthropic,gemini,0.05693154454764361
Broadcast messages to multiple contacts,anthropic,mistral,0.40748168498168497
Broadcast messages to multiple contacts,anthropic,openai,0.25
Broadcast messages to multiple contacts,anthropic,perplexity,0.14668472652218784
Broadcast messages to multiple contacts,gemini,mistral,0.04791021671826625
Broadcast messages to multiple contacts,gemini,openai,0.08245614035087717
Broadcast messages to multiple contacts,gemini,perplexity,0.1928104575163399
Broadcast messages to multiple contacts,mistral,openai,0.31357142857142856
Broadcast messages to multiple contacts,mistral,perplexity,0.10539731682146543
Broadcast messages to multiple contacts,openai,perplexity,0.052631578947368404
Build photo collage,anthropic,gemini,0.21470465379134107
Build photo collage,anthropic,mistral,0.366492673992674
Build photo collage,anthropic,openai,0.25450980392156863
Build photo collage,anthropic,perplexity,0.096000171998624
Build photo collage,gemini,mistral,0.20959948891837435
Build photo collage,gemini,openai,0.15896309400953362
Build photo collage,gemini,perplexity,0.1060079119367045
Build photo collage,mistral,openai,0.23024509803921567
Build photo collage,mistral,perplexity,0.1639639540026537
Build photo collage,openai,perplexity,0.12170364637082902
Collaborate with others,anthropic,gemini,0.4963369963369964
Collaborate with others,anthropic,mistral,0.7470862470862469
Collaborate with others,anthropic,openai,0.4347985347985348
Collaborate with others,anthropic,perplexity,0.35476190476190483
Collaborate with others,gemini,mistral,0.5743872793872793
Collaborate with others,gemini,openai,0.5523476523476522
Collaborate with others,gemini,perplexity,0.3957692307692309
Collaborate with others,mistral,openai,0.49227272727272736
Collaborate with others,mistral,perplexity,0.36214285714285716
Collaborate with others,openai,perplexity,0.3641575091575092
Go Live,anthropic,gemini,0.05964912280701753
Go Live,anthropic,mistral,0.2838095238095238
Go Live,anthropic,openai,0.052631578947368404
Go Live,anthropic,perplexity,0.053216374269005835
Go Live,gemini,mistral,0.197423460612315
Go Live,gemini,openai,0.47322344322344323
Go Live,gemini,perplexity,0.45831335331335327
Go Live,mistral,openai,0.18369453044375642
Go Live,mistral,perplexity,0.13325163398692813
Go Live,openai,perplexity,0.4550549450549451
