criteria,feature,model,rbo,num_comparisons
Ad_Free_Option,Access to movies,openai,0.32614306002834115,30
Ad_Free_Option,Access to movies,mistral,0.32415735018840935,30
Ad_Free_Option,Access to movies,gemini,0.30316213789875585,30
Ad_Free_Option,Access to podcasts,openai,0.30356861620321623,30
Ad_Free_Option,Access to podcasts,mistral,0.30172745639469345,30
Ad_Free_Option,Access to podcasts,gemini,0.31934024729020305,27
Ad_Free_Option,Broadcast messages to multiple contacts,openai,0.2171478453817925,20
Ad_Free_Option,Broadcast messages to multiple contacts,mistral,0.16042649409398405,20
Ad_Free_Option,Broadcast messages to multiple contacts,gemini,0.06553366335070787,12
Ad_Free_Option,Build photo collage,openai,0.16768653477102965,30
Ad_Free_Option,Build photo collage,mistral,0.28772827196263967,30
Ad_Free_Option,Build photo collage,gemini,0.26771390952657254,30
Ad_Free_Option,Collaborate with others,openai,0.3534149202858389,20
Ad_Free_Option,Collaborate with others,mistral,0.36385527806456924,20
Ad_Free_Option,Collaborate with others,gemini,0.3752462520197578,20
Ad_Free_Option,Go Live,openai,0.18717780686692126,30
Ad_Free_Option,Go Live,mistral,0.14966661026413072,30
Ad_Free_Option,Go Live,gemini,0.20337853075066734,24
Ad_Free_Option,Keeping up with friends,openai,0.1946907126863798,30
Ad_Free_Option,Keeping up with friends,mistral,0.17980413526207165,30
Ad_Free_Option,Keeping up with friends,gemini,0.1245477520876243,30
Ad_Free_Option,List items for sale,openai,0.38954969585712285,20
Ad_Free_Option,List items for sale,mistral,0.3866538683024035,20
Ad_Free_Option,List items for sale,gemini,0.33275631815335643,20
Ad_Free_Option,Photo effects,openai,0.27464564605382036,20
Ad_Free_Option,Photo effects,mistral,0.323516394039281,20
Ad_Free_Option,Photo effects,gemini,0.2781319660489756,20
Ad_Free_Option,Play games,openai,0.0,30
Ad_Free_Option,Play games,mistral,0.058152259792556976,30
Ad_Free_Option,Play games,gemini,0.0249934154704271,30
Ad_Free_Option,Play playlist on shuffle mode,openai,0.37389028783922856,30
Ad_Free_Option,Play playlist on shuffle mode,mistral,0.365220194147079,30
Ad_Free_Option,Play playlist on shuffle mode,gemini,0.1846724664932124,27
Ad_Free_Option,Rate movies,openai,0.23942299253540686,20
Ad_Free_Option,Rate movies,mistral,0.21674872875624715,20
