name,description,type,sources
Ad Frequency,Number of ads displayed per hour of viewing (for free services).,Integer[*],"16, Personal Testing, Personal testing, Source 1, User Reviews, User reviews, independent reviews, personal observation, personal testing, third-party reviews"
Content Library Size,Total number of movies and TV shows available on the platform.,Integer[*],"App Store, App Stores, Company Website, Google Play Store, Streaming Service Website, Third-party app analysis sites, Third-party app analysis websites, independent reviews, third-party reviews"
Content Variety,"Breadth and depth of movie titles available, including genres and release years.",Integer[*],"App Store, Google Play Store, Multiple sources, User Reviews"
Cost,"Subscription fees, free options, or ad-supported models.",Float[1],"App Stores, Multiple sources, Official website"
Device Compatibility,"The range of devices (smartphones, tablets, smart TVs, streaming devices) the app supports.",Text[*],"App Description, App Store, App Stores, App description, Developer documentation, Google Play Store, Multiple sources, Streaming Service Website, official website"
Offline Downloads,Ability to download movies for offline viewing.,Boolean[1],"App Description, App Features, App Store, App description, App features list, FAQ, Google Play Store, Subscription Details, User Reviews, official website, user reviews"
Offline Viewing,Ability to download movies for offline playback.,Boolean[1],"6, 8, App Details, Source 5, User Reviews"
Original Content,Availability of exclusive movies and TV shows produced by the streaming service.,Boolean[1],"22, App Store, App description, Google Play Store, Source 11, Streaming Service Website, User Reviews, expert reviews, independent reviews, official website"
Streaming Quality,Maximum video resolution and audio quality supported by the app.,Text[1],"App Description, App Details, App description, App descriptions, App specifications, Expert Reviews, Streaming Service Website, User reviews, official website, technical specifications, third-party reviews"
Subscription Cost,The monthly or annual fee required to access the platform's content (if applicable).,Float[1],"App Store, Company Website, Google Play Store, Streaming Service Website, app's website, official website"
User Interface,"Ease of navigation, search functionality, and overall user experience within the app.",Text[1],"13, Expert Reviews, Personal Testing, Personal testing, Source 9, User Reviews, User reviews, expert reviews, independent reviews, personal testing"
User Ratings,The average rating given by users on app stores.,Float[1],"App Store, Google Play Store"
User Ratings & Reviews,Availability of user ratings and reviews within the app.,Float[1],"14, 23, 24, App Store, Google Play Store, Source 3"
Video Quality,"Maximum resolution supported by the app (e.g., 4K, 1080p, 720p).",Text[1],"App Description, App Details, App Store, Google Play Store, Source 15, Technical Specifications, User Reviews, independent reviews"
