App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Evernote,1,1,1,1,1,1,1,1,1,1
Notion,2,2,2,2,2,2,2,2,2,2
Microsoft OneNote,3,3,3,3,3,3,3,3,3,3
Google Keep,4,4,4,4,4,4,4,4,4,4
Apple Notes,5,5,5,5,5,5,5,5,5,5
Bear,6,6,6,6,6,6,6,6,6,6
Zoho Notebook,7,7,7,7,7,7,7,7,7,7
SimpleNote,8,8,8,8,8,0,0,8,0,8
Simplenote,0,0,0,0,0,8,8,0,8,0
Ulysses,9,10,9,9,10,9,9,9,9,9
GoodNotes 5,0,0,0,0,0,11,0,0,0,0
Standard Notes,12,9,10,19,12,9,10,12,13,10
Roam Research,10,14,11,10,11,15,15,14,11,10
GoodNotes,14,11,14,14,14,0,10,10,14,15
Obsidian,11,15,12,11,12,16,16,16,12,11
Notability,15,12,15,15,15,12,11,11,15,16
Craft,13,16,13,13,13,14,14,15,13,12
Joplin,16,13,16,16,16,13,13,12,16,14
Turtl,0,0,17,17,17,17,17,18,17,0
Day One,18,0,0,0,0,0,0,17,0,0
Agenda,17,17,0,0,0,20,0,0,0,0
Squid,19,0,0,0,0,0,0,0,0,17
LaunchList,0,0,0,0,0,18,0,0,0,0
Laverna,0,0,18,18,19,0,18,0,18,0
Nebo,20,0,0,0,0,0,0,0,0,18
Typora,0,0,0,19,18,0,0,0,20,0
UpNote,0,19,0,0,0,0,0,0,0,0
 Milanote,0,0,0,0,0,0,0,19,0,0
MetaMoJi Note,0,0,0,0,0,0,0,0,0,19
Boost Note,0,18,20,20,20,0,19,0,19,0
NotePlan,0,0,0,0,0,19,0,0,0,20
Dropbox Paper,0,20,0,0,0,0,0,0,0,0
CherryTree,0,0,0,0,0,0,20,0,0,0
Elephant,0,0,0,0,0,0,0,20,0,0
