model,feature,rbo
llama31_8b,Read ebooks,0.33792505740562995
llama31_8b,Download books,0.4164951139873071
llama31_8b,Sync reading progress,0.23466369605028375
llama31_8b,Highlight text,0.1911194297880366
llama31_8b,Search within books,0.40365873436421784
llama31_8b,Send messages,0.7658697565401834
llama31_8b,Private chat with users,0.7171611492198159
llama31_8b,Real-time messaging,0.6944178922544556
llama31_8b,Access courses,0.7590037977765738
llama31_8b,Watch lectures,0.5536557809308906
llama31_8b,Take quizzes,0.48918121350665794
llama31_8b,Track learning progress,0.620055390754223
llama31_8b,Offline learning,0.6462450174825284
llama31_8b,Watch live TV,0.5945665783234126
llama31_8b,Watch videos,0.707829481217587
llama31_8b,Transfer money,0.851847495119325
llama31_8b,Send money to anyone,0.8298495545287695
llama31_8b,Receive money,0.7544168608072568
llama31_8b,Pay bills,0.35074743422805005
llama31_8b,Pay credit card bills,0.6364579014111803
llama31_8b,Schedule payments,0.7051861526868966
llama31_8b,Share payments,0.6438876885479605
llama31_8b,View account balances,0.7121840879269776
llama31_8b,View transaction history,0.6524550812645512
llama31_8b,Receive payment receipts,0.4419772024749124
llama31_8b,Store bill details securely,0.17541383970679722
llama31_8b,Activate cards for overseas usage,0.22890156619344393
llama31_8b,Currency converter,0.142647180545592
llama31_8b,Financial calculators,0.39463964494980025
llama31_8b,Remittances overseas,0.6367421323386828
llama31_8b,Track workouts,0.5756737946790008
llama31_8b,Monitor heart rate,0.23701973978453098
llama31_8b,Set fitness goals,0.5544931501722097
llama31_8b,Track weight,0.6693126549612856
llama31_8b,Follow training plans,0.49368397726749375
llama31_8b,View progress charts,0.4615072921367244
llama31_8b,Get audio coaching,0.15825025641931098
llama31_8b,Track routes on map,0.704241217127579
llama31_8b,Diet planning,0.6158209012600666
llama31_8b,Calorie tracking,0.6925663021054322
llama31_8b,Turn-by-turn navigation,0.7359429652623981
llama31_8b,Find nearby places,0.7101537042588926
llama31_8b,View maps offline,0.6386122502507111
llama31_8b,Check public transport routes,0.6505201533561353
llama31_8b,Save favorite locations,0.6899615941588938
llama31_8b,Real-time traffic updates,0.652952176324235
llama31_8b,Stream music,0.761855619332223
llama31_8b,Create playlists,0.7628770153119051
llama31_8b,Download content for offline use,0.44858947760620627
llama31_8b,Audio playback controls,0.509743193763289
llama31_8b,Record audio,0.2531638386137768
llama31_8b,Edit audio files,0.4646440662331995
llama31_8b,Access breaking news,0.5789906948371025
llama31_8b,Personalized news feed,0.6110942522422185
llama31_8b,Read articles offline,0.6490478618436569
llama31_8b,Bookmark articles,0.5606362687513246
llama31_8b,Search news topics,0.6700226227415006
llama31_8b,Listen to interviews,0.1671500503870399
llama31_8b,Receive news notifications,0.5343620236691038
llama31_8b,Browse by categories,0.27121106952995466
llama31_8b,Set wallpapers,0.1678070860941315
llama31_8b,Customize themes,0.06344420831435688
llama31_8b,Change fonts,0.1397201528169886
llama31_8b,Automatic wallpaper rotation,0.12649691123092793
llama31_8b,Customize interface settings,0.0804194330154734
llama31_8b,Photo editing tools,0.6126495456476787
llama31_8b,Apply filters and effects,0.36105614488548693
llama31_8b,Create collages,0.11245976466103899
llama31_8b,Adjust image settings,0.40667150550390885
