criterion,rbo_mean,rbo_median,rbo_std,n
Security and Privacy,0.4536159404928289,0.45084430300983114,0.23081523147444696,157
Customization Options,0.4939543632917358,0.49146602168160597,0.2029769814290977,157
Cost and Pricing,0.5615732900961536,0.5637950627765748,0.2061682903208418,157
User Ratings,0.5726901771258549,0.5855741086717879,0.2165796610490239,157
Accessibility Features,0.5843124834618081,0.6146864247617075,0.20647917878549993,157
Regional and Geographical Availability,0.5878286262732753,0.6037308523585667,0.1944451465426794,156
Customer Support,0.5901751852999025,0.6041897757519039,0.20823583619799454,157
Cross-Platform Synchronization,0.6008763894931469,0.6227244697002444,0.20613627307685858,157
Integration with Other Services,0.6026596419445046,0.6187620882067508,0.1973836986111983,157
Popularity and Market Reach,0.6047734335050247,0.6289035530655149,0.19769806248637167,157
Regular Updates and Maintenance,0.6267210985797566,0.6597641413576885,0.2104660910550962,157
Performance and Stability,0.6353767312272487,0.6401073037114919,0.1966437980990013,157
Feature Breadth and Richness,0.6397883321244283,0.6642978721540185,0.20078626867158134,157
User Engagement,0.6398232814657904,0.6717385418492647,0.20362010530005614,157
Platform and Device Compatibility,0.6423433507988606,0.6665001949929301,0.18927305671402248,157
User Interface and Experience,0.6423956998133077,0.6505371407541074,0.18783827076815876,157
