App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
eBay,1,1,1,1,1,1,1,1,1,1
Craigslist,2,2,2,2,2,2,2,2,2,2
Facebook Marketplace,3,3,3,3,3,3,3,3,3,3
OfferUp,4,4,4,4,4,4,4,4,4,4
letgo,0,0,0,5,0,0,0,0,0,0
Poshmark,6,6,6,6,5,5,5,6,5,6
Letgo,5,5,5,0,7,7,7,5,7,5
Mercari,7,7,7,7,6,6,6,7,6,7
Decluttr,8,0,10,8,8,8,8,10,8,10
ThredUp,9,8,9,9,9,9,9,0,14,9
Amazon Seller,0,0,0,0,11,0,0,9,0,0
thredUP,0,0,0,0,0,0,0,11,0,0
Trove Marketplace,0,0,0,0,0,0,0,0,11,0
Etsy,13,16,8,15,10,15,15,8,13,8
VarageSale,0,0,0,20,0,0,0,0,9,0
Depop,20,9,0,10,17,10,10,20,18,12
Vinted,19,10,11,11,18,11,11,19,17,11
Tradesy,11,12,12,12,15,12,12,13,16,18
Grailed,10,11,14,13,16,13,13,12,15,19
Chairish,12,14,13,14,14,14,14,14,12,13
5miles,0,0,0,0,0,19,19,0,10,0
1stdibs,0,15,0,0,0,0,0,0,0,0
The RealReal,0,13,0,0,0,0,0,18,0,0
eBid,15,19,0,18,12,0,0,0,0,0
Reverb,0,0,0,0,0,16,16,15,0,0
Bonanza,16,18,20,17,13,0,0,0,0,15
Ruby Lane,14,17,19,16,19,0,0,0,0,14
Swappa,0,0,15,0,20,17,17,16,0,16
Gazelle,0,0,16,0,0,18,18,17,0,17
Listia,17,0,0,19,0,0,0,0,0,0
Shpock,18,0,0,0,0,0,0,0,0,0
Wallapop,0,0,17,0,0,20,20,0,19,0
Carousell,0,0,18,0,0,0,0,0,20,0
Webstore,0,20,0,0,0,0,0,0,0,0
Heroine,0,0,0,0,0,0,0,0,0,20
