App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Minecraft,0,1,0,0,0,0,0,0,0,0
Honor of Kings,0,19,2,8,0,1,1,0,0,0
Terraria,0,2,0,0,0,0,0,0,0,0
Halls of Torment,0,0,0,0,0,0,0,0,2,0
Roblox,17,16,1,1,0,5,5,1,20,4
Balatro,11,8,0,13,1,0,11,0,1,0
Infinity Nikki,1,0,17,0,0,0,0,0,17,0
Stardew Valley,0,3,0,0,0,0,0,0,0,0
Monopoly GO!,0,0,7,0,0,3,2,0,0,0
Subway Surfers,0,18,11,5,0,10,0,2,0,1
Garena Free Fire,0,0,0,3,0,0,0,4,0,0
Hades Mobile,0,0,0,14,2,0,0,0,0,0
Candy Crush Saga,16,0,4,2,0,6,6,3,0,2
PUBG Mobile,14,0,3,4,0,2,3,5,0,0
Afterimage,0,0,0,0,5,0,0,0,3,0
Bloons TD 6,0,4,0,0,0,0,0,0,0,0
Little Nightmares,5,0,0,0,0,0,0,0,0,0
XCOM 2 Collection,0,5,0,0,0,0,0,0,0,0
Free Fire,0,17,0,0,0,0,0,0,0,3
8 Ball Pool,0,0,0,0,0,0,0,6,0,5
Squad Busters,2,0,18,0,0,20,0,0,10,0
Wuthering Waves,3,0,19,16,4,0,0,18,4,0
Warframe Mobile,6,0,0,0,0,0,0,0,0,0
Siralim Ultimate,0,6,0,0,0,0,0,0,0,0
PUBG MOBILE,0,0,0,0,0,0,0,0,0,6
CarX Drift Racing 3,4,0,20,0,0,0,0,0,0,0
Zenless Zone Zero,7,0,0,11,3,18,18,0,5,0
Infinitode 2,0,7,0,0,0,0,0,0,0,0
Honour of Kings,0,0,0,0,7,0,0,0,0,0
My Talking Tom,0,0,0,0,0,0,0,0,0,8
Ludo King,0,0,12,0,0,0,0,7,0,7
Royal Match,15,20,6,6,16,4,4,10,19,20
Last War: Survival,0,0,8,0,0,11,7,0,0,0
Honkai: Star Rail,8,0,0,0,0,12,8,0,7,0
AFK Journey,0,0,0,9,8,8,19,0,6,0
My Talking Tom 2,0,0,0,0,0,0,0,8,0,10
Genshin Impact,12,9,5,7,18,7,17,12,8,0
Temple Run 2: Endless Escape,0,0,0,0,0,0,0,0,0,9
Star Wars: Hunters,0,0,0,10,9,0,0,0,0,0
Pokemon Go,10,0,0,0,0,0,0,0,0,0
Slice & Dice,0,10,0,0,0,0,0,0,0,0
Block Blast,0,0,10,0,0,0,0,0,0,0
Coin Master,0,0,9,0,0,14,10,0,0,0
Brawl Stars,0,0,13,0,0,9,0,0,0,0
Solo Leveling: Arise,0,0,0,0,11,0,0,0,0,0
Sniper 3D: Gun Shooting Games,0,0,0,0,0,0,0,0,0,11
Ex Astris,20,0,0,15,6,0,0,0,15,0
Call of Duty Mobile,0,12,0,0,0,0,0,11,0,0
Marvel Snap,9,0,14,0,0,0,13,0,0,0
Pokemon TCG Pocket,0,0,0,12,15,0,12,0,9,0
Cookie Run: Tower of Adventures,0,0,0,0,13,0,0,0,11,0
Devil May Cry: Peak of Combat,0,0,0,0,12,0,0,0,12,0
Block Blast!,0,0,0,0,0,0,0,9,0,18
Hill Climb Racing,0,0,0,0,0,0,0,0,0,12
Whiteout Survival,0,0,0,0,0,13,9,20,0,0
Fall Guys Mobile,0,0,0,18,10,0,0,0,0,0
Call of Duty: Mobile,13,0,0,0,0,0,0,0,0,0
Honkai Star Rail,0,13,0,0,0,0,0,13,0,0
Sonic Mania Plus,0,0,0,0,0,0,0,0,13,0
League of Legends: Wild Rift,0,11,0,0,0,0,0,16,0,0
Forge of Empires,0,14,0,0,0,0,0,0,0,0
COD Warzone Mobile,0,0,0,0,14,0,0,0,0,0
Harry Potter: Magic Awakened,0,0,0,0,0,0,14,0,0,0
Star Wars Hunters,0,0,0,0,0,0,0,0,14,0
My Talking Angela,0,0,0,0,0,0,0,0,0,14
Among Us,18,0,0,0,0,0,0,14,0,13
Crypt of the NecroDancer,0,15,0,0,0,0,0,0,0,0
Gardenscapes,0,0,0,0,0,15,0,0,0,0
Monument Valley,0,0,0,0,0,0,0,15,0,0
Magic Tiles 3 – Piano Game,0,0,0,0,0,0,0,0,0,15
Pokemon GO,0,0,15,0,0,16,0,0,0,0
Vampire Survivors,0,0,16,0,0,0,16,0,0,0
One Punch Man World,0,0,0,0,0,0,0,0,16,0
Rocket League Sideswipe,0,0,0,0,0,0,15,19,0,0
Blood Strike,0,0,0,17,0,0,0,0,0,0
Monopoly Go,0,0,0,0,17,0,0,0,0,0
Arena of Valor,0,0,0,0,0,0,0,17,0,0
Temple Run,0,0,0,0,0,0,0,0,0,17
Clash of Clans,0,0,0,20,19,17,20,0,18,16
Fortnite,19,0,0,0,0,0,0,0,0,0
Disney Speedstorm,0,0,0,19,0,0,0,0,0,0
Dungeon & Fighter Mobile,0,0,0,0,0,19,0,0,0,0
Pizza Ready!,0,0,0,0,0,0,0,0,0,19
Sonic Rumble,0,0,0,0,20,0,0,0,0,0
