metric,value,detail
total_equivalence_groups,16,
total_distinct_rc_concepts,16,
rc_count_open_small,14,
rc_count_open_large,14,
rc_count_proprietary_small,12,
rc_count_proprietary_large,14,
pair_overlap_open_small__open_large,14,
pair_overlap_open_small__proprietary_small,11,
pair_overlap_open_small__proprietary_large,11,
pair_overlap_open_large__proprietary_small,11,
pair_overlap_open_large__proprietary_large,11,
pair_overlap_proprietary_small__proprietary_large,10,
groups_with_4_methods,10,
groups_with_4_methods_list,Cost and Pricing; Customer Support; Performance and Stability; Platform and Device Compatibility; Popularity and Market Reach; Regional and Geographical Availability; Regular Updates and Maintenance; Security and Privacy; User Interface and Experience; User Ratings,
groups_with_3_methods,2,
groups_with_3_methods_list,Customization Options; User Engagement,
groups_with_2_methods,2,
groups_with_2_methods_list,Accessibility Features; Integration with Other Services,
groups_with_1_methods,2,
groups_with_1_methods_list,Cross-Platform Synchronization; Feature Breadth and Richness,
groups_with_at_least_2_methods,14,
overall_overlap_rate,0.875,Fraction of equivalence groups shared by 2+ methods
common_all_4_methods,Cost and Pricing; Customer Support; Performance and Stability; Platform and Device Compatibility; Popularity and Market Reach; Regional and Geographical Availability; Regular Updates and Maintenance; Security and Privacy; User Interface and Experience; User Ratings,
