App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Netflix,1,0,0,1,1,0,0,0,0,0
Replika,0,0,0,0,0,1,1,1,1,1
YouCam Makeup,2,1,1,2,2,0,0,0,0,0
AIVA,0,0,0,0,0,2,0,2,2,2
Picsart Photo & Video Editor,0,3,0,0,0,0,0,0,0,0
Jukebox AI,0,0,0,0,0,0,0,3,0,0
Prequel,4,5,2,4,3,0,0,0,0,0
Endel,3,4,4,3,5,0,0,0,3,0
Lumen5,0,0,0,0,0,3,3,7,4,3
Jukedeck,0,0,0,0,0,4,4,0,0,4
Artbreeder,0,0,0,0,0,0,0,4,0,0
Picsart,5,0,3,5,4,0,0,0,0,0
Wombo Dream,9,2,8,0,0,0,0,0,0,0
Jukebox,0,0,0,0,0,0,0,0,5,0
Artisto,0,0,0,0,0,5,6,0,7,6
Prisma,0,0,0,0,0,6,5,9,6,5
Krikey AI,0,6,0,0,0,0,0,0,0,0
DeepArt,0,0,0,0,0,7,7,5,0,7
FaceApp,6,7,5,6,8,0,0,10,0,0
Facetune,7,8,6,7,9,0,0,0,0,0
Runway ML,0,0,0,0,0,8,8,6,0,8
Edits,10,0,9,0,6,0,0,0,0,0
Lensa,8,9,7,8,10,0,0,0,0,0
Mix,0,0,10,9,7,0,0,0,0,0
Magisto,0,0,0,0,0,9,9,8,8,9
Mubert,0,0,0,0,0,0,10,0,9,0
AI Dungeon,0,10,0,0,0,0,0,0,0,0
AI Wizard,0,0,0,10,0,0,0,0,0,0
Wombo,0,0,0,0,0,10,0,0,0,10
Ecrett Music,0,0,0,0,0,0,0,0,10,0
