name,description,type,sources
Barcode Scanning,Feature to scan product barcodes for instant price comparison.,Boolean [1],"turn0search0, turn0search4, turn0search5, turn0search6, turn0search7, turn0search8, turn0search9"
Cashback Offers,Provision of cashback rewards on purchases made through the app.,Boolean [1],"Official app websites, User reviews, turn0search4, turn0search5, turn0search7, turn0search8"
Coupon Availability,Number and variety of coupons available through the app.,Integer [1],"Official app websites, User reviews, turn0search3, turn0search4, turn0search8"
Coupon Integration,Availability of coupons and promo codes to apply additional discounts.,Boolean [1],"turn0search1, turn0search2, turn0search3, turn0search4, turn0search5, turn0search6, turn0search7, turn0search8"
Feature Set,Range and usefulness of features offered by the app.,Text [*],"App Store, App descriptions, Google Play Store, Official App Website, Official App Websites, official websites"
Number of Downloads,Total number of times the app has been downloaded.,Integer [1],"App Store, Google Play Store"
Platform Availability,"Availability of the app across different platforms (e.g., iOS, Android, web)",Text [*],"App Store, Google Play Store, Official App Website, official websites"
Price Comparison,Ability to compare prices across multiple retailers to find the best deal.,Boolean [1],"turn0search0, turn0search1, turn0search2, turn0search3, turn0search4, turn0search6, turn0search9"
Price Tracking,Feature to track price changes over time and alert users to price drops.,Boolean [1],"turn0search0, turn0search1, turn0search4, turn0search5, turn0search6, turn0search7, turn0search8"
Update Frequency,How often the app is updated to fix bugs or add new features,Integer [1],"App Store, Google Play Store, Official App Websites"
User Ratings,Average user rating of the app on app stores,Float [1],"App Store, Google Play Store"
User Reviews,Qualitative feedback from users about the app,Text [*],"App Store, Google Play Store, review websites, turn0search0, turn0search4, turn0search9"
