App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Slack,1,1,1,1,1,1,1,2,1,1
Microsoft Teams,2,2,2,2,2,2,2,1,2,2
"Google Workspace (Google Docs, Google Sheets, Google Slides, Google Meet, Google Calendar, Google Drive)",3,0,0,0,0,0,0,0,0,0
Google Chat,0,3,0,0,0,0,0,0,0,0
"Google Workspace (Google Chat, Google Docs, Google Sheets, Google Slides, Google Drive)",0,0,0,3,0,0,0,0,0,0
Asana,4,6,4,4,3,5,5,5,3,3
"Google Workspace (Gmail, Google Drive, Google Docs, Sheets, Meet)",0,0,0,0,0,4,0,0,0,0
Trello,5,5,5,5,4,6,6,4,4,4
monday.com,0,0,0,0,5,0,0,0,0,0
Zoom,11,16,3,7,11,3,3,3,7,9
Google Workspace,0,0,0,0,6,0,4,0,6,0
Discord,0,4,0,20,0,0,0,0,0,0
"Google Workspace (Google Docs, Sheets, Slides)",0,0,0,0,0,0,0,7,0,0
Monday.com,10,14,6,6,0,13,13,8,5,5
Miro,6,9,9,8,7,8,8,6,10,10
"Google Workspace (Gmail, Google Drive, Google Docs, Google Meet, Google Calendar)",0,0,8,0,0,0,0,0,0,0
"Google Workspace (Docs, Sheets, Slides)",0,0,0,0,0,0,0,0,0,8
ClickUp,8,7,7,12,10,7,7,13,9,6
Notion,7,10,10,10,8,9,9,12,8,7
Basecamp,9,13,0,9,13,12,12,9,13,12
Wrike,12,8,12,13,9,17,17,10,16,13
Jira,0,12,0,0,0,11,11,15,12,15
Confluence,14,11,13,11,18,10,10,20,11,14
Quixy,0,0,11,0,0,0,0,0,17,0
Airtable,13,15,0,14,12,14,14,11,14,19
Figma,18,0,0,16,0,0,16,14,0,11
Screendragon,0,0,15,0,0,0,0,0,0,0
Dropbox,0,0,0,0,0,15,15,0,15,17
Box,16,0,0,0,0,0,0,0,0,0
Filestage,15,0,0,15,19,16,0,16,0,0
Axero,0,0,14,0,0,20,0,0,0,0
Quickbase,0,0,16,0,17,0,0,0,0,0
Zoho Projects,0,0,0,18,16,0,0,0,0,0
Quip,17,0,0,0,0,0,0,0,0,0
Webex Messaging,0,17,0,0,0,0,0,0,0,0
Loom,0,0,0,0,0,0,0,17,0,0
Teamwork,0,0,0,19,15,0,0,18,0,0
Smartsheet,0,0,20,0,14,0,18,19,0,18
GitHub,0,0,0,0,0,0,20,0,0,16
Guru,0,0,17,0,0,0,0,0,19,0
Zoho Connect,0,18,0,0,0,0,0,0,0,0
Bonsai Agency Software,0,0,18,0,0,0,0,0,0,0
QuickBase,0,0,0,0,0,18,0,0,0,0
Zoho Cliq,0,0,0,0,0,0,0,0,18,0
Webex,0,0,0,17,0,0,0,0,0,20
Podio,19,0,0,0,0,0,0,0,0,0
Flock,0,19,0,0,0,0,0,0,0,0
FigJam,0,0,19,0,0,0,0,0,0,0
Simpu,0,0,0,0,0,19,0,0,0,0
Tettra,0,0,0,0,0,0,19,0,0,0
Hive,20,0,0,0,0,0,0,0,20,0
Connecteam,0,20,0,0,0,0,0,0,0,0
Ryver,0,0,0,0,20,0,0,0,0,0
