model,feature,criteria,rbo,num_comparisons
openai,Access to movies,Ad_Free_Option,0.16783755371517736,10
openai,Access to movies,Ad_Frequency,0.08837868373520404,10
openai,Access to movies,Community_Engagement,0.2628235787196499,10
openai,Access to movies,Cost,0.0979539121318365,10
openai,Access to movies,Customer_Support,0.1605113718914021,10
openai,Access to movies,Customization_Options,0.1399025166915267,10
openai,Access to movies,Geographical_Availability,0.3243033071770878,10
openai,Access to movies,Integration_Capabilities,0.0409900909244507,10
openai,Access to movies,Mobile_Optimization,0.10551270737904432,10
openai,Access to movies,Number_of_Downloads,0.5419616817445518,10
openai,Access to movies,Platform_Availability,0.5599734187894365,10
openai,Access to movies,Platform_Compatibility,0.519926647341429,10
openai,Access to movies,Privacy_and_Security,0.31726147565162843,10
openai,Access to movies,Subscription_Cost,0.1885686668438837,10
openai,Access to movies,Update_Frequency,0.4830223186711117,10
openai,Access to movies,User_Base,0.43929300094531676,10
openai,Access to movies,User_Interface_and_Ease_of_Use,0.5734444262137375,10
openai,Access to movies,User_Ratings,0.4401688188154359,10
openai,Access to movies,User_Reviews_and_Ratings,0.6060441868565473,10
openai,Access to podcasts,Ad_Free_Option,0.17746671164264805,10
openai,Access to podcasts,Ad_Frequency,0.23333833780925958,10
openai,Access to podcasts,Community_Engagement,0.1408841733035338,10
openai,Access to podcasts,Cost,0.35665157419931565,10
openai,Access to podcasts,Customer_Support,0.3139701888181823,10
openai,Access to podcasts,Customization_Options,0.1578609808216162,10
openai,Access to podcasts,Geographical_Availability,0.1299001007709779,10
openai,Access to podcasts,Integration_Capabilities,0.23106787183836927,10
openai,Access to podcasts,Mobile_Optimization,0.3591587286321721,10
openai,Access to podcasts,Number_of_Downloads,0.4793564388393242,10
openai,Access to podcasts,Platform_Availability,0.4571582719140319,10
openai,Access to podcasts,Platform_Compatibility,0.5723163322007615,10
openai,Access to podcasts,Privacy_and_Security,0.22172485720706048,10
openai,Access to podcasts,Subscription_Cost,0.43679074674380625,10
openai,Access to podcasts,Update_Frequency,0.15867294957419564,10
openai,Access to podcasts,User_Base,0.5077495536213563,10
openai,Access to podcasts,User_Interface_and_Ease_of_Use,0.22957433654636944,10
openai,Access to podcasts,User_Ratings,0.11476146696281157,10
openai,Access to podcasts,User_Reviews_and_Ratings,0.24146690962676404,10
openai,Broadcast messages to multiple contacts,Ad_Free_Option,0.22038890252633916,10
openai,Broadcast messages to multiple contacts,Ad_Frequency,0.3812992096345389,10
openai,Broadcast messages to multiple contacts,Community_Engagement,0.0058924055161612265,10
openai,Broadcast messages to multiple contacts,Cost,0.3926514573176203,10
openai,Broadcast messages to multiple contacts,Customer_Support,0.45890723953333773,10
openai,Broadcast messages to multiple contacts,Customization_Options,0.27321142084066635,10
openai,Broadcast messages to multiple contacts,Geographical_Availability,0.36216057940654434,10
openai,Broadcast messages to multiple contacts,Integration_Capabilities,0.050246921687360814,10
openai,Broadcast messages to multiple contacts,Mobile_Optimization,0.010873035614635098,10
openai,Broadcast messages to multiple contacts,Number_of_Downloads,0.19404947615735835,10
openai,Broadcast messages to multiple contacts,Platform_Availability,0.36025044201007966,10
openai,Broadcast messages to multiple contacts,Platform_Compatibility,0.3754828523268722,10
openai,Broadcast messages to multiple contacts,Privacy_and_Security,0.18922624546308256,10
openai,Broadcast messages to multiple contacts,Subscription_Cost,0.37349118049023483,10
openai,Broadcast messages to multiple contacts,Update_Frequency,0.461744114623583,10
openai,Broadcast messages to multiple contacts,User_Base,0.23505280063127793,10
