App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
AIVA (Artificial Intelligence Virtual Artist),1,0,0,1,2,0,0,0,0,0
AIVA,0,1,1,0,0,2,2,2,2,3
Endel,0,13,0,8,7,1,1,0,1,0
Amper Music,2,2,2,2,1,3,3,3,3,2
Endlesss,8,9,8,0,0,0,0,1,0,1
Boomy,3,3,3,3,3,11,0,0,0,11
Soundful,4,4,4,4,4,0,0,0,0,0
Humtap,10,11,10,10,10,4,4,4,4,4
Mubert,5,5,5,5,6,5,8,11,8,10
LANDR,6,6,6,6,8,0,0,0,0,0
Soundraw,11,8,11,9,5,7,6,6,6,6
Ecrett Music,12,10,12,13,12,6,5,5,5,5
Jukedeck,0,0,0,0,0,8,9,8,9,8
Suno AI,7,7,7,18,9,0,0,0,0,0
Melodrive,0,0,0,0,0,9,10,9,10,9
Loudly,15,16,14,14,13,10,7,7,7,7
Amadeus Code,9,12,9,11,11,12,11,10,11,12
Tonic Audio,0,0,0,0,0,13,12,12,12,13
Flow Machines,0,14,0,12,0,0,0,0,0,0
Skoove,20,0,17,7,20,0,0,0,0,0
HumOn,0,0,0,0,0,14,13,13,13,14
Groov.ai,0,0,0,0,0,0,0,0,14,0
Beatbot,13,0,13,16,15,0,0,0,0,0
Groov AI,0,0,0,0,0,0,14,14,0,15
Orb Producer Suite 3,14,15,15,15,14,0,0,0,0,0
AI Music,0,0,0,0,0,15,0,0,0,0
AI Duet,0,0,0,0,0,0,15,15,15,16
Canva,16,17,0,0,0,0,0,0,0,0
Riffusion,17,0,0,17,16,0,0,0,0,0
Magenta Studio,0,0,0,0,0,18,16,16,16,18
Vochlea Dubler,0,0,0,0,0,17,0,0,0,0
Alysia,0,0,0,0,0,16,0,19,0,17
MuseNet,0,0,0,0,0,0,17,17,17,20
RipX,19,18,16,0,19,0,0,0,0,0
OpenAI Jukebox,0,0,0,0,0,0,18,18,18,0
AI Cover & Songs: Music AI,18,19,18,19,0,0,0,0,0,0
Descript,0,0,19,20,17,0,0,0,0,0
LALAL.AI,0,0,20,0,18,0,0,0,0,0
Melody ML,0,0,0,0,0,19,19,0,19,0
Orb Composer,0,0,0,0,0,0,0,20,0,19
Beatoven.ai,0,0,0,0,0,20,20,0,20,0
Melobytes,0,20,0,0,0,0,0,0,0,0
