App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Netflix,1,1,1,1,1,1,1,1,1,3
Hulu,2,2,2,2,2,2,2,2,2,4
Amazon Prime Video,3,3,3,3,3,3,3,3,3,5
Tubi,7,7,7,7,7,0,7,7,5,1
Disney+,4,4,4,4,4,4,4,4,4,6
Max,5,5,5,5,5,0,5,5,0,0
Peacock TV,0,0,0,0,0,6,0,0,0,0
Peacock,6,6,6,6,6,0,6,6,6,7
HBO Max,0,0,0,0,0,5,0,0,0,8
Pluto TV,8,13,12,8,8,10,8,9,8,2
Tubi TV,0,0,0,0,0,7,0,0,0,0
Paramount+,0,9,8,0,0,0,0,0,0,0
Apple TV+,0,0,9,0,0,0,0,0,0,0
Crackle,13,10,10,9,9,8,0,8,7,12
YouTube (free movies section),0,0,0,0,0,0,10,0,0,0
Filmzie,0,0,0,0,0,0,0,0,10,0
Vudu,11,11,11,0,12,9,11,10,9,9
Plex,9,8,0,0,10,14,12,11,12,10
Movies Anywhere,0,0,0,11,0,0,0,0,0,0
YouTube,0,0,0,0,0,11,0,0,0,11
The Roku Channel,10,12,0,10,11,0,0,0,11,13
Viki,0,0,0,12,0,0,0,0,0,0
The Criterion Channel,0,0,13,0,0,0,13,12,0,0
FilmRise,0,0,0,13,0,0,0,0,0,0
Popcorn Time,0,0,0,0,0,13,0,0,0,0
HBO Max/Max,0,0,0,0,0,0,0,0,13,0
Freevee,12,17,19,0,13,0,9,15,0,0
IMDb TV,0,14,0,0,0,0,0,0,0,0
Kanopy,0,15,14,0,0,15,15,13,14,0
Yidio,14,0,0,14,0,16,0,0,0,0
Stremio,0,0,0,16,0,12,0,0,18,14
Hoopla,0,16,0,0,0,0,0,14,0,0
Mubi,0,0,15,0,0,0,0,0,0,0
Cyberflix TV,0,0,0,0,0,0,0,0,0,15
Shudder,0,0,16,0,0,0,0,0,0,0
Cuco TV,0,0,0,0,0,0,0,0,0,16
MovieBox Pro,15,0,0,0,0,0,0,19,15,0
Cinema HD,16,0,0,0,0,0,0,17,16,0
Xumo,0,0,18,0,15,0,0,0,0,0
KweliTV,0,20,0,0,0,0,14,0,0,0
Movie Box,0,0,0,0,16,0,17,0,0,0
Popcornflix,19,0,20,15,14,0,0,0,0,0
CloudStream,18,0,0,0,0,0,0,16,17,0
BeeTV,0,0,0,17,0,0,0,0,0,0
Google TV (formerly Google Play Movies & TV),0,0,0,0,0,17,0,0,0,0
Sling FreeStream,0,0,0,0,0,0,0,0,0,17
Bee TV,17,0,0,0,0,0,0,18,0,0
OnStream,0,0,0,20,17,0,16,0,0,0
FilmPlus,0,0,0,18,0,0,0,0,0,0
YouCine,0,0,0,0,0,18,0,0,0,0
Xumo TV,0,0,0,0,0,0,0,0,0,18
Flixeon,0,18,17,0,18,0,18,20,0,0
Cinema APK,0,0,0,19,0,0,0,0,0,0
Web-Based Streaming Platform,0,0,0,0,19,0,0,0,0,0
123Movies,0,0,0,0,0,19,0,0,0,0
Popcorn Box Time,0,0,0,0,0,0,19,0,0,0
IMDb,0,0,0,0,0,0,0,0,19,0
Herogo TV,20,19,0,0,0,0,0,0,0,19
fuboTV,0,0,0,0,20,0,0,0,0,0
RedFlix TV,0,0,0,0,0,20,0,0,0,0
Mflix-,0,0,0,0,0,0,20,0,0,0
Letterboxd,0,0,0,0,0,0,0,0,20,0
Amazon Freevee,0,0,0,0,0,0,0,0,0,20
