model,feature,criteria,rbo,num_comparisons
anthropic,Access to movies,Cost,0.0,50
anthropic,Access to movies,Customer Support,0.9300613496932516,50
anthropic,Access to movies,Customization Options,0.0,50
anthropic,Access to movies,Ease of Use,0.9833479404031553,50
anthropic,Access to movies,Feature Set,0.9300613496932516,50
anthropic,Access to movies,Geographical Availability,0.8501314636283962,50
anthropic,Access to movies,Integration Capabilities,0.17002629272567923,50
anthropic,Access to movies,In App Purchases,0.9567046450482033,50
anthropic,Access to movies,Monthly Active Users,0.8035056967572305,50
anthropic,Access to movies,Number of Downloads,0.8812153082091733,50
anthropic,Access to movies,Platform Availability,0.9300613496932516,50
anthropic,Access to movies,Security and Privacy,0.7600350569675723,50
anthropic,Access to movies,Update Frequency,0.9833479404031553,50
anthropic,Access to movies,User Base,0.8523517382413087,50
anthropic,Access to movies,User Engagement,0.9322816243061642,50
anthropic,Access to movies,User Ratings,0.9833479404031553,50
anthropic,Access to podcasts,Cost,0.8965819456617001,50
anthropic,Access to podcasts,Customer Support,1.0,50
anthropic,Access to podcasts,Customization Options,0.0,50
anthropic,Access to podcasts,Ease of Use,1.0,50
anthropic,Access to podcasts,Feature Set,1.0,40
anthropic,Access to podcasts,Geographical Availability,1.0,10
anthropic,Access to podcasts,Integration Capabilities,1.0,10
anthropic,Access to podcasts,In App Purchases,0.894536955886649,10
anthropic,Access to podcasts,Monthly Active Users,0.894536955886649,10
anthropic,Access to podcasts,Number of Downloads,1.0,10
anthropic,Access to podcasts,Platform Availability,1.0,10
anthropic,Access to podcasts,Security and Privacy,1.0,10
anthropic,Access to podcasts,Update Frequency,1.0,10
anthropic,Access to podcasts,User Base,1.0,10
anthropic,Access to podcasts,User Engagement,1.0,10
anthropic,Access to podcasts,User Ratings,1.0,10
anthropic,Broadcast messages to multiple contacts,Cost,0.470318434122115,50
anthropic,Broadcast messages to multiple contacts,Customer Support,0.9683610867659947,50
anthropic,Broadcast messages to multiple contacts,Customization Options,0.8834823254455156,50
anthropic,Broadcast messages to multiple contacts,Ease of Use,0.9683610867659947,50
anthropic,Broadcast messages to multiple contacts,Feature Set,0.9683610867659947,50
anthropic,Broadcast messages to multiple contacts,Geographical Availability,0.3458077709611451,50
anthropic,Broadcast messages to multiple contacts,Integration Capabilities,0.0,50
anthropic,Broadcast messages to multiple contacts,In App Purchases,0.9683610867659947,50
anthropic,Broadcast messages to multiple contacts,Monthly Active Users,0.2977388255915863,50
anthropic,Broadcast messages to multiple contacts,Number of Downloads,0.331042944785276,50
anthropic,Broadcast messages to multiple contacts,Platform Availability,0.9683610867659947,50
anthropic,Broadcast messages to multiple contacts,Security and Privacy,0.2791995325737657,50
anthropic,Broadcast messages to multiple contacts,Update Frequency,0.9683610867659947,50
anthropic,Broadcast messages to multiple contacts,User Base,0.3458077709611451,50
anthropic,Broadcast messages to multiple contacts,User Engagement,0.9535962605901257,50
anthropic,Broadcast messages to multiple contacts,User Ratings,0.9683610867659947,50
anthropic,Build photo collage,Cost,0.6752848378615249,10
anthropic,Build photo collage,Customer Support,0.7280163599182005,10
anthropic,Build photo collage,Customization Options,0.4607069821793748,10
anthropic,Build photo collage,Ease of Use,0.8112766579024248,10
anthropic,Build photo collage,Feature Set,0.7280163599182005,10
anthropic,Build photo collage,Geographical Availability,0.7280163599182005,10
anthropic,Build photo collage,Integration Capabilities,0.6752848378615249,10
anthropic,Build photo collage,In App Purchases,0.324715162138475,10
anthropic,Build photo collage,Monthly Active Users,0.324715162138475,10
anthropic,Build photo collage,Number of Downloads,0.324715162138475,10
anthropic,Build photo collage,Platform Availability,0.7280163599182005,10
anthropic,Build photo collage,Security and Privacy,0.324715162138475,10
anthropic,Build photo collage,Update Frequency,0.7280163599182005,10
anthropic,Build photo collage,User Base,0.324715162138475,10
anthropic,Build photo collage,User Engagement,0.05273152205667543,10
anthropic,Build photo collage,User Ratings,0.7901840490797546,10
anthropic,Collaborate with others,Cost,0.7087934560327198,50
anthropic,Collaborate with others,Customer Support,0.92988606485539,50
anthropic,Collaborate with others,Customization Options,0.48086473853345013,50
anthropic,Collaborate with others,Ease of Use,1.0,50
anthropic,Collaborate with others,Feature Set,0.64943032427695,50
anthropic,Collaborate with others,Geographical Availability,0.64943032427695,50
anthropic,Collaborate with others,Integration Capabilities,0.9578147823546598,50
anthropic,Collaborate with others,In App Purchases,0.0,50
anthropic,Collaborate with others,Monthly Active Users,0.64943032427695,50
anthropic,Collaborate with others,Number of Downloads,0.34414256500146073,50
anthropic,Collaborate with others,Platform Availability,0.64943032427695,50
anthropic,Collaborate with others,Security and Privacy,0.0,50
anthropic,Collaborate with others,Update Frequency,0.8244230207420392,50
anthropic,Collaborate with others,User Base,0.6318434122115103,50
anthropic,Collaborate with others,User Engagement,0.8945369558866493,50
anthropic,Collaborate with others,User Ratings,1.0,50
anthropic,Go Live,Cost,0.6456324861232836,50
anthropic,Go Live,Customer Support,0.05650598889862692,50
anthropic,Go Live,Customization Options,0.0,50
anthropic,Go Live,Ease of Use,0.6765585743499856,50
anthropic,Go Live,Feature Set,0.2807478819748759,50
anthropic,Go Live,Geographical Availability,0.6650306748466258,50
anthropic,Go Live,Integration Capabilities,0.0,50
anthropic,Go Live,In App Purchases,0.7663978965819456,50
anthropic,Go Live,Monthly Active Users,0.6688927841075079,50
anthropic,Go Live,Number of Downloads,0.7214782354659656,50
anthropic,Go Live,Platform Availability,0.6222202746129126,50
anthropic,Go Live,Security and Privacy,0.0,50
anthropic,Go Live,Update Frequency,0.7721004966403738,50
anthropic,Go Live,User Base,0.768150744960561,50
anthropic,Go Live,User Engagement,0.7832719836400819,50
anthropic,Go Live,User Ratings,0.6765585743499856,50
anthropic,Keeping up with friends,Cost,0.5874963482325447,50
anthropic,Keeping up with friends,Customer Support,0.5829447852760736,50
anthropic,Keeping up with friends,Customization Options,0.1326614081215308,50
anthropic,Keeping up with friends,Ease of Use,0.7505755185509787,50
anthropic,Keeping up with friends,Feature Set,0.6235758106923751,50
anthropic,Keeping up with friends,Geographical Availability,0.6383406368682443,50
anthropic,Keeping up with friends,Integration Capabilities,0.3500555068653229,50
anthropic,Keeping up with friends,In App Purchases,0.25821793748174116,50
anthropic,Keeping up with friends,Monthly Active Users,0.6362313759859772,50
anthropic,Keeping up with friends,Number of Downloads,0.685188431200701,50
anthropic,Keeping up with friends,Platform Availability,0.5877183756938358,50
anthropic,Keeping up with friends,Security and Privacy,0.05306456324861233,50
anthropic,Keeping up with friends,Update Frequency,0.836897458369851,50
anthropic,Keeping up with friends,User Base,0.734145486415425,50
anthropic,Keeping up with friends,User Engagement,0.783102541630149,50
anthropic,Keeping up with friends,User Ratings,0.5614899211218229,50
anthropic,List items for sale,Cost,0.5938241308793457,50
anthropic,List items for sale,Customer Support,0.3260239555945077,50
anthropic,List items for sale,Customization Options,0.28359918200408996,50
anthropic,List items for sale,Ease of Use,0.5712416009348524,50
anthropic,List items for sale,Feature Set,0.6739409874379197,50
anthropic,List items for sale,Geographical Availability,0.8594799883143444,50
anthropic,List items for sale,Integration Capabilities,0.12281624306164182,50
anthropic,List items for sale,In App Purchases,0.51075080338884,50
anthropic,List items for sale,Monthly Active Users,0.8594799883143444,50
anthropic,List items for sale,Number of Downloads,0.8784633362547473,50
anthropic,List items for sale,Platform Availability,0.4647911189015483,50
anthropic,List items for sale,Security and Privacy,0.29236342389716624,50
anthropic,List items for sale,Update Frequency,0.49346187554776505,50
anthropic,List items for sale,User Base,0.8261758691206543,50
anthropic,List items for sale,User Engagement,0.8793222319602688,50
anthropic,List items for sale,User Ratings,0.603949751679813,50
anthropic,Photo effects,Cost,0.7813029506281041,50
anthropic,Photo effects,Customer Support,0.4657201285422144,50
anthropic,Photo effects,Customization Options,0.6769325153374233,50
anthropic,Photo effects,Ease of Use,0.820268770084721,50
anthropic,Photo effects,Feature Set,0.3774466841951504,10
anthropic,Photo effects,Geographical Availability,0.10546304411335086,10
anthropic,Photo effects,Integration Capabilities,0.9228454572012856,10
anthropic,Photo effects,In App Purchases,0.3774466841951504,10
anthropic,Photo effects,Monthly Active Users,0.0,10
anthropic,Photo effects,Number of Downloads,0.10546304411335086,10
anthropic,Photo effects,Platform Availability,0.3774466841951504,10
anthropic,Photo effects,Security and Privacy,0.8895413380075958,10
anthropic,Photo effects,Update Frequency,0.9228454572012856,10
anthropic,Photo effects,User Base,0.0,10
anthropic,Photo effects,User Engagement,0.0,10
anthropic,Photo effects,User Ratings,0.8895413380075958,10
anthropic,Play games,Cost,0.11802512416009348,50
anthropic,Play games,Customer Support,0.04218521764534034,50
anthropic,Play games,Customization Options,0.0,50
anthropic,Play games,Ease of Use,0.0,50
anthropic,Play games,Feature Set,0.0,50
anthropic,Play games,Geographical Availability,0.0,50
anthropic,Play games,Integration Capabilities,0.0,50
anthropic,Play games,In App Purchases,0.0,50
anthropic,Play games,Monthly Active Users,0.15968448729184925,50
anthropic,Play games,Number of Downloads,0.0,50
anthropic,Play games,Platform Availability,0.0,50
anthropic,Play games,Security and Privacy,0.0,50
anthropic,Play games,Update Frequency,0.03441425650014606,50
anthropic,Play games,User Base,0.5454864154250657,50
anthropic,Play games,User Engagement,0.23441425650014605,50
anthropic,Play games,User Ratings,0.1457785568215016,50
anthropic,Play playlist on shuffle mode,Cost,0.6044405492258252,50
anthropic,Play playlist on shuffle mode,Customer Support,0.9833479404031551,50
anthropic,Play playlist on shuffle mode,Customization Options,0.0,50
anthropic,Play playlist on shuffle mode,Ease of Use,0.9833479404031551,50
anthropic,Play playlist on shuffle mode,Feature Set,0.9833479404031551,50
anthropic,Play playlist on shuffle mode,Geographical Availability,0.9833479404031551,50
anthropic,Play playlist on shuffle mode,Integration Capabilities,0.962255331580485,50
anthropic,Play playlist on shuffle mode,In App Purchases,0.9833479404031551,50
anthropic,Play playlist on shuffle mode,Monthly Active Users,0.9833479404031551,50
anthropic,Play playlist on shuffle mode,Number of Downloads,0.9300613496932516,50
anthropic,Play playlist on shuffle mode,Platform Availability,0.9833479404031551,50
anthropic,Play playlist on shuffle mode,Security and Privacy,0.7866783523225241,50
anthropic,Play playlist on shuffle mode,Update Frequency,0.9833479404031551,50
anthropic,Play playlist on shuffle mode,User Base,0.9567046450482033,50
anthropic,Play playlist on shuffle mode,User Engagement,0.9833479404031552,20
anthropic,Play playlist on shuffle mode,User Ratings,0.9833479404031552,10
anthropic,Rate movies,Cost,0.7031784983932223,50
anthropic,Rate movies,Customer Support,0.9261758691206543,50
anthropic,Rate movies,Customization Options,0.5502950628104002,50
anthropic,Rate movies,Ease of Use,0.8560619339760445,50
anthropic,Rate movies,Feature Set,0.9135203038270524,50
anthropic,Rate movies,Geographical Availability,0.9261758691206543,50
anthropic,Rate movies,Integration Capabilities,0.8966462167689164,50
anthropic,Rate movies,In App Purchases,0.8595676307332749,50
anthropic,Rate movies,Monthly Active Users,0.7596552731522056,50
anthropic,Rate movies,Number of Downloads,0.6954250657318142,50
anthropic,Rate movies,Platform Availability,0.9135203038270524,50
anthropic,Rate movies,Security and Privacy,0.5169909436167104,50
anthropic,Rate movies,Update Frequency,0.9219573473561203,50
anthropic,Rate movies,User Base,0.8262635115395852,50
anthropic,Rate movies,User Engagement,0.9219573473561203,50
anthropic,Rate movies,User Ratings,0.9261758691206543,50
anthropic,Search for offer on item,Cost,0.9495997662868828,50
anthropic,Search for offer on item,Customer Support,0.7318375693835816,50
anthropic,Search for offer on item,Customization Options,0.962255331580485,50
anthropic,Search for offer on item,Ease of Use,0.5773531989482911,50
anthropic,Search for offer on item,Feature Set,0.962255331580485,50
anthropic,Search for offer on item,Geographical Availability,0.5309494595384165,50
anthropic,Search for offer on item,Integration Capabilities,0.962255331580485,50
