App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Life with AI,1,0,0,0,0,0,0,0,0,0
Reclaim.ai,0,0,0,0,0,1,0,0,0,0
Freeletics,0,1,1,0,0,17,1,1,4,0
Greenly,2,0,0,0,0,0,0,0,0,0
BodBot,0,0,0,0,0,0,2,0,0,0
Motion,0,0,0,0,0,5,0,0,1,9
Google Assistant,0,13,13,0,0,7,0,0,2,1
JouleBug,3,0,0,0,0,0,0,0,0,0
Luzia,0,0,0,0,0,0,0,0,3,0
Fitbod,0,2,2,13,6,3,4,3,5,2
FitGenie,15,0,0,1,15,0,0,9,0,0
ChatGPT,0,0,0,0,0,2,16,0,0,0
Noom,20,4,4,5,1,13,11,6,7,3
Athlytic,4,0,0,0,0,0,0,0,0,0
Fitbit,0,0,0,0,4,0,0,0,0,0
Aaptiv,0,3,3,14,7,0,3,2,6,10
Motics,5,0,0,0,0,0,0,0,0,0
Health AI,0,0,0,0,5,0,0,0,0,0
Taskade,0,0,0,0,0,0,0,0,0,5
Lifesum,11,20,0,18,2,0,0,0,0,0
ASENSEI,17,0,0,2,16,0,0,10,0,16
Strava,16,0,0,3,17,0,0,4,0,15
MyFitnessPal,12,9,6,19,3,4,0,0,16,0
SnapCalorie,0,6,7,0,0,0,0,0,11,0
TrainHeroic,0,14,10,0,0,0,5,5,15,0
Sweatcoin,0,0,0,4,18,0,0,0,0,14
Hinge Health,8,0,0,0,0,0,0,0,0,0
Otter.ai,0,0,0,0,0,0,0,0,0,8
HealthifyMe,0,5,5,0,19,8,0,14,10,0
Wysa,7,0,0,0,0,11,0,0,8,0
Sleep Cycle,0,0,0,0,0,9,0,0,0,0
Alexa,0,0,0,0,0,0,0,0,20,6
Healthily,0,0,0,8,0,0,0,8,0,18
SkinVision,6,0,19,12,0,0,10,0,0,0
Babylon,0,0,0,10,0,0,7,17,0,0
Eazy,0,0,0,0,10,0,0,0,0,0
Youper,0,12,12,20,11,0,15,0,14,4
MyPlate,0,0,0,7,0,0,20,7,0,17
Siri,0,0,0,0,0,0,0,0,19,7
Simple,0,8,9,0,0,0,0,13,13,0
Ada,9,11,11,9,12,0,6,16,17,0
Buoy,0,0,0,6,13,0,8,18,18,12
Nourish,0,7,8,0,20,0,0,15,12,0
Woebot,0,16,0,0,0,6,0,0,0,20
Ada Health,0,0,0,0,0,12,0,0,0,0
Calm,0,0,0,0,0,0,0,0,9,19
Keelo,0,10,15,16,8,0,13,20,0,11
Carrot,0,0,17,15,9,0,12,0,0,0
Klara,0,0,18,11,0,0,9,19,0,0
ReciMe,0,0,0,0,0,0,14,12,0,0
Healome,13,0,0,0,0,0,0,0,0,0
HeyLife,0,0,0,0,0,0,0,0,0,13
FitnessAI,0,15,20,0,14,10,0,11,0,0
InsideTracker,14,0,0,0,0,0,0,0,0,0
Oura Ring Gen 4 (with Sleep Reset App),0,0,0,0,0,14,0,0,0,0
Calorimama,10,19,0,17,0,0,0,0,0,0
Foodvisor,0,0,0,0,0,15,0,0,0,0
Alma,0,0,16,0,0,0,0,0,0,0
Nutrition AI,0,0,0,0,0,16,0,0,0,0
Grok,0,18,14,0,0,0,19,0,0,0
Lensa,0,17,0,0,0,0,0,0,0,0
Copilot,0,0,0,0,0,0,17,0,0,0
Nike Training Club,18,0,0,0,0,0,0,0,0,0
Pillow,0,0,0,0,0,18,0,0,0,0
Gemini,0,0,0,0,0,0,18,0,0,0
BeeDone,19,0,0,0,0,0,0,0,0,0
Eat Beat,0,0,0,0,0,19,0,0,0,0
Manifest,0,0,0,0,0,20,0,0,0,0
