name,description,type,sources
App Ratings,"The average rating of the app in app stores, reflecting user satisfaction and app quality.",Float[2],"App Store, Google Play Store"
Category Focus,"The primary types of items the app is best suited for selling (e.g., clothing, electronics, handmade items).",Text[*],"App descriptions, user reviews"
Category Specialization,"Whether the app focuses on a specific product category (e.g., clothing, electronics, handmade items), which can attract a more targeted audience.",Text[1],"App description, user demographics"
Community Focus,The extent to which the app fosters a sense of community among buyers and sellers through features like verified profiles and ratings systems.,Boolean[1],Multiple sources
Cross-listing Capabilities,Ability to list items on multiple platforms simultaneously to increase visibility.,Boolean[1],App descriptions
Customer Support,"The quality and availability of customer support for sellers, including response times and issue resolution.",Text[*],"SimiCart, Greenlight, Shopify Australia, SaleHoo"
Ease of Use,"The simplicity and intuitiveness of the app interface for listing items, managing sales, and communicating with buyers.",Boolean[*],"SimiCart, Greenlight, Shopify Australia, SaleHoo, Crosslist"
Ease of Use,"The simplicity and intuitiveness of the app's interface for listing items, managing inventory, and communicating with buyers.",Text[1],Multiple sources
Ease of Use,"How simple and intuitive the app is to use for listing items, managing inventory, and communicating with buyers.",Text[1],Multiple sources
Ease of Use,"How easy it is to list items, manage inventory, and communicate with buyers.",Text[1],"User reviews, app descriptions"
Ease of Use,"How simple it is to list items, manage inventory, and communicate with buyers. A user-friendly interface saves time and effort.",Text[1],"User reviews, app store comments"
Ease of Use,"How simple the app is to use, including listing creation, navigation, and communication with buyers. An intuitive interface saves time and effort.",Boolean[1],"AMZScout, Greenlight, Honeygain"
Ease of Use,"How simple the app is to navigate, list items, and complete transactions.",Text,Various sources
Fees,"Listing fees, commission fees, or transaction fees charged by the app.",Float[*],"App descriptions, Terms of Service"
Fees,"Listing fees, commission fees, and payment processing fees associated with selling on the platform.",Float[*],"SimiCart, Greenlight, Shopify Australia, SaleHoo, Supdropshipping"
Fees,"Listing fees, commission fees, or transaction fees associated with selling on the platform.",Float[*],Multiple
Fees,"Listing fees, commission fees, and payment processing fees charged by the app.",Float[*],Multiple sources
Fees,"The cost associated with listing and selling items on the app, including listing fees, commission fees, and transaction fees.",Float[*],Multiple sources
Fees,"Listing fees, commission fees, or transaction fees charged by the app. Lower fees increase seller profit.",Float[*],Various sources
Fees,The commission or listing fees charged by the app. Lower fees result in higher profits for the seller.,Float[*],"App documentation, user reviews"
Fees,The commission or listing fees associated with selling on the app.,Float[*],Multiple sources
Fees,"The costs associated with listing and selling items, including listing fees, commission fees, and transaction fees. Lower fees increase profitability.",Float[*],"AMZScout, Shopify New Zealand, Greenlight"
Fees,"The amount charged per listing or when an item sells, affecting profitability.",Float[*],Various sources
