App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
YouTube TV,1,1,1,1,1,1,1,1,1,1
Twitch,2,2,0,2,2,5,2,2,2,15
Hulu + Live TV,18,0,0,0,0,0,3,3,3,2
Pluto TV,3,3,10,3,3,2,4,4,4,6
Tubi,4,4,11,4,4,3,5,5,5,7
Netflix,0,0,2,0,0,0,19,0,16,0
Hulu,0,0,5,0,0,0,0,0,0,0
Plex,5,5,13,5,5,4,6,6,6,9
DAZN,6,6,0,0,6,9,7,7,7,12
Bigo Live,7,7,0,6,7,7,8,8,8,14
DirecTV Stream,0,0,19,0,0,0,0,0,0,5
Amazon Prime Video,19,0,3,0,0,0,18,0,17,0
The Roku Channel,0,0,0,0,0,0,0,0,0,8
Sling TV,17,0,16,0,0,0,13,0,12,3
FuboTV,10,0,17,0,0,0,12,0,11,4
YouNow,8,8,0,7,8,8,9,9,9,16
Disney+,20,0,4,0,0,0,14,0,14,0
YouTube Live,16,0,0,9,12,6,0,0,0,0
Huya Live,9,9,0,8,9,10,10,0,0,17
Apple TV+,0,0,7,0,0,0,15,0,15,0
Max,0,0,6,0,0,0,20,0,19,0
WatchESPN,13,11,0,10,10,11,11,11,10,19
Paramount+,0,0,9,0,0,0,16,0,13,11
Peacock,0,0,8,0,0,0,17,0,18,10
ESPN+,11,0,0,0,0,0,0,0,0,13
Airy TV,12,0,0,0,0,0,0,0,0,0
365Scores,0,12,0,11,11,12,0,0,0,20
Nimo TV,15,10,0,12,13,14,0,10,0,18
17 Media,14,13,0,13,14,13,0,0,0,0
Facebook Live,0,14,0,14,15,15,0,12,0,0
Vudu,0,0,14,0,0,0,0,0,0,0
Instagram Live,0,15,0,15,16,16,0,13,0,0
Crunchyroll,0,0,12,0,0,0,0,0,20,0
Showtime,0,0,15,0,0,0,0,0,0,0
Periscope,0,16,0,16,17,17,0,14,0,0
Mixer,0,0,0,0,0,0,0,16,0,0
DLive,0,18,0,17,19,19,0,15,0,0
Vimeo Livestream,0,17,0,20,18,18,0,17,0,0
Philo,0,0,18,0,0,0,0,0,0,0
Ustream,0,0,0,0,0,0,0,18,0,0
Streamlabs,0,0,0,0,0,0,0,19,0,0
Trovo,0,19,0,18,20,20,0,0,0,0
Caffeine,0,20,0,19,0,0,0,0,0,0
Roku Channel,0,0,20,0,0,0,0,0,0,0
Mobcrush,0,0,0,0,0,0,0,20,0,0
