App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Adidas Running,0,0,0,0,0,0,0,0,0,3
Endomondo,4,6,5,5,5,4,6,5,4,6
Fitbit,10,10,10,0,8,9,10,0,0,0
Garmin Connect,9,9,0,0,10,8,0,9,7,0
Google Fit,0,8,8,9,9,0,8,0,0,7
Map My Run,3,3,4,3,3,3,3,4,3,4
MyFitnessPal,0,0,3,7,0,7,9,8,0,8
Nike Run Club,2,2,2,2,2,2,2,2,2,2
Pacer Pedometer,7,7,0,8,7,0,7,7,8,10
Runkeeper,6,4,6,4,4,6,5,3,6,5
Runtastic,5,5,7,6,6,5,4,6,5,9
Samsung Health,0,0,9,10,0,0,0,10,0,0
Sports Tracker,0,0,0,0,0,0,0,0,9,0
Strava,1,1,1,1,1,1,1,1,1,1
Under Armour Record,0,0,0,0,0,10,0,0,0,0
"Zombies, Run!",0,0,0,0,0,0,0,0,10,0
Zwift,8,0,0,0,0,0,0,0,0,0
