App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
WhatsApp,1,1,1,1,1,1,1,1,1,1
Telegram,2,2,2,2,2,2,2,2,2,2
Signal,3,3,3,3,3,3,3,3,3,3
Facebook Messenger,4,0,0,5,4,4,5,4,4,13
WeChat,5,11,11,6,5,5,6,6,5,7
iMessage,0,0,0,4,16,0,4,13,0,0
Viber,7,10,10,8,6,7,8,8,6,6
Line,6,12,12,7,7,6,7,7,7,8
Threema,16,4,4,17,17,13,14,18,15,4
GroupMe,9,5,5,15,9,0,16,14,9,0
BAND,10,6,6,16,10,0,0,15,10,0
Slack,11,7,7,10,11,8,9,9,11,14
Google Chat,15,15,0,9,15,12,11,5,0,0
Microsoft Teams,12,8,8,11,12,9,10,10,12,15
Kik,8,0,0,0,0,0,0,0,19,0
Discord,13,9,9,12,13,10,12,11,13,17
KakaoTalk,0,13,13,14,8,18,18,16,8,9
Google Messages,0,0,0,0,0,0,0,0,0,12
imessage,0,14,0,0,0,0,0,0,0,11
Bridgefy,17,18,14,18,18,14,15,19,16,5
Skype,14,16,0,13,14,11,13,12,14,16
Wire,0,0,0,0,0,15,0,0,0,0
FireChat,0,0,16,0,0,0,0,0,0,0
Riot.im,0,0,0,0,0,16,0,0,0,0
Zalo,18,19,0,0,19,17,19,0,17,10
Messenger,0,17,0,0,0,0,0,0,0,0
Zello,0,0,15,19,0,0,0,20,0,0
Nextplus,0,0,18,0,0,0,0,0,0,0
imo,0,0,0,0,0,0,0,0,18,0
Band,0,0,0,0,0,20,17,0,0,18
Imo,0,0,0,0,0,0,20,17,0,0
HeyTell,0,0,17,20,0,0,0,0,0,19
KaKaoTalk,19,0,0,0,0,0,0,0,0,0
TextNow,0,0,19,0,0,0,0,0,0,0
imov,0,0,0,0,0,19,0,0,0,0
IMO,20,0,0,0,0,0,0,0,0,0
Hike,0,20,0,0,0,0,0,0,0,0
TextFree,0,0,20,0,0,0,0,0,0,0
imod,0,0,0,0,20,0,0,0,0,0
Tox,0,0,0,0,0,0,0,0,20,0
Marco Polo,0,0,0,0,0,0,0,0,0,20
