criteria,feature,model,correlation,num_comparisons
Ad_Free_Option,Access to movies,openai,0.039937233482884506,30
Ad_Free_Option,Access to movies,mistral,0.02977032580817041,30
Ad_Free_Option,Access to movies,gemini,-0.06459333912606273,30
Ad_Free_Option,Access to podcasts,openai,0.18329517121417147,30
Ad_Free_Option,Access to podcasts,mistral,0.20091702270718365,30
Ad_Free_Option,Access to podcasts,gemini,0.28863471639564403,27
Ad_Free_Option,Broadcast messages to multiple contacts,openai,-0.13472900135598678,20
Ad_Free_Option,Broadcast messages to multiple contacts,mistral,-0.41421763441286874,20
Ad_Free_Option,Broadcast messages to multiple contacts,gemini,-0.6755207801567383,12
Ad_Free_Option,Build photo collage,openai,-0.24311487306617174,30
Ad_Free_Option,Build photo collage,mistral,-0.009914471307121793,30
Ad_Free_Option,Build photo collage,gemini,-0.1635088984359392,30
Ad_Free_Option,Collaborate with others,openai,0.04643984868378955,20
Ad_Free_Option,Collaborate with others,mistral,0.176114292615562,20
Ad_Free_Option,Collaborate with others,gemini,0.15873969350709924,20
Ad_Free_Option,Go Live,openai,-0.36316350648222606,30
Ad_Free_Option,Go Live,mistral,-0.5702727744875313,30
Ad_Free_Option,Go Live,gemini,-0.406040720249554,24
Ad_Free_Option,Keeping up with friends,openai,-0.3505261240762268,30
Ad_Free_Option,Keeping up with friends,mistral,-0.18397510320506238,30
Ad_Free_Option,Keeping up with friends,gemini,-0.45732222568884456,30
Ad_Free_Option,List items for sale,openai,0.4991502479282503,20
Ad_Free_Option,List items for sale,mistral,0.47840163944790515,20
Ad_Free_Option,List items for sale,gemini,0.26583858402645816,20
Ad_Free_Option,Photo effects,openai,-0.10769556066927229,20
Ad_Free_Option,Photo effects,mistral,0.09777533166968441,20
Ad_Free_Option,Photo effects,gemini,-0.09810698843972561,20
Ad_Free_Option,Play games,openai,-0.8574236416057612,30
Ad_Free_Option,Play games,mistral,-0.6865643452193452,30
Ad_Free_Option,Play games,gemini,-0.7877471780900276,30
Ad_Free_Option,Play playlist on shuffle mode,openai,0.2874568970607099,30
Ad_Free_Option,Play playlist on shuffle mode,mistral,0.21709653997734998,30
Ad_Free_Option,Play playlist on shuffle mode,gemini,-0.4176241889635993,27
Ad_Free_Option,Rate movies,openai,-0.21791512888165432,20
Ad_Free_Option,Rate movies,mistral,-0.36373471493810944,20
Ad_Free_Option,Rate movies,gemini,-0.4206898039326969,20
Ad_Free_Option,Search for offer on item,openai,-0.2408720233026707,20
Ad_Free_Option,Search for offer on item,mistral,0.10357951195041219,20
Ad_Free_Option,Search for offer on item,gemini,-0.2135736610104224,20
Ad_Free_Option,Send files,openai,-0.3794512055578258,30
Ad_Free_Option,Send files,mistral,-0.09053679974191732,30
Ad_Free_Option,Send files,gemini,-0.38072741894937306,30
Ad_Free_Option,Watch streams,openai,-0.7023782182240073,30
Ad_Free_Option,Watch streams,mistral,-0.1757973856674003,30
Ad_Free_Option,Watch streams,gemini,-0.6370480634276828,30
Ad_Free_Option,Write notes,openai,0.4093706592036344,30
Ad_Free_Option,Write notes,mistral,0.39255549532838946,30
Ad_Free_Option,Write notes,gemini,0.34249789991257085,30
Ad_Frequency,Access to movies,openai,-0.018263458427513077,30
Ad_Frequency,Access to movies,mistral,-0.10399203197987834,30
Ad_Frequency,Access to movies,gemini,-0.05532894962802388,30
Ad_Frequency,Access to podcasts,openai,0.31561477726159437,20
Ad_Frequency,Access to podcasts,mistral,0.4613013639978677,20
Ad_Frequency,Access to podcasts,gemini,0.23036915243312528,18
Ad_Frequency,Broadcast messages to multiple contacts,openai,0.037141260599721705,20
Ad_Frequency,Broadcast messages to multiple contacts,mistral,0.12718967240409157,20
Ad_Frequency,Broadcast messages to multiple contacts,gemini,-0.6323093568020918,12
Ad_Frequency,Build photo collage,openai,-0.191120601077387,20
Ad_Frequency,Build photo collage,mistral,0.19784906505588984,20
Ad_Frequency,Build photo collage,gemini,-0.24971905337276717,20
Ad_Frequency,Collaborate with others,openai,-0.005490629278775833,20
Ad_Frequency,Collaborate with others,mistral,0.17567076390414432,20
Ad_Frequency,Collaborate with others,gemini,0.03453169693311179,20
Ad_Frequency,Go Live,openai,-0.4081093069642317,20
Ad_Frequency,Go Live,mistral,-0.492426901867326,20
Ad_Frequency,Go Live,gemini,-0.407165788574101,16
Ad_Frequency,Keeping up with friends,openai,-0.18788033085793612,30
Ad_Frequency,Keeping up with friends,mistral,-0.22025808445355635,30
Ad_Frequency,Keeping up with friends,gemini,-0.2984418727766812,30
Ad_Frequency,List items for sale,openai,0.30773306594659383,20
Ad_Frequency,List items for sale,mistral,0.0944623935679531,20
Ad_Frequency,List items for sale,gemini,-0.009717932001216028,20
Ad_Frequency,Photo effects,openai,-0.15457846181628773,20
Ad_Frequency,Photo effects,mistral,0.06870260200507565,20
Ad_Frequency,Photo effects,gemini,-0.27329517578635176,20
Ad_Frequency,Play games,openai,-0.8574236416057612,30
Ad_Frequency,Play games,mistral,-0.23801690596259048,30
Ad_Frequency,Play games,gemini,-0.7007197874611147,30
Ad_Frequency,Play playlist on shuffle mode,openai,0.4412236988260866,20
Ad_Frequency,Play playlist on shuffle mode,mistral,0.45421314587066036,20
Ad_Frequency,Play playlist on shuffle mode,gemini,-0.3654426077329601,18
Ad_Frequency,Rate movies,openai,-0.2373541771590108,30
Ad_Frequency,Rate movies,mistral,-0.1684924685310984,30
Ad_Frequency,Rate movies,gemini,-0.11212789739402038,30
Ad_Frequency,Search for offer on item,openai,-0.4368605249964207,20
Ad_Frequency,Search for offer on item,mistral,-0.08785908049348559,20
Ad_Frequency,Search for offer on item,gemini,-0.4652656057417198,20
Ad_Frequency,Send files,openai,-0.4958500346812621,20
Ad_Frequency,Send files,mistral,0.042737077769576214,20
Ad_Frequency,Send files,gemini,-0.587529567381389,20
Ad_Frequency,Watch streams,openai,-0.6279799880885532,30
Ad_Frequency,Watch streams,mistral,-0.3300346371636253,30
Ad_Frequency,Watch streams,gemini,-0.6576841783416525,30
Ad_Frequency,Write notes,openai,0.21500913277285483,30
Ad_Frequency,Write notes,mistral,0.15277371651889107,30
Ad_Frequency,Write notes,gemini,0.1536360936655438,30
Community_Engagement,Access to movies,openai,-0.1356558899763116,30
Community_Engagement,Access to movies,mistral,-0.23578004810935577,30
Community_Engagement,Access to movies,gemini,-0.23741670473117804,30
Community_Engagement,Access to podcasts,openai,-0.015926276368325727,30
Community_Engagement,Access to podcasts,mistral,0.08143111348239257,30
Community_Engagement,Access to podcasts,gemini,-0.0636455783327695,27
Community_Engagement,Broadcast messages to multiple contacts,openai,-0.5928143585958524,30
Community_Engagement,Broadcast messages to multiple contacts,mistral,-0.27426491492099836,30
Community_Engagement,Broadcast messages to multiple contacts,gemini,-0.5810667436204261,18
Community_Engagement,Build photo collage,openai,-0.15044003512538967,30
Community_Engagement,Build photo collage,mistral,0.05839050084137402,30
Community_Engagement,Build photo collage,gemini,-0.3562018872708542,30
Community_Engagement,Collaborate with others,openai,0.21233243117409054,30
Community_Engagement,Collaborate with others,mistral,0.3665836951824396,30
Community_Engagement,Collaborate with others,gemini,0.2611971418050306,30
Community_Engagement,Go Live,openai,-0.7873515467685009,20
Community_Engagement,Go Live,mistral,-0.5324651074941006,20
Community_Engagement,Go Live,gemini,-0.7732631533886916,16
Community_Engagement,Keeping up with friends,openai,-0.4800936152413824,20
Community_Engagement,Keeping up with friends,mistral,-0.10036982913342271,20
Community_Engagement,Keeping up with friends,gemini,-0.3584203677177605,20
Community_Engagement,List items for sale,openai,0.45782849460017705,20
Community_Engagement,List items for sale,mistral,0.4399777732096733,20
Community_Engagement,List items for sale,gemini,0.27739837524952454,20
Community_Engagement,Photo effects,openai,0.1241570625904704,20
Community_Engagement,Photo effects,mistral,0.3027341091711063,20
Community_Engagement,Photo effects,gemini,-0.06287633291999868,20
Community_Engagement,Play games,openai,-0.8515397831963714,30
Community_Engagement,Play games,mistral,0.34308613973976687,30
Community_Engagement,Play games,gemini,-0.5522519717800204,30
Community_Engagement,Play playlist on shuffle mode,openai,0.128830947909266,30
Community_Engagement,Play playlist on shuffle mode,mistral,0.1544894032136907,30
Community_Engagement,Play playlist on shuffle mode,gemini,-0.3270567818920144,27
Community_Engagement,Rate movies,openai,-0.2103141167537019,30
Community_Engagement,Rate movies,mistral,-0.1883609639543179,30
Community_Engagement,Rate movies,gemini,-0.13416765019646426,30
Community_Engagement,Search for offer on item,openai,-0.43671713057888645,20
Community_Engagement,Search for offer on item,mistral,-0.3969118647550552,20
Community_Engagement,Search for offer on item,gemini,-0.506295895759336,20
Community_Engagement,Send files,openai,-0.15781918966121233,20
Community_Engagement,Send files,mistral,-0.3225210945659062,20
Community_Engagement,Send files,gemini,-0.38430709315094824,20
Community_Engagement,Watch streams,openai,-0.4830352970006143,30
Community_Engagement,Watch streams,mistral,-0.6429492416792285,30
Community_Engagement,Watch streams,gemini,-0.41288850702342117,30
Community_Engagement,Write notes,openai,0.2868085957100396,30
Community_Engagement,Write notes,mistral,0.2157638516063359,30
Community_Engagement,Write notes,gemini,0.17188126482484517,30
Cost,Access to movies,openai,-0.28455499353987557,20
Cost,Access to movies,mistral,-0.4178491646380875,20
Cost,Access to movies,gemini,-0.13991103505640362,20
Cost,Access to podcasts,openai,0.21247259273145355,30
Cost,Access to podcasts,mistral,0.27358289571515226,30
Cost,Access to podcasts,gemini,0.2979612169718859,27
Cost,Broadcast messages to multiple contacts,openai,-0.22637360069705298,30
Cost,Broadcast messages to multiple contacts,mistral,-0.13926661651782674,30
Cost,Broadcast messages to multiple contacts,gemini,-0.5630259376863413,18
Cost,Build photo collage,openai,-0.3279458166723489,30
Cost,Build photo collage,mistral,0.004778200503188534,30
Cost,Build photo collage,gemini,-0.48668274382433246,30
Cost,Collaborate with others,openai,0.10029061024355837,30
Cost,Collaborate with others,mistral,0.3479057831880275,30
Cost,Collaborate with others,gemini,0.24954978061654273,30
Cost,Go Live,openai,-0.28811325858307857,30
Cost,Go Live,mistral,-0.1132622972787034,30
Cost,Go Live,gemini,-0.2833008715489071,24
Cost,Keeping up with friends,openai,0.018331804425366978,30
Cost,Keeping up with friends,mistral,0.02731567840486581,30
Cost,Keeping up with friends,gemini,-0.06083333807964342,30
Cost,List items for sale,openai,-0.03025833133518367,30
Cost,List items for sale,mistral,-0.10322500371314332,30
Cost,List items for sale,gemini,-0.14236396471358173,30
Cost,Photo effects,openai,-0.20627649842008913,30
Cost,Photo effects,mistral,0.1990066436733393,30
Cost,Photo effects,gemini,-0.012848223556863799,30
Cost,Play games,openai,-0.8574236416057612,30
Cost,Play games,mistral,-0.2521512111948715,30
Cost,Play games,gemini,-0.6879613724971524,30
Cost,Play playlist on shuffle mode,openai,0.09246746004439962,30
Cost,Play playlist on shuffle mode,mistral,0.12420272504760052,30
Cost,Play playlist on shuffle mode,gemini,-0.4786931888774743,27
Cost,Rate movies,openai,-0.32576086375753116,30
Cost,Rate movies,mistral,-0.2926710802872056,30
Cost,Rate movies,gemini,-0.34540515196872906,30
Cost,Search for offer on item,openai,0.10931214923249664,30
Cost,Search for offer on item,mistral,0.049627494848659186,30
Cost,Search for offer on item,gemini,-0.009946087369406218,30
Cost,Send files,openai,0.02994284906536,30
Cost,Send files,mistral,-0.26179297646866917,30
Cost,Send files,gemini,-0.168637364252729,30
Cost,Watch streams,openai,-0.4541216148190858,30
Cost,Watch streams,mistral,-0.6286061430772083,30
Cost,Watch streams,gemini,-0.7588828905273212,30
Cost,Write notes,openai,0.052971764889879654,30
Cost,Write notes,mistral,0.09967040259365974,30
Cost,Write notes,gemini,0.04419778152339967,30
Customer_Support,Access to movies,openai,0.1448349960727307,20
Customer_Support,Access to movies,mistral,0.1099585899785119,20
Customer_Support,Access to movies,gemini,-0.05572674143486552,20
Customer_Support,Access to podcasts,openai,0.44780885401158776,20
Customer_Support,Access to podcasts,mistral,0.5355079565581645,20
Customer_Support,Access to podcasts,gemini,0.2590373228263685,18
Customer_Support,Broadcast messages to multiple contacts,openai,-0.1849405555654186,30
Customer_Support,Broadcast messages to multiple contacts,mistral,-0.09870619408452269,30
Customer_Support,Broadcast messages to multiple contacts,gemini,-0.5553244332149695,18
Customer_Support,Build photo collage,openai,-0.17958374171248523,20
Customer_Support,Build photo collage,mistral,0.21423545458098925,20
Customer_Support,Build photo collage,gemini,-0.2342667151045486,20
Customer_Support,Collaborate with others,openai,-0.053584809349513034,30
Customer_Support,Collaborate with others,mistral,0.23668398896333173,30
Customer_Support,Collaborate with others,gemini,0.08981985471597838,30
Customer_Support,Go Live,openai,-0.45047775672947754,30
