App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Adobe Photoshop Lightroom,0,1,0,0,0,0,0,0,0,0
Adobe Lightroom Mobile,1,0,1,5,1,3,1,1,3,0
Adobe Photoshop Express,0,0,0,1,0,19,0,8,0,1
Snapseed,2,2,2,3,2,2,4,2,1,3
VSCO,3,3,3,4,3,1,5,3,2,18
Picsart,0,0,4,0,4,0,2,4,0,0
PicsArt,4,5,0,2,0,5,0,0,4,5
Photo Grid - Collage Maker,0,0,0,0,0,0,0,0,0,4
Afterlight,5,4,6,10,6,4,6,7,5,16
Polarr,7,19,5,6,5,17,3,5,6,0
Aviary Photo Editor,0,0,0,0,0,0,0,0,0,6
Pixlr,11,6,0,11,0,10,14,20,10,2
Luminar Neo,0,0,7,0,7,0,0,0,0,0
Photo Editor Pro - Polish,0,0,0,0,0,0,0,0,0,7
Photoshop Express,0,0,0,0,8,0,0,0,0,0
Photo Editor,0,0,0,0,0,0,0,0,0,8
PhotoDirector,9,8,8,8,11,8,0,0,8,0
YouCam Perfect,6,9,0,7,12,9,0,10,9,13
Facetune,0,0,9,0,0,0,0,0,0,0
Lensa,0,0,0,0,0,0,9,0,0,0
PhotoDirector Photo Editor,0,0,0,0,0,0,0,9,0,0
PhotoDirector Photo Editor App,0,0,0,0,0,0,0,0,0,9
Fotor,8,7,14,9,0,7,0,12,7,15
Photoleap,0,0,0,0,0,12,7,0,12,0
YouCam Makeup,0,0,10,0,0,0,0,0,0,0
Light Photo Editor,0,0,0,0,0,0,0,0,0,10
FaceApp,0,11,0,0,0,0,0,0,0,0
PhotoShop Express,0,0,11,0,0,0,0,0,0,0
Adobe Lightroom,0,0,0,0,0,0,0,0,0,11
Lightleap,0,12,0,0,0,0,0,0,0,0
Pixelmator,0,0,12,0,0,0,0,0,0,0
Canva,10,10,15,15,0,6,20,18,11,20
A Color Story,14,0,0,0,0,0,11,0,0,0
Photo Editor Pro,0,0,0,14,0,11,0,0,0,0
Darkroom,12,13,18,0,0,16,8,0,0,0
LightX Photo Editor,0,0,0,13,0,0,0,11,0,14
Fotor Photo Editor,0,0,0,0,13,0,0,0,0,0
Glitch Art Studio,0,0,0,0,0,0,13,0,0,0
Tezza,13,0,0,0,19,0,10,0,0,0
Polish,19,20,0,0,0,18,0,6,19,0
Photo Lab Picture Editor,0,0,0,12,17,0,0,0,0,12
Apple Photos,0,0,0,20,10,0,0,0,0,0
Hyperspektiv,0,0,0,0,0,14,0,0,13,0
Ultrapop,0,0,0,0,0,15,12,0,14,0
Google Photos,20,0,0,19,9,0,0,0,0,0
Toolwiz Photos,0,0,0,0,0,0,0,13,0,17
AirBrush,0,0,16,0,14,0,0,0,0,0
Unfold,15,0,0,0,0,0,0,0,0,0
Photoroom,0,15,0,0,0,0,0,0,0,0
FIMO - Analog Camera,0,0,0,0,0,0,15,0,0,0
Facetune2,0,0,0,0,0,0,0,15,0,0
Photopea,0,14,13,0,0,20,0,0,0,0
Prisma,0,0,0,16,0,13,0,14,15,19
Foodie,0,0,17,0,15,0,0,0,0,0
Dazz Cam,16,0,0,0,0,0,0,0,0,0
Krita,0,16,0,0,0,0,0,0,0,0
BeautyPlus,0,0,0,0,16,0,0,0,0,0
NOMO CAM - Point and Shoot,0,0,0,0,0,0,16,0,0,0
Bazaart,0,0,0,17,0,0,0,16,16,0
FIMO,17,0,0,0,0,0,0,0,0,0
PhotoScape X,0,17,0,0,0,0,0,0,0,0
Dazz Cam - Vintage Camera,0,0,0,0,0,0,17,0,0,0
Camera+,0,0,0,0,0,0,0,17,0,0
Facetune 2,0,0,0,18,0,0,0,0,17,0
NOMO CAM,18,0,0,0,0,0,0,0,0,0
MyEdit,0,18,0,0,0,0,0,0,0,0
Mojo,0,0,0,0,18,0,0,0,0,0
Hipstamatic,0,0,0,0,0,0,18,0,0,0
PhotoFox,0,0,0,0,0,0,0,0,18,0
1998 Cam,0,0,19,0,0,0,0,0,0,0
Unfold: Story & Reels Maker,0,0,0,0,0,0,19,0,0,0
Movavi Picverse,0,0,0,0,0,0,0,19,0,0
Hypocam,0,0,20,0,20,0,0,0,0,0
"Photo Editor (by Aviary, if available)",0,0,0,0,0,0,0,0,20,0
