App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Adobe Lightroom,1,1,1,1,1,1,1,1,1,1
Lensa AI,0,0,0,0,0,0,0,2,0,0
VSCO,2,2,6,2,6,6,2,6,2,2
Prisma,3,3,3,3,2,3,3,3,3,3
Lensa,7,6,2,6,4,2,6,0,6,6
PicsArt,4,4,5,4,5,5,4,5,4,4
FaceApp,6,5,4,5,3,4,5,4,5,5
Meitu,8,7,9,7,7,9,7,10,7,7
Snapseed,5,8,7,9,12,7,9,7,9,9
Photolemur,9,0,0,0,8,0,0,0,0,0
Photoleap,0,9,8,12,0,8,0,0,8,0
Let's Enhance,0,0,0,0,9,0,0,0,0,0
BeautyPlus,0,0,0,8,0,10,8,11,18,8
Fotor,0,0,12,0,0,0,0,9,12,0
Google Photos,0,0,0,0,11,0,0,0,0,0
Prequel,0,0,0,0,0,11,0,0,0,0
Pixlr,14,0,10,13,0,0,0,8,10,15
Photoshop Express,0,0,0,0,0,0,10,13,0,0
Afterlight,10,10,13,10,13,14,11,16,0,10
CamScanner,0,0,0,0,0,0,0,12,0,0
TouchRetouch,11,11,14,11,14,13,12,18,0,11
Canva,0,0,11,14,0,0,0,14,11,16
Enlight Quickshot,0,0,0,0,0,0,13,0,0,0
BeFunky,0,0,0,0,0,0,0,0,13,0
PhotoDirector,0,0,0,0,0,0,0,0,0,13
DeepArt,0,14,19,0,10,0,0,0,0,0
Facetune2,0,20,0,0,0,12,0,0,0,12
Focos,0,0,0,0,0,0,14,0,0,0
Pixtica,0,0,0,0,0,0,0,0,14,0
Remini,0,12,15,0,15,15,0,0,0,14
Glitch Art Studio,0,13,0,0,16,0,0,0,0,0
Enlight,12,0,0,0,0,0,0,19,0,0
Instasize,0,0,0,0,0,0,0,15,0,0
Cymera,0,0,0,0,0,0,0,0,15,0
Darkroom,13,0,0,0,0,17,15,17,0,0
BeCasso,0,0,16,0,0,0,0,0,0,0
Glitch̩,0,0,0,0,0,16,0,0,0,0
Camera+ 2,0,0,0,0,0,0,16,0,0,0
YouCam Perfect,0,0,0,0,0,0,0,0,16,0
Pixaloop,0,15,18,0,17,0,0,0,0,0
Motionleap,0,16,0,0,0,18,0,0,0,0
FilmoraGo,15,0,0,15,19,20,0,0,0,17
Glitch Art,0,0,17,0,0,0,0,0,0,0
ProCam 8,0,0,0,0,0,0,17,0,0,0
AirBrush,0,0,0,0,0,0,0,0,17,0
InShot,16,0,0,16,20,0,0,0,0,18
KineMaster,17,0,0,17,0,0,0,0,0,19
StoryZ,0,17,0,0,0,19,0,0,0,0
Vimage,0,18,0,0,0,0,0,0,0,0
Enlight Photofox,0,0,0,0,18,0,0,0,0,0
Halide Mark II,0,0,0,0,0,0,18,0,0,0
Magisto,18,0,0,18,0,0,0,0,0,20
Filmic Pro,0,0,0,0,0,0,19,0,0,0
Camera360,0,0,0,0,0,0,0,0,19,0
Quik,19,0,0,20,0,0,0,0,0,0
VivaVideo,20,0,0,19,0,0,0,0,0,0
ToonMe,0,19,20,0,0,0,0,0,0,0
Moment Pro Camera,0,0,0,0,0,0,20,0,0,0
Pixelmator,0,0,0,0,0,0,0,20,0,0
Pitu,0,0,0,0,0,0,0,0,20,0
