App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Microsoft Teams,1,1,1,1,1,1,1,1,1,1
Slack,2,2,2,2,2,2,2,2,2,2
Google Workspace,3,3,3,4,3,4,4,3,3,4
Zoom,4,4,4,3,4,3,3,4,4,3
Trello,5,6,5,6,5,5,5,6,5,5
Asana,6,5,6,5,6,6,6,5,6,6
Miro,7,7,7,7,7,0,7,7,0,7
Figma,10,10,9,8,8,0,8,11,0,8
Monday.com,9,9,10,10,10,7,10,9,7,10
Flock,0,0,0,0,0,9,0,0,9,0
Notion,8,8,8,9,9,16,9,8,18,9
Rocket.Chat,0,0,0,0,0,10,0,0,10,0
Basecamp,11,11,11,11,12,8,11,10,8,11
Mattermost,0,0,0,0,0,11,0,0,0,0
Microsoft 365,0,0,0,0,0,0,0,0,11,0
ClickUp,0,12,12,12,11,13,12,0,0,0
Wrike,0,0,0,0,0,12,0,0,0,0
Dropbox,12,0,15,0,0,0,0,14,0,0
Jira,16,13,13,13,13,14,14,13,16,16
Confluence,17,14,14,14,14,15,13,12,17,17
Google Drive,0,0,0,0,0,0,0,15,0,0
Skype,18,15,17,15,19,0,15,17,13,13
Discord,19,16,18,16,20,0,16,18,12,12
Webex,0,17,0,17,0,0,17,0,15,14
Google Meet,13,0,19,0,17,0,0,0,0,0
OneDrive,0,0,0,0,0,0,0,16,0,0
GoToMeeting,15,18,0,18,0,0,18,0,14,15
Microsoft OneNote,0,0,0,19,15,0,0,0,0,0
Cisco Webex,14,0,20,0,18,0,0,0,0,0
Evernote,0,20,16,20,16,0,0,0,0,0
Quip,0,0,0,0,0,17,0,0,19,0
Ryver,0,0,0,0,0,18,0,0,0,20
Yammer,0,0,0,0,0,0,20,0,0,18
Microsoft Project,0,19,0,0,0,0,0,0,0,0
Glip,0,0,0,0,0,19,0,0,0,0
RingCentral,0,0,0,0,0,0,19,0,0,0
WhatsApp,0,0,0,0,0,0,0,19,0,0
Chanty,0,0,0,0,0,0,0,0,0,19
Microsoft OneDrive,20,0,0,0,0,0,0,0,0,0
Samepage,0,0,0,0,0,20,0,0,20,0
Telegram,0,0,0,0,0,0,0,20,0,0
