App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Microsoft OneNote,4,3,1,1,1,1,1,4,1,1
Evernote,3,2,2,2,2,2,2,3,8,7
Notion,2,1,3,4,5,4,4,2,4,4
ClickUp,1,0,9,10,0,0,10,1,10,8
Google Keep,6,4,4,3,3,3,3,6,3,3
Apple Notes,5,5,5,6,4,7,6,5,2,2
Obsidian,7,6,6,5,6,6,5,7,5,5
Joplin,8,7,7,7,7,13,7,8,12,6
Simplenote,9,8,8,8,8,9,8,9,7,9
Bear,10,9,10,9,15,5,9,10,9,10
Goodnotes 6,0,0,0,11,10,0,0,0,0,0
Zoho Notebook,12,11,0,13,13,8,13,0,0,15
Craft,0,0,12,0,0,0,0,0,0,0
Notability,14,12,14,12,9,0,11,15,0,13
GoodNotes,13,0,13,0,0,10,0,14,0,0
Goodnotes,0,13,0,0,0,0,12,0,0,12
UpNote,11,10,11,17,16,14,16,11,12,11
Standard Notes,0,0,0,19,0,12,0,0,11,0
Roam Research,0,0,0,18,0,11,15,0,13,0
Pencil Notes: Penbook,0,0,0,0,14,0,14,0,0,0
CollaNote,15,14,0,16,11,16,18,13,0,0
Penbook,0,0,0,15,0,0,0,0,0,14
Noteshelf,19,15,0,14,12,0,19,0,0,0
Coda,0,18,0,0,0,0,0,16,14,0
Xtiles,0,0,0,0,0,0,0,17,15,0
Reflect,0,0,16,0,0,0,0,0,0,0
RemNote,0,0,15,0,0,0,20,0,0,16
Scrintal,0,0,0,0,0,0,0,18,16,0
Nebo,16,0,0,0,17,18,0,0,0,0
MarginNote,0,17,0,0,0,0,0,0,0,0
Tana,0,0,20,0,0,15,0,0,0,0
Amplenote,0,0,18,0,0,0,0,0,0,17
LiquidText,17,16,0,20,19,0,17,0,19,0
Reflect Notes,0,0,0,0,0,17,0,0,0,19
Flexcil,0,0,0,0,18,0,0,0,0,0
AnyType,0,19,0,0,0,0,0,19,17,0
NotePlan,0,0,19,0,0,0,0,0,0,18
Anytype,20,0,17,0,0,0,0,0,0,20
MarginNote 4,18,0,0,0,20,0,0,0,0,0
Capacities,0,0,0,0,0,0,0,20,18,0
Everdo,0,0,0,0,0,19,0,0,0,0
AFFiNE,0,20,0,0,0,0,0,0,0,0
Mem,0,0,0,0,0,20,0,0,0,0
Miot,0,0,0,0,0,0,0,0,20,0
