App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Netflix,1,1,1,1,1,1,1,1,1,1
Amazon Prime Video,2,2,2,2,2,2,2,2,2,2
Disney+,3,3,3,3,3,3,3,3,3,3
Hulu,4,4,4,4,4,4,4,4,4,4
HBO Max,5,5,5,5,5,5,5,5,5,5
Apple TV+,6,6,6,6,6,6,6,6,6,6
Peacock,7,7,7,7,7,7,7,7,7,7
Paramount+,8,8,8,8,8,8,8,8,8,8
Tubi,9,9,9,9,9,9,9,9,9,9
Pluto TV,10,10,10,10,10,10,10,10,10,10
The Roku Channel,11,11,11,11,11,11,11,11,11,11
Plex,12,12,12,12,12,12,12,12,12,12
Vudu,13,13,13,13,13,13,13,13,13,13
Freevee,14,14,14,14,14,14,14,14,14,14
Mubi,15,15,15,15,15,15,15,15,15,15
Crunchyroll,16,17,16,16,17,16,16,16,16,16
Shudder,17,16,17,0,16,0,0,17,17,17
Popcornflix,18,18,18,17,18,17,17,18,18,18
Xumo Play,19,19,19,18,19,18,18,19,19,19
Redbox,20,20,20,19,20,19,19,20,20,20
Kanopy,0,0,0,20,0,0,20,0,0,0
Stremio,0,0,0,0,0,20,0,0,0,0
