App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Replika,1,1,1,1,1,1,1,1,1,1
Meeff,0,0,0,0,0,2,0,0,0,0
Wink,2,2,2,2,2,3,2,2,2,2
Molome,3,0,0,0,0,0,0,0,0,0
Moonly,0,3,3,0,0,0,3,3,0,0
MovieGoer,0,0,0,3,0,0,0,0,0,0
Elsa Speak,0,0,0,0,0,0,0,0,3,3
MoviePass,0,0,0,0,3,0,0,0,4,0
Hall,4,0,0,0,0,0,0,0,0,0
Anima,0,4,0,0,0,0,4,0,0,0
ELSA Speak,0,0,0,4,0,0,0,0,0,0
Chispa,0,0,0,0,0,0,0,4,0,0
Mystic Messenger,0,0,0,0,0,0,0,0,0,4
HiHello,0,0,0,0,4,0,0,0,5,0
Wakie,0,0,4,6,0,0,0,0,0,0
Yik Yak,5,0,0,0,0,0,0,0,0,0
Wolf,0,5,0,0,0,0,0,0,0,0
Anonymous Chat Rooms,0,0,5,5,0,0,0,0,0,0
PinkDate,0,0,0,0,5,0,0,0,0,0
SoSpoilt,0,0,0,0,0,0,0,5,0,0
Anyme,0,0,0,0,0,0,0,0,0,5
Wysa,0,0,0,0,0,0,5,0,0,6
Clubhouse,6,0,0,0,0,0,0,0,0,0
Swiipe,0,6,0,0,0,0,0,0,0,0
Amino,0,0,0,0,6,0,0,0,0,0
Azar,0,0,0,0,0,6,0,0,0,0
Kuki,0,0,0,0,0,0,6,0,0,0
Wizz,0,0,0,0,0,0,0,6,0,0
Yubo,0,7,0,0,7,4,0,0,9,0
Connected2.me,0,0,7,0,0,0,0,0,0,0
Connections,0,0,0,7,0,0,0,0,0,0
Badoo,0,0,0,0,0,7,0,0,0,0
Joy,0,0,0,0,0,0,7,0,0,7
Ponder,0,0,0,0,0,0,0,7,0,0
Peanut,7,0,0,0,9,0,0,0,6,0
Chatous,0,0,6,9,0,0,0,0,0,0
Bumble,0,0,0,0,0,8,0,0,7,0
Ablo,0,10,0,0,0,5,0,0,10,0
Lunchclub,8,0,0,0,0,0,0,0,0,0
Softer,0,8,0,0,0,0,0,0,0,0
Spotafriend,0,0,0,0,8,0,0,0,0,0
Mubert,0,0,0,0,0,0,8,0,0,0
Anonymous Chat Rooms & Dating,0,0,0,0,0,0,0,8,0,0
Swelly,0,0,0,0,0,0,0,0,0,8
Monkey,0,0,0,8,0,0,0,0,0,9
Bumble BFF,9,0,0,0,0,0,0,0,0,0
Lemon,0,9,0,0,0,0,0,0,0,0
Lyka,0,0,9,0,0,0,0,0,0,0
Hinge,0,0,0,0,0,9,0,0,0,0
Elomia,0,0,0,0,0,0,9,0,0,0
Keen,0,0,0,0,0,0,0,9,0,0
Hey!,10,0,0,0,10,0,0,0,8,0
Holla,0,0,8,10,0,0,0,0,0,10
MICO,0,0,10,0,0,0,0,0,0,0
Hola,0,0,0,0,0,10,0,0,0,0
Emma,0,0,0,0,0,0,10,0,0,0
ChatRank,0,0,0,0,0,0,0,10,0,0
