App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
ShareIt,1,1,1,3,1,1,1,1,1,1
Zapya,2,2,3,4,3,2,3,3,3,2
Xender,3,11,2,11,2,13,2,2,2,3
SuperBeam,0,3,4,5,4,3,4,4,4,0
Superbeam,5,0,0,0,0,0,0,0,0,4
WeTransfer,6,10,9,1,10,7,8,8,8,8
AirDroid,4,5,5,7,6,5,6,5,5,5
Portal,12,4,6,0,5,4,5,6,6,6
Send Anywhere,8,9,7,2,9,6,7,7,7,9
 Portal,0,0,0,6,0,0,0,0,0,0
Filemail,7,0,0,0,0,0,0,0,0,0
Pushbullet,13,6,8,8,7,0,0,0,11,7
Firefox Send,9,12,10,0,11,8,9,9,9,0
JumboMail,10,0,0,0,0,0,0,0,0,0
SHAREall,0,8,12,10,8,9,16,10,13,10
MASVTube,11,0,0,0,0,0,0,0,0,0
Snapdrop,14,13,11,15,12,12,10,11,10,11
Feem,0,7,13,9,13,16,18,16,12,14
JioSwitch,0,15,20,13,18,10,12,12,14,12
TrebleShot,16,14,16,14,16,11,13,13,15,13
Sweet File Transfer,0,0,14,0,14,0,0,0,0,0
Files by Google,0,0,0,0,0,14,14,14,0,0
Telegram,15,0,0,0,0,0,0,0,0,0
LanX,0,0,0,0,15,0,0,0,0,0
ShareMe,0,0,0,0,0,0,11,20,0,19
SilFer,0,20,0,12,0,0,0,0,17,0
Sweet Send,0,16,0,0,0,0,0,0,16,0
Send5,0,0,0,16,0,0,0,0,0,0
Infinit,0,0,0,0,0,0,0,0,0,16
Dukto,0,17,0,17,0,15,15,15,20,17
WhatsApp,17,0,0,0,0,0,0,0,0,0
SftpServer,0,0,0,0,0,17,0,0,0,0
Sweet Home,0,0,0,0,0,0,0,17,0,0
Mi Drop,0,0,15,0,0,0,20,0,0,0
Roamit,0,18,17,0,0,0,0,0,0,0
Silfer,0,0,19,0,17,18,19,18,0,15
WeChat,18,0,0,0,0,0,0,0,0,0
LanXchange,0,19,0,18,0,0,0,0,0,18
EasyJoin,0,0,18,19,19,0,17,0,18,20
Signal,19,0,0,0,0,0,0,0,0,0
Smash,0,0,0,0,0,19,0,0,0,0
Instashare,0,0,0,0,0,0,0,19,0,0
FilePizza,0,0,0,0,0,0,0,0,19,0
Messenger,20,0,0,0,0,0,0,0,0,0
Files,0,0,0,20,0,0,0,0,0,0
4 Share Apps,0,0,0,0,20,0,0,0,0,0
Dropbox,0,0,0,0,0,20,0,0,0,0
