App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Mint,0,0,0,0,0,1,0,0,1,1
Intuit Mint,0,0,0,0,0,0,1,1,0,0
Cleo,1,1,1,2,1,0,14,0,0,0
PayPal,0,0,0,0,0,0,2,2,0,0
Albert,2,2,2,1,2,8,11,13,8,6
Square,0,0,0,0,0,0,3,3,0,0
Magnifi,3,3,3,4,3,0,0,0,0,0
Adobe Analytics,0,0,0,0,0,0,4,0,0,0
Adobe Finance,0,0,0,0,0,0,0,4,0,0
Quicken,0,0,0,0,0,0,0,0,0,4
YNAB (You Need A Budget),0,0,0,8,0,3,0,11,3,3
Personal Capital,12,14,7,9,15,2,10,10,2,2
Salesforce Einstein Analytics,0,0,0,0,0,0,5,0,0,0
Salesforce Financial Services Cloud,0,0,0,0,0,0,0,5,0,0
Acorns,5,5,6,6,5,4,7,7,4,0
Robinhood,0,0,0,0,0,5,6,6,5,0
Wealthfront,0,4,0,0,0,6,8,8,6,0
PocketGuard,6,7,5,5,4,12,20,15,9,5
Betterment,0,0,0,0,0,7,9,9,7,0
Qapital,4,6,9,15,6,19,0,0,17,0
Trim,10,13,13,3,11,10,13,0,0,0
Wally,7,11,4,7,7,13,18,16,10,7
MoneyLion,8,8,10,10,8,0,0,0,16,0
Plum,9,9,11,11,9,0,0,0,0,0
Tally,0,0,0,0,0,9,12,0,0,0
Toshl Finance,0,0,0,0,0,0,0,0,0,11
Money Lover,0,0,0,0,0,0,0,0,0,12
Emma,14,12,12,12,10,0,17,0,0,0
Clarity Money,0,0,0,0,0,11,0,14,11,17
Money Manager Expense & Budget,0,0,0,0,0,0,0,0,0,13
Digit,13,0,8,13,0,18,15,0,18,0
Tink,15,10,0,14,16,0,0,0,0,0
Spendee,0,0,0,0,0,14,19,18,15,8
Goodbudget,0,0,19,0,0,15,0,17,13,9
Mvelopes,0,0,0,0,0,16,0,19,14,10
Wallet,0,0,0,0,0,0,0,0,0,14
Honeydue,0,0,14,0,13,0,0,0,0,16
M1 Finance,0,15,0,0,14,0,0,0,0,0
Empower,11,18,0,16,17,0,0,0,0,0
Tiller Money,0,17,0,18,19,0,0,12,12,0
Monarch,16,0,0,0,0,0,0,0,0,0
Zumma,20,20,15,0,12,0,0,0,0,0
Parthean AI,0,0,16,0,0,0,0,0,0,0
Yolt,0,0,0,0,0,0,16,0,0,0
Moneydance,0,16,0,17,18,0,0,0,0,0
Uptrends.ai,17,0,0,0,0,0,0,0,0,0
7Assets,0,0,17,0,0,0,0,0,0,0
EveryDollar,0,0,0,0,0,0,0,20,0,15
Stocknews AI,18,0,0,0,0,0,0,0,0,0
Beepo,0,0,18,0,0,0,0,0,0,0
Prism,0,0,0,0,0,0,0,0,0,18
Simple,0,0,0,0,0,17,0,0,20,0
Kudos,19,0,0,0,0,0,0,0,0,0
BillGuard,0,0,0,0,0,0,0,0,0,19
Zeta,0,19,0,19,20,0,0,0,0,0
Stash,0,0,0,0,0,20,0,0,19,0
RAFA,0,0,20,0,0,0,0,0,0,0
Olivia.ai,0,0,0,20,0,0,0,0,0,0
Level Money,0,0,0,0,0,0,0,0,0,20
