family,model,provider,mode,k,feature,run,name,description,type,sources,cluster_id,cluster_size,selection_method,centroid_distance,connectivity_score,silhouette_score
proprietary,deepseek,deepseek,structured,20,Calculate fares,6,User Rating,"Average rating from major app stores, reflecting user satisfaction and reliability of the app.",,,0,1011,aggregated_voting,0.2956382930278778,0.8210555911064148,0.41656893491744995
proprietary,anthropic,anthropic,structured,20,Personalized news feed,0,Content Source Diversity,"The breadth and variety of publishers, outlets, and content sources the app aggregates from, ensuring users receive well-rounded and comprehensive coverage across topics",,,1,562,aggregated_voting,0.5990846157073975,0.5237637758255005,0.10431161522865295
proprietary,deepseek,deepseek,structured,20,Search with suggestions,0,User Base Size,"The number of active users, reflecting the app's popularity and reach.",,,2,617,aggregated_voting,0.4226871430873871,0.7006279826164246,0.13647961616516113
proprietary,anthropic,anthropic,structured,20,Pay credit card bills,1,User Experience & Ease of Use,"The intuitiveness of the interface, simplicity of the payment flow, minimal steps required to complete a transaction, and overall navigation quality.",,,3,395,aggregated_voting,0.5406627655029297,0.559201717376709,-0.05252251401543617
proprietary,mistral,mistral,structured,20,Stream music,3,Audio Quality,"The quality of audio streaming, including bitrate and availability of lossless or high-resolution audio options.",,,4,224,aggregated_voting,0.5487798452377319,0.5961753129959106,0.15511728823184967
proprietary,mistral,mistral,structured,20,Transfer money,1,Additional Features and Integrations,"The availability of additional features such as bill splitting, recurring payments, or integration with other financial tools.",,,5,327,aggregated_voting,0.5221002697944641,0.6340318322181702,0.2069910764694214
proprietary,mistral,mistral,structured,20,Real-time messaging,9,Security and Privacy,"The strength and effectiveness of measures to protect user data and communications, including end-to-end encryption, data storage policies, and compliance with privacy regulations.",,,6,496,aggregated_voting,0.4812043011188507,0.6499202847480774,0.09597830474376678
proprietary,anthropic,anthropic,structured,20,View progress charts,7,Data Granularity,"The level of detail and time-range flexibility offered in progress charts, such as daily, weekly, monthly, and yearly views with zoom and drill-down capabilities",,,7,406,aggregated_voting,0.6839965581893921,0.4289923906326294,0.07014541327953339
proprietary,gemini,gemini,structured,20,Compare prices,6,Update Frequency,The rate at which the application refreshes its data to ensure information reflects real-time status and changes.,,,8,377,aggregated_voting,0.5385034680366516,0.6060680747032166,0.006323658861219883
proprietary,deepseek,deepseek,structured,20,Find nearby places,5,Feature Richness,"Breadth and depth of features offered, including but not limited to core functionality, integrations, and customization options.",,,9,560,aggregated_voting,0.5406319499015808,0.5588247179985046,0.0811857208609581
proprietary,openai,openai,structured,20,Share content on social networks,6,Content Format Support,"Variety of media types supported for sharing, such as text, images, video, and links",,,10,297,aggregated_voting,0.4522935748100281,0.675750195980072,0.25373634696006775
proprietary,mistral,mistral,structured,20,Weather forecast,1,App Performance,"Performance of the app in terms of speed, responsiveness, and reliability, including minimal crashes or bugs.",,,11,671,aggregated_voting,0.37941208481788635,0.7396364212036133,0.2806988060474396
