criteria,feature,model,rbo,num_comparisons
Ad_Free_Option,Access to movies,openai,0.0,10
Ad_Free_Option,Access to movies,mistral,0.8171349857692327,10
Ad_Free_Option,Access to movies,gemini,0.6477140842923734,10
Ad_Free_Option,Access to podcasts,openai,0.08868649166115258,10
Ad_Free_Option,Access to podcasts,mistral,0.9249575839790249,10
Ad_Free_Option,Access to podcasts,gemini,0.34146973340481845,9
Ad_Free_Option,Broadcast messages to multiple contacts,openai,0.0,10
Ad_Free_Option,Broadcast messages to multiple contacts,mistral,0.42974498814985296,10
Ad_Free_Option,Build photo collage,openai,0.0149872058932552,10
Ad_Free_Option,Build photo collage,mistral,0.8886963917257564,10
Ad_Free_Option,Build photo collage,gemini,0.5544007260661334,10
Ad_Free_Option,Collaborate with others,openai,0.41214466250679777,10
Ad_Free_Option,Collaborate with others,mistral,0.7271750234723625,10
Ad_Free_Option,Go Live,openai,0.0869809822061304,10
Ad_Free_Option,Go Live,mistral,0.4537810188593929,10
Ad_Free_Option,Go Live,gemini,0.7679456053613225,8
Ad_Free_Option,Keeping up with friends,openai,0.19230097301518673,10
Ad_Free_Option,Keeping up with friends,mistral,0.16067361881435904,10
Ad_Free_Option,Keeping up with friends,gemini,0.230980083372358,10
Ad_Free_Option,List items for sale,openai,0.5395917950106437,10
Ad_Free_Option,List items for sale,mistral,0.21716820393948896,10
Ad_Free_Option,Photo effects,openai,0.6107683417115508,10
Ad_Free_Option,Photo effects,mistral,0.34943783749435353,10
Ad_Free_Option,Play games,openai,0.0,10
Ad_Free_Option,Play games,mistral,0.149872058932552,10
Ad_Free_Option,Play games,gemini,0.01858772585385755,10
Ad_Free_Option,Play playlist on shuffle mode,openai,0.8141227414614246,10
Ad_Free_Option,Play playlist on shuffle mode,mistral,0.7667474788219202,10
Ad_Free_Option,Play playlist on shuffle mode,gemini,0.0040005777340026095,9
Ad_Free_Option,Rate movies,openai,0.7088569201221347,10
Ad_Free_Option,Rate movies,mistral,0.7307422792158966,10
Ad_Free_Option,Search for offer on item,openai,0.03886433826356551,10
Ad_Free_Option,Search for offer on item,mistral,0.524116511327746,10
Ad_Free_Option,Send files,openai,0.0036005199606023485,10
Ad_Free_Option,Send files,mistral,0.13296622051910414,10
Ad_Free_Option,Send files,gemini,0.6808008645749443,10
