name,description,type,sources
Ad Intrusiveness,The presence and intrusiveness of advertisements within the app.,Text [1],"turn0search0,turn0search4"
Additional Features,"Extra functionalities such as screen recording, live streaming, or social integration.",Text [*],"Official app websites, app store listings"
Additional Features,"Extra functionalities such as cloud saves, cross-platform play, or social features.",Text [*],"Official app websites, app store listings"
Additional Features,"Extra functionalities like screen recording, live streaming, or social features.",Text [*],"App Descriptions, User Reviews"
Cloud Gaming Support,"Availability of cloud gaming services, allowing users to play games without local installations.",Text [1],"turn0search2,turn0search7"
Controller Support,"Compatibility with various gaming controllers, enhancing the gaming experience.",Text [*],"Official app websites, user reviews"
Controller Support,Compatibility with external gaming controllers for enhanced gameplay.,Text [1],"turn0search1,turn0search2"
Controller Support,"Compatibility with various gaming controllers, enhancing gameplay options.",Text [*],"Official app websites, user manuals"
Controller Support,"Compatibility with various gaming controllers, affecting user comfort.",Text [*],"Official app websites, technical reviews"
Cost,"The pricing model of the app, including free, freemium, or paid options.",Text [1],"turn0search0,turn0search3,turn0search4"
Customization Options,The extent to which users can customize the app's appearance and functionality.,Text [1],"turn0search1,turn0search4,turn0search11"
Exclusive Titles,"Availability of games that are exclusive to the platform, offering unique gaming experiences.",Text [*],"Official app websites, gaming news outlets"
Exclusive Titles,"The presence of games available only on the platform, offering unique gaming experiences.",Integer [1],"Official app websites, gaming news outlets"
Exclusive Titles,"Availability of games that are exclusive to the platform, adding unique value.",Integer [1],"Official app websites, gaming news outlets"
Feature Set,Range and quality of features offered by the app.,Text [1],"App Store, Google Play Store, Official App Websites"
Feature Set,Range and quality of features offered by the app.,Text [1],"App Store, Google Play Store, Official App Websites"
Free Trial Availability,"Whether the app offers a free trial period, allowing users to test the service before committing.",Boolean [1],"Official app websites, promotional materials"
Free Trial Availability,"Whether the service offers a trial period at no cost, allowing users to evaluate before subscribing.",Boolean [1],"Official app websites, promotional materials"
Game Library Size,The number of games available through the app.,Integer [1],"Official app websites, app store listings"
Game Library Size,"The number of games available on the platform, reflecting the variety of gaming options for users.",Integer [1],"Official app websites, gaming news outlets"
Game Library Size,The number of games available for streaming through the app.,Integer,"Official app websites, press releases"
Game Library Size,The number of games available through the app.,Integer [1],"Official app websites, app store listings"
Game Library Size,"The number of games available on the platform, reflecting the variety of gaming options.",Integer [1],"Official app websites, gaming news outlets"
Game Library Size,"The number of games available on the platform, reflecting the variety of gaming options.",Integer [1],"Official app websites, gaming news outlets"
Game Library Size,Number of games available through the app.,Integer [1],"App Descriptions, Official Websites"
Game Organization,Features related to organizing and managing game libraries within the app.,Text [1],"turn0search0,turn0search1,turn0search4"
Geographical Availability,"Regions or countries where the service is accessible, determining user eligibility.",Text [*],"Official app websites, service announcements"
Latency,"The average delay between user input and on-screen response, crucial for gameplay responsiveness.",Float [1],"User reviews, technical analyses"
Latency,"The delay between user input and on-screen response, influencing gameplay responsiveness.",Float [1],"Technical reviews, user feedback"
Latency and Performance,"The responsiveness and smoothness of gameplay, influenced by server infrastructure and network optimization.",Text [1],"User reviews, performance benchmarks"
Number of Downloads,Total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store"
Number of Downloads,Total number of times the app has been downloaded.,Integer [1],"App Store, Google Play Store"
Number of Downloads,Total number of times the app has been downloaded.,Integer [1],"App Store, Google Play Store"
Offline Play,"The ability to download and play games without an internet connection, providing flexibility.",Boolean [1],"Official app websites, user manuals"
Offline Play,"Whether the app allows downloading games for offline play, enhancing flexibility.",Boolean [1],"Official app websites, user manuals"
Offline Play Capability,"Whether the app allows downloading games for offline play, providing flexibility in gaming.",Boolean [1],"Official app specifications, user reviews"
Performance Optimization,"The app's ability to enhance device performance during gaming, such as boosting RAM and CPU.",Text [1],"turn0search0,turn0search3,turn0search4"
Performance Optimization,Effectiveness of the app in enhancing gaming performance.,Text [1],"App Store, Google Play Store, Official App Websites"
Performance Optimization,Effectiveness of the app in enhancing gaming performance.,Text [1],"App Store, Google Play Store, Official App Websites"
Performance Optimization Features,Tools and settings available to enhance gaming performance.,Boolean [1],"Official app websites, app store listings"
Performance Optimization Features,"Features that enhance device performance during gaming, such as RAM boosting or CPU optimization.",Boolean [1],"App Descriptions, User Reviews"
Platform Availability,The range of devices and operating systems on which the app is available.,Text [1],"Official app websites, app store listings"
Platform Availability,"The operating systems on which the app is available (e.g., Android, iOS).",Text [1],"turn0search2,turn0search7"
Platform Compatibility,The range of devices and operating systems the app supports.,Text [1],"Official app websites, app store listings"
Platform Compatibility,"The range of devices and operating systems the app supports, indicating its accessibility across different platforms.",Text [*],"Official app websites, user reviews"
Platform Compatibility,The range of devices and operating systems the app supports for game streaming.,Text [*],"Official app websites, user manuals"
Platform Compatibility,"The range of devices and operating systems the app supports, indicating its accessibility across different hardware.",Text [*],"Official app websites, user manuals"
Platform Compatibility,"The range of devices and operating systems the app supports, indicating its accessibility across different hardware.",Text [*],"Official app websites, user manuals"
Platform Compatibility,Operating systems and devices the app is compatible with.,Text [1],"App Descriptions, Official Websites"
Streaming Capabilities,The ability to live-stream gameplay to platforms like YouTube or Twitch.,Text [1],"turn0search0,turn0search4"
Streaming Quality,"The maximum resolution and frame rate supported by the app, affecting the visual and performance experience.",Text [1],"Official app specifications, user reviews"
Streaming Quality,The maximum resolution and frame rate supported by the app for game streaming.,Text [1],"Official app websites, technical specifications"
Streaming Quality,"The maximum resolution and frame rate supported by the app, affecting the visual and performance experience.",Text [1],"Official app websites, user reviews"
Streaming Quality,"The maximum resolution and frame rate the app supports, affecting the visual experience.",Text [1],"Official app websites, technical reviews"
Subscription Cost,"The monthly or annual fee required to access the service, impacting affordability.",Float [1],"Official app websites, pricing pages"
Subscription Cost,The monthly or annual fee required to access the app's services.,Float,"Official app websites, pricing pages"
Subscription Cost,"The cost associated with accessing the app's services, if applicable.",Float [1],"Official app websites, app store listings"
Subscription Cost,"The monthly or annual fee required to access the service, impacting affordability.",Float [1],"Official app websites, pricing pages"
Subscription Cost,"The monthly or annual fee required to access the service, impacting affordability.",Float [1],"Official app websites, pricing pages"
Subscription Cost,"Cost associated with using the app, if any.",Float [1],"App Descriptions, Official Websites"
User Interface,"The design and usability of the app's interface, including ease of navigation and visual appeal.",Text [1],"turn0search0,turn0search1,turn0search4"
User Interface,"The design and usability of the app's interface, influencing ease of navigation and overall user experience.",Text [1],"User reviews, app demonstrations"
User Interface,Ease of navigation and user-friendliness of the app's interface.,Text [1],"User reviews, usability studies"
User Interface,Ease of use and design quality of the app's interface.,Text [1],"App Store, Google Play Store, Official App Websites"
User Interface,Ease of use and design quality of the app's interface.,Text [1],"App Store, Google Play Store, Official App Websites"
User Interface and Experience,Ease of navigation and overall user experience.,Text [1],"User reviews, app store listings"
User Interface and Experience,"The design and usability of the app, affecting ease of navigation and overall user satisfaction.",Text [1],"User reviews, app store ratings"
User Interface Quality,Ease of use and design quality of the app's interface.,Text [1],"User Reviews, App Descriptions"
User Ratings,Average user ratings from app stores or review platforms.,Float [1],"App store listings, review platforms"
User Ratings,Average user rating of the app on app stores.,Float [1],"Google Play Store, Apple App Store"
User Ratings,Average user rating of the app on the app store.,Float [1],"App Store, Google Play Store"
User Ratings,Average user rating of the app on the app store.,Float [1],"App Store, Google Play Store"
User Reviews,Average user ratings and feedback on the app's performance and reliability.,Float,"App stores, user review platforms"
