App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
ShopSavvy,6,1,1,1,1,1,1,1,1,1
Honey Smart Shopping Assistant,0,0,0,0,0,0,0,0,0,2
Honey,4,2,2,2,2,2,2,2,2,0
CamelCamelCamel,11,3,5,3,3,3,3,7,3,7
PriceGrabber,0,4,6,4,4,4,4,8,4,3
RetailMeNot,1,9,9,9,13,9,9,6,9,11
Google Shopping,0,5,11,5,5,5,5,0,5,4
Ibotta,2,8,8,8,14,8,8,5,7,10
Flipp,5,7,4,7,15,7,7,4,8,6
BuyVia,0,6,7,6,6,6,6,9,6,5
Fluctuate,0,0,0,0,7,0,0,0,0,0
Capital One Shopping,17,11,3,11,11,11,11,3,11,8
CouponCabin,8,0,0,0,0,0,0,0,0,0
Rakuten,3,10,0,10,0,10,10,15,10,12
pic2shop,0,0,0,0,9,0,0,0,0,0
Slickdeals,7,12,10,12,12,12,12,11,12,9
ScanLife,0,17,0,0,8,0,0,0,0,0
Target App (with Target Circle),12,0,0,0,0,0,0,0,0,0
Price.com,0,15,12,13,10,13,13,10,13,20
Coupon Sherpa,13,0,0,0,0,0,0,0,0,0
Hip2Save,14,0,0,0,0,0,0,0,0,0
Raise,0,14,13,14,19,14,16,13,14,19
The Coupons App,9,0,19,0,0,0,0,20,0,18
Goodshop,15,0,0,0,0,0,0,0,0,0
Dosh,10,0,16,18,0,18,0,17,0,15
DealNews,0,13,20,15,18,15,15,12,16,0
BeFrugal,0,0,15,17,0,17,0,16,0,14
Shopkick,0,20,14,16,20,16,17,14,15,13
Woot,16,0,0,0,0,0,0,0,0,0
Pricepirates,0,0,0,0,0,0,14,0,20,0
Mycartsavings,0,16,0,0,17,0,18,0,17,0
Groupon,0,0,17,19,0,19,0,18,0,16
Poshmark,18,0,0,0,0,0,0,0,0,0
Reebee,0,0,0,0,0,0,0,0,18,0
reebee,0,19,0,0,16,0,20,0,0,0
QR Reader,0,18,0,0,0,0,19,0,19,0
Brad's Deals,0,0,18,20,0,20,0,19,0,17
GeoQpons,19,0,0,0,0,0,0,0,0,0
Drench,20,0,0,0,0,0,0,0,0,0
