name,description,type,sources
Community Engagement,The level of interaction and support among users within the platform's community.,Text [1],"User forums, User reviews, platform community pages, platform forums"
Ease of Use,The simplicity and intuitiveness of the platform's interface for listing and managing items.,Text [1],"User experience reviews, User reviews, platform tutorials, usability studies"
Geographical Reach,The regions or countries where the platform operates and has a significant user base.,Text [1],"Platform official information, Platform official websites, Platform's about page, industry analyses, industry reports"
Item Categories,The types of items that can be listed and sold on the platform.,Text [*],"Platform category listings, Platform guidelines, Platform official information, Platform official websites, user guides, user reviews"
Item Categories Supported,The range of product categories that can be listed for sale.,Text [*],"Platform guidelines, Platform's category listings, user guides, user interfaces"
Listing Fees,The cost associated with listing an item for sale on the platform.,Float [1],"Platform pricing pages, Platform's pricing page, user agreements, user guides, user testimonials"
Mobile App Availability,Availability and functionality of mobile applications for listing and managing sales.,Boolean [1],"App stores, Platform official app stores, Platform's official app store listings, platform official websites, user reviews"
Payment Options,The methods available for buyers to pay and sellers to receive funds.,Text [1],"Platform official information, Platform payment information, Platform's payment information page, user feedback, user guides"
Payment Processing,The methods available for processing payments from buyers to sellers.,Text [*],"Platform payment policies, user agreements, user guides"
Seller Protection Policies,The measures in place to protect sellers from fraud and disputes.,Text [*],"Platform official websites, Platform terms of service, Platform's seller protection page, help centers, user experiences, user guides, user testimonials"
Shipping Options,The shipping services integrated with the platform and any associated costs.,Text [*],"Platform shipping policies, user guides, user reviews"
Shipping Support,The assistance or services provided by the platform for shipping items to buyers.,Text [1],"Platform features pages, Platform official information, Platform official websites, Platform shipping policies, Platform's shipping policies, user experiences, user guides"
Target Audience,The primary demographic or market segment the platform caters to.,Text [1],"Platform marketing materials, user demographics studies"
Transaction Fees,The percentage or fixed fee deducted from the sale price upon a successful transaction.,Float [1],"Platform pricing pages, Platform's terms of service, user agreements, user guides, user reviews"
User Base Size,"The number of active users on the platform, indicating potential reach for sellers.",Integer [1],"Platform official statistics, Platform's official statistics, industry reports"
