App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Netflix,1,1,1,1,1,1,1,1,1,1
Amazon Prime Video,2,2,2,4,4,2,2,4,4,2
Disney+,3,3,3,2,2,3,3,2,2,3
Hulu,4,4,4,3,5,4,4,3,3,4
HBO Max,5,5,5,5,3,5,5,5,5,5
Apple TV+,6,6,6,6,6,6,6,6,6,6
Paramount+,7,7,8,7,7,8,7,8,7,7
Peacock,8,8,7,8,8,7,8,7,8,8
YouTube,9,9,9,9,9,9,9,9,9,9
Google Play Movies & TV,10,10,10,10,10,10,10,10,10,10
Vudu,11,11,11,11,11,11,11,11,11,11
Tubi,12,12,12,12,12,12,12,12,12,12
Pluto TV,13,13,13,13,13,13,13,13,13,13
Crackle,14,14,14,14,14,14,14,14,14,14
Plex,0,15,0,0,0,0,0,0,0,0
IMDb TV,15,17,15,15,15,15,15,15,15,15
Kodi,0,16,0,0,0,0,0,0,0,0
Mubi,16,18,16,16,16,16,16,16,16,16
The Criterion Channel,17,19,17,17,17,17,17,17,17,17
Shudder,18,20,18,18,18,18,18,18,18,18
Kanopy,19,0,0,19,0,0,19,0,19,19
BritBox,0,0,19,0,19,19,0,19,0,0
Hoopla,20,0,0,20,0,0,20,0,20,20
Acorn TV,0,0,20,0,20,20,0,20,0,0
