App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Spotify,1,1,1,1,1,1,1,1,1,1
Apple Music,2,2,2,2,2,2,2,2,2,2
YouTube Music,3,3,3,3,3,3,3,3,3,3
Amazon Music,4,7,4,5,4,4,4,4,7,5
Deezer,5,5,5,6,5,5,5,5,5,6
Pandora,7,4,7,4,7,7,7,7,4,4
Tidal,6,6,6,7,6,6,6,6,6,7
SoundCloud,8,8,8,8,8,8,8,8,8,8
iHeartRadio,9,9,9,9,9,9,9,9,9,9
Napster,10,10,10,10,10,10,10,10,10,10
Audiomack,11,11,11,11,0,0,11,11,11,11
AWA,0,0,0,0,11,0,0,0,0,0
AIVA,0,0,0,0,0,11,0,0,0,0
Yandex.Music,12,0,12,0,0,0,12,0,12,0
Shazam,0,0,0,12,0,0,0,0,0,12
Amper,0,0,0,0,0,12,0,0,0,0
Musi,0,0,0,13,0,0,0,0,0,13
MelOn,0,0,0,0,13,0,0,0,0,0
Jukedeck,0,0,0,0,0,13,0,0,0,0
Yandex Music,0,12,0,0,17,0,0,12,0,16
SoundHound,0,0,0,14,0,0,0,0,0,14
Genie,0,0,0,0,14,0,0,0,0,0
Mubert,0,0,0,0,0,14,0,0,0,0
Gaana,13,14,13,16,18,0,13,13,13,19
Resso,0,0,0,15,0,0,0,0,0,15
Bugs Music,0,0,0,0,15,0,0,0,0,0
Endel,0,0,0,0,0,15,0,0,0,0
JioSaavn,14,15,14,17,19,0,14,14,14,18
KKBOX,17,0,17,0,12,0,0,0,17,0
Anghami,15,16,15,0,16,0,15,15,15,17
Brain.fm,0,0,0,0,0,16,0,0,0,0
Melon,16,17,16,0,0,0,16,16,16,0
Qobuz,18,13,18,0,0,0,0,18,18,0
Melodrive,0,0,0,0,0,17,0,0,0,0
KKBox,0,18,0,0,0,0,17,17,0,0
Humtap,0,0,0,0,0,18,0,0,0,0
QQ Music,0,0,0,0,0,0,18,0,0,0
Wynk Music,0,0,0,18,0,0,0,0,0,20
NetEase Cloud Music,19,19,0,0,0,0,19,19,0,0
Hungama Music,0,0,0,19,0,0,0,0,0,0
Boomy,0,0,0,0,0,19,0,0,0,0
Boomplay,20,0,19,20,0,0,0,20,19,0
Joox,0,20,0,0,0,0,0,0,0,0
Yonder Music,0,0,20,0,0,0,20,0,0,0
 Hungama Music,0,0,0,0,20,0,0,0,0,0
Soundraw,0,0,0,0,0,20,0,0,0,0
Youtube Music,0,0,0,0,0,0,0,0,20,0
