name,description,type,sources
Ad-Free Option,Availability of a subscription or version without advertisements.,Boolean[1],"App Store, App descriptions, App pricing, App store descriptions, Developer Website, Google Play Store, review articles, user reviews"
Cross-Platform Availability,"Availability on multiple operating systems (iOS, Android, Web, etc.)",Boolean[*],"App Store, App Store Descriptions, App Store descriptions, App Website, App stores, Developer Information, Developer Website, Google Play Store, Reviews, developer website, developer websites, expert reviews, review articles"
Customization Options,"The degree to which users can customize the app's appearance and functionality (e.g., themes, playback speed).",Integer[5],"App Reviews, App Settings, App description, App descriptions, Expert Reviews, expert reviews, tech reviews"
Offline Playback,Ability to download episodes for listening without an internet connection.,Boolean[1],"App Description, App Reviews, App Store Descriptions, App description, App descriptions, App features, App features list, App specifications, Feature Lists, Reviews, User Reviews, review articles, user reviews"
Playback Controls,"Features like speed adjustment, offline listening, and sleep timers provide flexibility.",Boolean[*],"App descriptions, Review articles, app descriptions, feature lists, user reviews"
Podcast 2.0 Support,"Support for modern podcasting features like value for value, live streaming and community interaction.",Boolean[1],"App specifications, Podcasting 2.0 directory, Review articles, expert reviews"
Podcast Discovery,"The effectiveness of the app's search, recommendations, and browsing features for finding new podcasts.",Text[1],"App Description, App Store descriptions, App reviews, Expert Reviews, Expert reviews, User reviews, expert reviews, feature lists, personal testing, user reviews"
Price,"The cost of the app, including any subscription fees or in-app purchases.",Float[1],"App Store, App Website, App store pricing, Google Play Store, in-app purchase information"
User Interface,Cleanliness and ease of navigation of the app's user interface.,Text[1],"Expert Reviews, Expert reviews, Review articles, User Reviews, User reviews, app store descriptions, expert reviews"
User Ratings,Average rating given by users in app stores.,Float[1],"App Stores, Apple App Store, Google Play Store"
