name,description,type,sources
Customer Support,The quality and responsiveness of the app's customer support.,Text[1],"App Store reviews, BBB ratings, Google Play reviews, Official app websites, Official support channels, Tech blogs, Trustpilot reviews, User reviews, customer service ratings, official support channels"
Ease of Use,The simplicity and intuitiveness of the app's interface and listing process.,Text[1],"App Store, App Store Reviews, App Store reviews, Expert Reviews, Expert reviews, Expert reviews from tech blogs, Google Play, Google Play Store Reviews, Google Play reviews, Tech Blogs, User Reviews, expert reviews from tech blogs"
Fees and Commission,The cost associated with listing and selling items on the platform.,Float[1],"Blog comparisons, Expert comparisons, Official Website, Official app websites, Official fee structures from the app's website, Terms of Service, User Reviews, User reports, User reviews"
Listing Features,The variety and quality of features available for creating and managing listings.,Text[1],"App Store, App Store descriptions, Expert analyses, Expert reviews, Google Play, Google Play descriptions, Official Website, Official app descriptions, Official app websites, Tech blogs, User Reviews, User reviews, tech blog evaluations, user reviews"
Local Availability,The ability to reach local buyers and facilitate local pickup or delivery.,Boolean[1],"App Annie, App features listed on the app's website, Blog articles, Expert articles, Local tech blogs, Official app websites, Sensor Tower, SimilarWeb, User reviews"
Payment Security,The security and reliability of the payment process within the app.,Text [1],"Official app descriptions, Official app websites, Security reviews, User reviews"
Safety and Security,The measures in place to protect users from fraud and ensure secure transactions.,Text[1],"Official app websites, Security audit reports, Security reports, User reviews"
Seller Fees,The fees and commissions charged by the platform for selling items.,Float [1],"Financial blogs, Official platform fee structures, Official platform websites, User reviews, financial reviews, user reports"
Seller Protection,The measures and policies in place to protect sellers from fraud and disputes.,Text[1],"App's safety features and policies, BBB ratings, Expert evaluations, Official App Websites, Official Website, Official app websites, Tech Blogs, Terms of Service, Trustpilot reviews, User Reviews, User reports, User reviews"
User Base,The total number of active users on the platform.,Integer[1],"App Annie, App Store, Google Play, Google Play Store, Official App Websites, Official Press Releases, Official company reports, Priori Data, Sensor Tower, SimilarWeb"
