App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Letterboxd,1,1,1,1,1,1,1,1,1,1
TV Time,2,2,2,2,2,2,2,2,2,5
CircleRanks,3,3,3,0,0,3,0,3,3,2
Must for Movies & TV,0,0,0,3,3,0,3,0,0,0
Taste,4,4,4,0,0,4,0,4,4,3
IMDOVA: Movie & TV Show Rating,0,0,0,0,4,0,0,0,0,0
Must,5,5,5,0,0,5,0,5,5,4
IMDOVA,0,0,0,4,0,0,8,0,0,0
FilmCrave,6,6,6,9,9,6,9,6,6,6
JustWatch,0,0,0,6,6,18,5,0,0,0
Filmow,7,7,7,0,0,7,0,7,7,7
Flixster,0,15,15,5,5,15,4,0,0,0
IMDb,8,8,8,0,0,8,0,8,8,8
Reelgood,0,0,0,8,8,17,7,0,0,0
Rotten Tomatoes,9,9,9,0,0,9,0,9,9,9
CherryPicks,0,0,0,10,10,0,10,0,0,0
Metacritic,10,10,10,0,0,10,0,10,10,10
Trakt,11,11,11,0,0,11,0,11,11,11
MovieBuddy,0,0,0,11,11,0,11,0,0,0
Moviebase,17,17,17,7,7,20,6,16,16,16
CineTrak,12,12,12,12,12,12,12,12,12,12
MovieLens,13,13,13,14,14,13,15,13,13,13
MoviesFad,0,0,0,0,0,0,14,0,0,0
Criticker,14,14,14,0,0,14,0,14,14,14
Movist,18,0,0,13,13,19,13,0,0,0
Flickchart,15,0,0,0,0,0,0,0,0,0
MovieTracker,16,16,16,0,0,16,0,15,15,15
CineLog,0,0,0,0,0,0,16,0,0,0
CineHub,19,0,0,15,15,0,0,0,0,0
Movie Mate,20,18,18,17,17,0,19,17,17,17
Movie Collector,0,20,20,16,16,0,17,19,19,19
Movie Diary,0,19,19,18,18,0,18,18,18,18
Movie Tracker,0,0,0,19,19,0,20,0,0,0
MovieList,0,0,0,20,20,0,0,0,20,20
Movie Buff,0,0,0,0,0,0,0,20,0,0
